miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	109298	16158.499896	N
hsa-let-7a-2	106350	15722.670716	Y
hsa-let-7a-3	107165	15843.159448	N
hsa-let-7b	27300	4036.002920	N
hsa-let-7c	6195	915.862201	Y
hsa-let-7d	26567	3927.636981	N
hsa-let-7e	5876	868.701581	N
hsa-let-7f-1	149574	22112.860834	N
hsa-let-7f-2	159246	23542.759012	N
hsa-let-7g	160707	23758.751695	N
hsa-let-7i	72061	10653.421481	N
hsa-mir-1-1	2195	324.506462	N
hsa-mir-1-2	2252	332.933281	N
hsa-mir-100	32456	4798.260468	Y
hsa-mir-101-1	11504	1700.739106	N
hsa-mir-101-2	12404	1833.794147	N
hsa-mir-103a-1	42286	6251.517197	Y
hsa-mir-103a-2	43938	6495.747117	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.295678	N
hsa-mir-106a	493	72.884595	Y
hsa-mir-106b	17347	2564.562002	N
hsa-mir-107	3833	566.666637	Y
hsa-mir-10a	55830	8253.847730	N
hsa-mir-10b	20470	3026.262995	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.739195	N
hsa-mir-1180	584	86.337938	N
hsa-mir-1181	1	0.147839	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.034873	N
hsa-mir-1185-2	9	1.330550	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.295678	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.147839	N
hsa-mir-1224	3	0.443517	N
hsa-mir-1225	1	0.147839	N
hsa-mir-1226	9	1.330550	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.887034	N
hsa-mir-1229	2	0.295678	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.295678	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.443517	N
hsa-mir-124-2	3	0.443517	N
hsa-mir-124-3	6	0.887034	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.034873	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	49	7.244108	N
hsa-mir-1247	147	21.732323	N
hsa-mir-1248	684	101.121831	N
hsa-mir-1249	177	26.167491	N
hsa-mir-1250	1	0.147839	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.147839	N
hsa-mir-1253	1	0.147839	N
hsa-mir-1254-1	8	1.182711	N
hsa-mir-1254-2	9	1.330550	N
hsa-mir-1255a	17	2.513262	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	63174	9339.576867	N
hsa-mir-125b-1	23694	3502.895721	N
hsa-mir-125b-2	23918	3536.011643	N
hsa-mir-126	69447	10266.970505	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	26	3.843812	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	2.217584	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.295678	N
hsa-mir-1267	1	0.147839	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	114	16.853639	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	843	124.628222	N
hsa-mir-1270	20	2.956779	N
hsa-mir-1271	1100	162.622828	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.295678	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.887034	N
hsa-mir-1277	1	0.147839	N
hsa-mir-1278	6	0.887034	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4523	668.675502	N
hsa-mir-128-2	2941	434.794307	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.295678	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	18	2.661101	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	5	0.739195	N
hsa-mir-1287	32	4.730846	N
hsa-mir-1288	2	0.295678	N
hsa-mir-1289-1	1	0.147839	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	23	3.400296	N
hsa-mir-129-2	32	4.730846	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	66	9.757370	N
hsa-mir-1292	19	2.808940	N
hsa-mir-1293	6	0.887034	N
hsa-mir-1294	6	0.887034	N
hsa-mir-1295a	10	1.478389	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	428	63.275064	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.147839	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	825	121.967121	N
