miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30535	4604.663928	N
hsa-let-7a-2	30531	4604.060730	N
hsa-let-7a-3	30627	4618.537486	N
hsa-let-7b	36557	5512.778753	N
hsa-let-7c	1984	299.186286	N
hsa-let-7d	3486	525.687193	N
hsa-let-7e	5378	810.999922	N
hsa-let-7f-1	14410	2173.021359	N
hsa-let-7f-2	14827	2235.904767	N
hsa-let-7g	3153	475.470947	N
hsa-let-7i	2867	432.342279	N
hsa-mir-1-1	13	1.960394	N
hsa-mir-1-2	8	1.206396	N
hsa-mir-100	82387	12423.921632	N
hsa-mir-101-1	18305	2760.385564	N
hsa-mir-101-2	18340	2765.663548	N
hsa-mir-103a-1	45049	6793.368439	Y
hsa-mir-103a-2	45275	6827.449135	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	34	5.127184	Y
hsa-mir-106b	4877	735.449352	N
hsa-mir-107	353	53.232237	Y
hsa-mir-10a	68933	10395.064633	N
hsa-mir-10b	6331	954.711882	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.150800	N
hsa-mir-1180	161	24.278726	N
hsa-mir-1181	4	0.603198	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.150800	N
hsa-mir-1185-2	1	0.150800	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.150800	N
hsa-mir-1226	11	1.658795	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.357196	N
hsa-mir-1229	4	0.603198	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.150800	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	2.261993	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.150800	N
hsa-mir-1247	49	7.389177	N
hsa-mir-1248	33	4.976385	N
hsa-mir-1249	12	1.809594	N
hsa-mir-1250	1	0.150800	N
hsa-mir-1251	2	0.301599	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.753998	N
hsa-mir-1254-2	11	1.658795	N
hsa-mir-1255a	8	1.206396	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.150800	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.452399	N
hsa-mir-125a	3871	583.745016	N
hsa-mir-125b-1	3125	471.248560	N
hsa-mir-125b-2	3228	486.780912	N
hsa-mir-126	32003	4826.037652	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.301599	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	307	46.295459	N
hsa-mir-1267	1	0.150800	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.452399	N
hsa-mir-1269b	3	0.452399	N
hsa-mir-127	2792	421.032313	N
hsa-mir-1270	1	0.150800	N
hsa-mir-1271	26	3.920788	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.904797	N
hsa-mir-1276	2	0.301599	N
hsa-mir-1277	6	0.904797	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	444	66.954995	N
hsa-mir-128-2	301	45.390661	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.301599	N
hsa-mir-1285-1	1	0.150800	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	227	34.231495	N
hsa-mir-1288	5	0.753998	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	33	4.976385	N
hsa-mir-129-2	30	4.523986	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.301599	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
