miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	328085	36651.259996	N
hsa-let-7a-2	318573	35588.648828	Y
hsa-let-7a-3	317959	35520.057233	N
hsa-let-7b	98241	10974.767006	N
hsa-let-7c	48312	5397.063788	Y
hsa-let-7d	57530	6426.831424	N
hsa-let-7e	20356	2274.023648	N
hsa-let-7f-1	267555	29889.290484	N
hsa-let-7f-2	283930	31718.585887	N
hsa-let-7g	261687	29233.760381	N
hsa-let-7i	77839	8695.604575	N
hsa-mir-1-1	9860	1101.487186	N
hsa-mir-1-2	10063	1124.164864	N
hsa-mir-100	100497	11226.790849	Y
hsa-mir-101-1	16644	1859.346119	N
hsa-mir-101-2	17778	1986.028316	N
hsa-mir-103a-1	86081	9616.340618	Y
hsa-mir-103a-2	89923	10045.540798	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.446851	N
hsa-mir-105-2	4	0.446851	N
hsa-mir-106a	339	37.870604	Y
hsa-mir-106b	10126	1131.202764	N
hsa-mir-107	11076	1237.329825	Y
hsa-mir-10a	125736	14046.307594	N
hsa-mir-10b	19161	2140.526976	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.117127	N
hsa-mir-1180	618	69.038446	N
hsa-mir-1181	1	0.111713	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.005414	N
hsa-mir-1185-2	1	0.111713	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.111713	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.446851	N
hsa-mir-1224	1	0.111713	N
hsa-mir-1225	1	0.111713	N
hsa-mir-1226	18	2.010829	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.563978	N
hsa-mir-1229	5	0.558563	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
