miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	279962	32690.668221	N
hsa-let-7a-2	266807	31154.582108	Y
hsa-let-7a-3	267611	31248.463768	N
hsa-let-7b	91115	10639.337607	N
hsa-let-7c	19211	2243.234536	Y
hsa-let-7d	52120	6085.960336	N
hsa-let-7e	21194	2474.785943	N
hsa-let-7f-1	234279	27356.345005	N
hsa-let-7f-2	255694	29856.936728	N
hsa-let-7g	214709	25071.190673	N
hsa-let-7i	79583	9292.766336	N
hsa-mir-1-1	3052	356.376649	N
hsa-mir-1-2	3139	366.535485	N
hsa-mir-100	60695	7087.247940	Y
hsa-mir-101-1	20185	2356.966796	N
hsa-mir-101-2	22115	2582.329487	N
hsa-mir-103a-1	46417	5420.031100	Y
hsa-mir-103a-2	48075	5613.632831	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.116768	N
hsa-mir-106a	265	30.943582	Y
hsa-mir-106b	9123	1065.276595	N
hsa-mir-107	4620	539.469239	Y
hsa-mir-10a	134873	15748.881973	N
hsa-mir-10b	38686	4517.295886	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.167682	N
hsa-mir-1180	427	49.860036	N
hsa-mir-1181	5	0.583841	N
hsa-mir-1182	1	0.116768	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.583841	N
hsa-mir-1185-2	1	0.116768	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.233536	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.467073	N
hsa-mir-1224	1	0.116768	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	41	4.787498	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.167682	N
hsa-mir-1229	13	1.517987	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.700609	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	5	0.583841	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.116768	N
hsa-mir-124-3	3	0.350305	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
