miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	100952	11684.758296	N
hsa-let-7a-2	98345	11383.009298	Y
hsa-let-7a-3	98222	11368.772578	N
hsa-let-7b	40327	4667.676201	N
hsa-let-7c	12633	1462.215227	Y
hsa-let-7d	16745	1938.161479	N
hsa-let-7e	9675	1119.839493	N
hsa-let-7f-1	114843	13292.581593	N
hsa-let-7f-2	123124	14251.071602	N
hsa-let-7g	136794	15833.315103	N
hsa-let-7i	71498	8275.584918	N
hsa-mir-1-1	1652	191.211870	N
hsa-mir-1-2	1763	204.059641	N
hsa-mir-100	125084	14477.933143	Y
hsa-mir-101-1	9414	1089.629870	N
hsa-mir-101-2	9957	1152.479776	N
hsa-mir-103a-1	41446	4797.195621	Y
hsa-mir-103a-2	43721	5060.517052	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	216	25.001068	Y
hsa-mir-106b	10761	1245.539306	N
hsa-mir-107	4788	554.190335	Y
hsa-mir-10a	110341	12771.494523	N
hsa-mir-10b	25158	2911.929919	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.578728	N
hsa-mir-1180	122	14.120973	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.388948	N
hsa-mir-1185-2	8	0.925965	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.578728	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	1	0.115746	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.347237	N
hsa-mir-1224	2	0.231491	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.157457	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	27	3.125133	N
hsa-mir-1229	6	0.694474	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.231491	N
hsa-mir-1236	1	0.115746	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.115746	N
hsa-mir-124-3	1	0.115746	N
hsa-mir-1243	1	0.115746	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.925965	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	168	19.445275	N
hsa-mir-1248	27	3.125133	N
hsa-mir-1249	57	6.597504	N
hsa-mir-1250	7	0.810220	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.115746	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	0.925965	N
hsa-mir-1254-2	7	0.810220	N
hsa-mir-1255a	18	2.083422	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.115746	N
hsa-mir-1257	4	0.462983	N
hsa-mir-1258	3	0.347237	N
hsa-mir-125a	58920	6819.735704	N
hsa-mir-125b-1	41424	4794.649216	N
hsa-mir-125b-2	40883	4732.030801	N
hsa-mir-126	26093	3020.152134	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.694474	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.851931	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	1.967677	N
hsa-mir-1267	3	0.347237	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16	1.851931	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2211	255.913707	N
hsa-mir-1270	21	2.430659	N
hsa-mir-1271	390	45.140817	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.462983	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	14	1.620440	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1801	208.457977	N
hsa-mir-128-2	1344	155.562199	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	7	0.810220	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	10	1.157457	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.231491	N
hsa-mir-1287	29	3.356625	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.231491	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.694474	N
hsa-mir-129-2	8	0.925965	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	13	1.504694	N
hsa-mir-1292	28	3.240879	N
hsa-mir-1293	33	3.819608	N
hsa-mir-1294	22	2.546405	N
hsa-mir-1295a	17	1.967677	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	279	32.293046	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	605	70.026139	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	6	0.694474	N
hsa-mir-1304	31	3.588116	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	31	3.588116	N
hsa-mir-1307	1213	140.399515	N
hsa-mir-130a	474	54.863454	N
hsa-mir-130b	709	82.063690	N
hsa-mir-132	1881	217.717632	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.115746	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	233	26.968744	Y
hsa-mir-133a-2	231	26.737253	Y
hsa-mir-133b	17	1.967677	Y
hsa-mir-134	110	12.732025	N
hsa-mir-1343	4	0.462983	N
hsa-mir-135a-1	57	6.597504	N
hsa-mir-135a-2	62	7.176232	N
hsa-mir-135b	5384	623.174763	N
hsa-mir-136	159	18.403564	N
hsa-mir-137	202	23.380628	N
hsa-mir-138-1	3722	430.805436	N
hsa-mir-138-2	1398	161.812466	N
hsa-mir-139	628	72.688290	N
hsa-mir-140	19205	2222.895862	N
hsa-mir-141	1492	172.692561	N
hsa-mir-142	5939	687.413618	N
hsa-mir-143	169089	19571.321970	N
hsa-mir-144	1790	207.184774	N
hsa-mir-145	20584	2382.509160	N
hsa-mir-1468	17	1.967677	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	13509	1563.608446	N
hsa-mir-146b	158298	18322.310293	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	183	21.181460	N
hsa-mir-148a	15070	1744.287459	N
hsa-mir-148b	2489	288.091008	N
hsa-mir-149	470	54.400472	N
hsa-mir-150	4231	489.719989	N
hsa-mir-151a	25860	2993.183389	N
hsa-mir-151b	105	12.153297	N
hsa-mir-152	2414	279.410081	N
hsa-mir-153-1	1	0.115746	N
hsa-mir-153-2	1	0.115746	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	102	11.806060	N
hsa-mir-155	17264	1998.233489	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2082	240.982514	N
hsa-mir-15b	11536	1335.242211	N
hsa-mir-16-1	23291	2695.832727	N
hsa-mir-16-2	26018	3011.471208	N
hsa-mir-17	1643	190.170159	Y
hsa-mir-181a-1	26526	3070.270015	N
hsa-mir-181a-2	26371	3052.329434	N
hsa-mir-181b-1	5449	630.698232	N
hsa-mir-181b-2	6627	767.046648	N
hsa-mir-181c	430	49.770644	N
hsa-mir-181d	177	20.486986	N
hsa-mir-182	16801	1944.643238	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5143	595.280053	N
hsa-mir-184	17	1.967677	N
hsa-mir-185	4625	535.323789	N
hsa-mir-186	11186	1294.731222	N
hsa-mir-187	66	7.639215	N
hsa-mir-188	17	1.967677	N
hsa-mir-18a	164	18.982292	Y
hsa-mir-18b	9	1.041711	Y
hsa-mir-1908	6	0.694474	N
hsa-mir-1909	2	0.231491	N
hsa-mir-190a	59	6.828995	N
hsa-mir-190b	15	1.736185	N
hsa-mir-191	55927	6473.308872	N
hsa-mir-1910	3	0.347237	N
hsa-mir-1911	1	0.115746	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.115746	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1867	216.097192	Y
hsa-mir-193a	1393	161.233738	N
hsa-mir-193b	3708	429.184996	N
hsa-mir-194-1	273	31.598572	N
hsa-mir-194-2	976	112.967788	N
hsa-mir-195	5413	626.531388	N
hsa-mir-196a-1	426	49.307661	N
hsa-mir-196a-2	696	80.558996	N
hsa-mir-196b	92	10.648603	N
hsa-mir-197	2350	272.002358	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	23	2.662151	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	29233	3383.593582	Y
hsa-mir-199a-2	51499	5960.786983	Y
hsa-mir-199b	79667	9221.111411	Y
hsa-mir-19a	235	27.200236	N
hsa-mir-19b-1	1085	125.584067	N
hsa-mir-19b-2	1073	124.195119	N
hsa-mir-200a	6161	713.109159	N
hsa-mir-200b	27250	3154.069890	N
hsa-mir-200c	53396	6180.356545	N
hsa-mir-202	7	0.810220	N
hsa-mir-203a	5665	655.699300	N
hsa-mir-203b	18	2.083422	N
hsa-mir-204	194	22.454663	N
hsa-mir-205	31550	3651.776332	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	30	3.472371	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4074	471.547917	N
hsa-mir-20b	101	11.690314	N
hsa-mir-21	4531036	524447.861257	N
hsa-mir-210	1023	118.407835	N
hsa-mir-211	9	1.041711	N
hsa-mir-2110	174	20.139749	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.115746	N
hsa-mir-2115	2	0.231491	N
hsa-mir-2116	59	6.828995	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	184	21.297206	N
hsa-mir-214	4327	500.831575	N
hsa-mir-215	20	2.314914	Y
hsa-mir-216a	2	0.231491	N
hsa-mir-216b	13	1.504694	N
hsa-mir-217	15	1.736185	N
hsa-mir-218-1	1488	172.229578	N
hsa-mir-218-2	1218	140.978243	N
hsa-mir-219a-1	5	0.578728	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	7	0.810220	N
hsa-mir-22	12367	1431.426875	N
hsa-mir-221	68174	7890.846264	N
hsa-mir-222	31504	3646.452030	N
hsa-mir-223	27282	3157.773752	N
hsa-mir-224	10155	1175.397421	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	35	4.051099	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	373	43.173140	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	150750	17448.661870	Y
hsa-mir-23b	32231	3730.599142	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	18117	2096.964558	N
hsa-mir-24-2	18573	2149.744590	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	22666	2623.491675	N
hsa-mir-2681	2	0.231491	N
hsa-mir-2682	2	0.231491	N
hsa-mir-26a-1	224663	26003.772615	N
hsa-mir-26a-2	228614	26461.083812	N
hsa-mir-26b	71528	8279.057288	N
hsa-mir-27a	30158	3490.658339	Y
hsa-mir-27b	63205	7315.705960	Y
hsa-mir-28	11530	1334.547737	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	27	3.125133	N
hsa-mir-297	0	0.000000	N
