miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	244389	21209.007777	N
hsa-let-7a-2	237531	20613.844430	Y
hsa-let-7a-3	236954	20563.770173	N
hsa-let-7b	77183	6698.234566	N
hsa-let-7c	15890	1378.994691	Y
hsa-let-7d	42009	3645.700943	N
hsa-let-7e	15777	1369.188121	N
hsa-let-7f-1	203358	17648.181398	N
hsa-let-7f-2	214650	18628.144145	N
hsa-let-7g	205817	17861.582779	N
hsa-let-7i	61705	5354.994803	N
hsa-mir-1-1	2348	203.768379	N
hsa-mir-1-2	2507	217.567004	N
hsa-mir-100	106174	9214.183911	Y
hsa-mir-101-1	15910	1380.730367	N
hsa-mir-101-2	16842	1461.612875	N
hsa-mir-103a-1	50927	4419.638933	Y
hsa-mir-103a-2	54429	4723.555824	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	218	18.918870	Y
hsa-mir-106b	8423	730.980005	N
hsa-mir-107	10551	915.655946	Y
hsa-mir-10a	81376	7062.119068	N
hsa-mir-10b	8771	761.180770	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.347135	N
hsa-mir-1180	396	34.366388	N
hsa-mir-1181	1	0.086784	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	58	5.033461	N
hsa-mir-1185-2	20	1.735676	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	0.781054	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.347135	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.086784	N
hsa-mir-1226	22	1.909244	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	1.562109	N
hsa-mir-1229	5	0.433919	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.086784	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
