miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	123333	19615.729992	N
hsa-let-7a-2	120880	19225.587972	Y
hsa-let-7a-3	121063	19254.693553	N
hsa-let-7b	54705	8700.660076	N
hsa-let-7c	3181	505.928155	Y
hsa-let-7d	20322	3232.150883	N
hsa-let-7e	6929	1102.035896	N
hsa-let-7f-1	89000	14155.173143	N
hsa-let-7f-2	93050	14799.313045	N
hsa-let-7g	114401	18195.123177	N
hsa-let-7i	74125	11789.350666	N
hsa-mir-1-1	230	36.580785	N
hsa-mir-1-2	254	40.397910	N
hsa-mir-100	42117	6698.577835	Y
hsa-mir-101-1	9287	1477.068460	N
hsa-mir-101-2	9647	1534.325341	N
hsa-mir-103a-1	31250	4970.215289	Y
hsa-mir-103a-2	32617	5187.632387	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.159047	N
hsa-mir-106a	1134	180.359172	Y
hsa-mir-106b	17730	2819.901346	N
hsa-mir-107	4483	713.007205	Y
hsa-mir-10a	55917	8893.424906	N
hsa-mir-10b	10040	1596.830768	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.795234	N
hsa-mir-1180	793	126.124183	N
hsa-mir-1181	1	0.159047	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.318094	N
hsa-mir-1185-2	2	0.318094	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.159047	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11	1.749516	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	4.453313	N
hsa-mir-1227	1	0.159047	N
hsa-mir-1228	2	0.318094	N
hsa-mir-1229	2	0.318094	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.477141	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.159047	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.159047	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.590469	N
hsa-mir-1245b	1	0.159047	N
hsa-mir-1246	1	0.159047	N
hsa-mir-1247	19	3.021891	N
hsa-mir-1248	72	11.451376	N
hsa-mir-1249	63	10.019954	N
hsa-mir-1250	12	1.908563	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	4	0.636188	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	2.226656	N
hsa-mir-1254-2	17	2.703797	N
hsa-mir-1255a	37	5.884735	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	46320	7367.051910	N
hsa-mir-125b-1	17714	2817.356596	N
hsa-mir-125b-2	17337	2757.395919	N
hsa-mir-126	31923	5077.253846	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.954281	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.272375	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2420	384.893472	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	517	82.227242	N
