miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	240629	20356.670862	N
hsa-let-7a-2	234033	19798.664134	Y
hsa-let-7a-3	234836	19866.596123	N
hsa-let-7b	76559	6476.718785	N
hsa-let-7c	12792	1082.174358	Y
hsa-let-7d	43783	3703.943084	N
hsa-let-7e	14855	1256.699507	N
hsa-let-7f-1	261329	22107.844191	N
hsa-let-7f-2	273617	23147.381285	N
hsa-let-7g	398877	33744.094866	N
hsa-let-7i	94796	8019.527867	N
hsa-mir-1-1	2588	218.938965	N
hsa-mir-1-2	2902	245.502657	N
hsa-mir-100	47278	3999.612204	Y
hsa-mir-101-1	17159	1451.612712	N
hsa-mir-101-2	18056	1527.496890	N
hsa-mir-103a-1	66717	5644.107775	Y
hsa-mir-103a-2	71393	6039.686833	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	297	25.125530	Y
hsa-mir-106b	12355	1045.205144	N
hsa-mir-107	15037	1272.096297	Y
hsa-mir-10a	79490	6724.674777	N
hsa-mir-10b	4896	414.190561	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.676782	N
hsa-mir-1180	503	42.552666	N
hsa-mir-1181	2	0.169195	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.422989	N
hsa-mir-1185-2	7	0.592184	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.169195	N
hsa-mir-1224	1	0.084598	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	2.368737	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	66	5.583451	N
hsa-mir-1229	14	1.184368	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
