miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	165029	13627.098462	N
hsa-let-7a-2	159774	13193.172289	N
hsa-let-7a-3	161237	13313.977997	N
hsa-let-7b	75595	6242.178697	N
hsa-let-7c	14609	1206.323019	N
hsa-let-7d	31350	2588.693725	N
hsa-let-7e	18447	1523.241887	N
hsa-let-7f-1	168113	13881.756563	N
hsa-let-7f-2	180094	14871.075208	N
hsa-let-7g	154203	12733.152744	N
hsa-let-7i	129600	10701.585544	N
hsa-mir-1-1	2344	193.553368	N
hsa-mir-1-2	2543	209.985587	N
hsa-mir-100	39608	3270.589508	Y
hsa-mir-101-1	28129	2322.722992	N
hsa-mir-101-2	30075	2483.411923	N
hsa-mir-103a-1	105905	8744.995502	Y
hsa-mir-103a-2	109132	9011.461679	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.082574	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	723	59.700975	Y
hsa-mir-106b	11403	941.590895	N
hsa-mir-107	10542	870.494713	Y
hsa-mir-10a	159542	13174.015130	N
hsa-mir-10b	41479	3425.085392	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.330296	N
hsa-mir-1180	965	79.683874	N
hsa-mir-1181	1	0.082574	N
hsa-mir-1182	1	0.082574	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.825740	N
hsa-mir-1185-2	3	0.247722	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.082574	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	14	1.156035	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	48	3.963550	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	51	4.211272	N
hsa-mir-1229	20	1.651479	N
hsa-mir-1231	2	0.165148	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.165148	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	6	0.495444	N
hsa-mir-124-1	1	0.082574	N
hsa-mir-124-2	1	0.082574	N
hsa-mir-124-3	2	0.165148	N
hsa-mir-1243	2	0.165148	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	25	2.064349	N
hsa-mir-1245b	3	0.247722	N
hsa-mir-1246	1	0.082574	N
hsa-mir-1247	551	45.498253	N
hsa-mir-1248	50	4.128698	N
hsa-mir-1249	291	24.029023	N
hsa-mir-1250	18	1.486331	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	1.238609	N
hsa-mir-1254-2	25	2.064349	N
hsa-mir-1255a	13	1.073462	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.330296	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	186357	15388.235935	N
hsa-mir-125b-1	48906	4038.362212	N
hsa-mir-125b-2	48291	3987.579225	N
hsa-mir-126	26262	2168.557404	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	0.990888	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	1.734053	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.330296	N
hsa-mir-1267	1	0.082574	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	0.908314	N
hsa-mir-1269b	1	0.082574	N
hsa-mir-127	2220	183.314197	N
hsa-mir-1270	37	3.055237	N
hsa-mir-1271	790	65.233430	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.082574	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.330296	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	5	0.412870	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2913	240.537953	N
hsa-mir-128-2	1929	159.285174	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.082574	N
hsa-mir-1284	10	0.825740	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.165148	N
hsa-mir-1287	131	10.817189	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	11	0.908314	N
hsa-mir-1289-2	4	0.330296	N
hsa-mir-129-1	26	2.146923	N
hsa-mir-129-2	24	1.981775	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	2.394645	N
hsa-mir-1292	66	5.449882	N
hsa-mir-1293	4	0.330296	N
hsa-mir-1294	17	1.403757	N
hsa-mir-1295a	86	7.101361	N
hsa-mir-1295b	5	0.412870	N
hsa-mir-1296	262	21.634378	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.578018	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1825	150.697482	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.330296	N
hsa-mir-1304	8	0.660592	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	176	14.533017	N
hsa-mir-1307	1486	122.704908	N
hsa-mir-130a	717	59.205531	N
hsa-mir-130b	2127	175.634818	N
hsa-mir-132	1712	141.366624	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	31	2.559793	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	385	31.790976	Y
hsa-mir-133a-2	352	29.066035	Y
hsa-mir-133b	9	0.743166	Y
hsa-mir-134	257	21.221508	N
hsa-mir-1343	36	2.972663	N
hsa-mir-135a-1	112	9.248284	N
hsa-mir-135a-2	129	10.652041	N
hsa-mir-135b	8622	711.952705	N
hsa-mir-136	142	11.725503	N
hsa-mir-137	50	4.128698	N
hsa-mir-138-1	217	17.918550	N
hsa-mir-138-2	63	5.202160	N
hsa-mir-139	896	73.986270	N
hsa-mir-140	28236	2331.558406	N
hsa-mir-141	2120	175.056801	N
hsa-mir-142	4152	342.847092	N
hsa-mir-143	186221	15377.005876	N
hsa-mir-144	644	53.177632	N
hsa-mir-145	29688	2451.455800	N
hsa-mir-1468	25	2.064349	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	16606	1371.223222	N
hsa-mir-146b	243701	20123.357243	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	93	7.679379	N
hsa-mir-148a	47208	3898.151623	N
hsa-mir-148b	6957	574.467057	N
hsa-mir-149	1264	104.373489	N
hsa-mir-150	6669	550.685756	N
hsa-mir-151a	35368	2920.475907	N
hsa-mir-151b	188	15.523905	N
hsa-mir-152	4155	343.094814	N
hsa-mir-153-1	5	0.412870	N
hsa-mir-153-2	4	0.330296	N
hsa-mir-1537	2	0.165148	N
hsa-mir-1538	3	0.247722	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	122	10.074023	N
hsa-mir-155	15068	1244.224467	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1472	121.548873	N
hsa-mir-15b	13848	1143.484233	N
hsa-mir-16-1	22040	1819.930134	N
hsa-mir-16-2	24577	2029.420277	N
hsa-mir-17	5404	446.229694	Y
hsa-mir-181a-1	52421	4328.609690	N
hsa-mir-181a-2	52279	4316.884187	N
hsa-mir-181b-1	15442	1275.107129	N
hsa-mir-181b-2	18895	1560.235022	N
hsa-mir-181c	1256	103.712897	N
hsa-mir-181d	609	50.287543	N
hsa-mir-182	100635	8309.830719	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	66151	5462.350195	N
hsa-mir-184	24	1.981775	N
hsa-mir-185	7557	624.011435	N
hsa-mir-186	15089	1245.958521	N
hsa-mir-187	599	49.461804	N
hsa-mir-188	37	3.055237	N
hsa-mir-18a	493	40.708964	N
hsa-mir-18b	5	0.412870	N
hsa-mir-1908	28	2.312071	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	152	12.551242	N
hsa-mir-190b	330	27.249408	N
hsa-mir-191	93294	7703.655260	N
hsa-mir-1910	13	1.073462	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.082574	N
hsa-mir-1914	4	0.330296	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1517	125.264701	N
hsa-mir-193a	3994	329.800406	N
hsa-mir-193b	1967	162.422984	N
hsa-mir-194-1	213	17.588254	N
hsa-mir-194-2	740	61.104732	N
hsa-mir-195	6080	502.049692	N
hsa-mir-196a-1	290	23.946449	N
hsa-mir-196a-2	593	48.966360	N
hsa-mir-196b	1920	158.542008	N
hsa-mir-197	2898	239.299343	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	58	4.789290	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	60362	4984.329526	Y
hsa-mir-199a-2	105908	8745.243224	Y
hsa-mir-199b	159521	13172.281077	Y
hsa-mir-19a	636	52.517040	N
hsa-mir-19b-1	3052	252.015734	N
hsa-mir-19b-2	3179	262.502627	N
hsa-mir-200a	19127	1579.392181	N
hsa-mir-200b	111856	9236.393153	N
hsa-mir-200c	223320	18440.417312	N
hsa-mir-202	19	1.568905	N
hsa-mir-203a	8760	723.347912	N
hsa-mir-203b	93	7.679379	N
hsa-mir-204	93	7.679379	N
hsa-mir-205	20544	1696.399486	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.165148	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	13963	1152.980239	N
hsa-mir-20b	403	33.277307	N
hsa-mir-21	5398930	445811.043524	N
hsa-mir-210	1283	105.942394	N
hsa-mir-211	61	5.037012	N
hsa-mir-2110	558	46.076271	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	41	3.385532	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	154	12.716390	N
hsa-mir-214	12817	1058.350478	N
hsa-mir-215	10	0.825740	N
hsa-mir-216a	2	0.165148	N
hsa-mir-216b	14	1.156035	N
hsa-mir-217	19	1.568905	N
hsa-mir-218-1	1416	116.924731	N
hsa-mir-218-2	1231	101.648548	N
hsa-mir-219a-1	16	1.321183	N
hsa-mir-219a-2	1	0.082574	N
hsa-mir-219b	9	0.743166	N
hsa-mir-22	11161	921.607996	N
hsa-mir-221	51926	4287.735578	N
hsa-mir-222	30680	2533.369170	N
hsa-mir-223	15240	1258.427189	N
hsa-mir-224	47785	3945.796800	N
hsa-mir-2276	2	0.165148	N
hsa-mir-2277	37	3.055237	N
hsa-mir-2278	1	0.082574	N
hsa-mir-2355	250	20.643491	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	217627	17970.323744	Y
hsa-mir-23b	115383	9527.631519	Y
hsa-mir-23c	3	0.247722	N
hsa-mir-24-1	34316	2833.608098	N
hsa-mir-24-2	35021	2891.822742	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	19359	1598.549341	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	6	0.495444	N
hsa-mir-26a-1	346792	28635.989614	N
