miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	357895	42029.793774	N
hsa-let-7a-2	344507	40457.559239	Y
hsa-let-7a-3	345220	40541.291179	N
hsa-let-7b	110161	12936.878447	N
hsa-let-7c	33449	3928.120180	Y
hsa-let-7d	74191	8712.701854	N
hsa-let-7e	28266	3319.448863	N
hsa-let-7f-1	284511	33411.862855	N
hsa-let-7f-2	302207	35490.012118	N
hsa-let-7g	246955	29001.432603	N
hsa-let-7i	63714	7482.323811	N
hsa-mir-1-1	7039	826.632723	N
hsa-mir-1-2	7621	894.980534	N
hsa-mir-100	73912	8679.937181	Y
hsa-mir-101-1	19156	2249.605973	N
hsa-mir-101-2	20847	2448.190421	N
hsa-mir-103a-1	68689	8066.568420	Y
hsa-mir-103a-2	72552	8520.224082	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	543	63.767803	Y
hsa-mir-106b	11107	1304.362786	N
hsa-mir-107	11257	1321.978202	Y
hsa-mir-10a	103740	12182.821236	N
hsa-mir-10b	15433	1812.391364	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	739	86.785279	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	12	1.409233	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	5	0.587181	N
hsa-mir-1226	11	1.291797	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.117436	N
hsa-mir-1229	3	0.352308	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.469744	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.587181	N
hsa-mir-124-2	1	0.117436	N
hsa-mir-124-3	5	0.587181	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	12	1.409233	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	235	27.597484	N
hsa-mir-1248	20	2.348722	N
hsa-mir-1249	33	3.875391	N
hsa-mir-1250	3	0.352308	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.469744	N
hsa-mir-1254-2	8	0.939489	N
hsa-mir-1255a	31	3.640519	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.117436	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.822053	N
hsa-mir-125a	79918	9385.258411	N
hsa-mir-125b-1	23416	2749.883768	N
hsa-mir-125b-2	23753	2789.459734	N
hsa-mir-126	160827	18886.895998	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	29	3.405647	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.587181	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.587181	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	381	44.743155	N
hsa-mir-1270	16	1.878978	N
hsa-mir-1271	508	59.657540	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.352308	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.822053	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	15	1.761542	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2150	252.487620	N
hsa-mir-128-2	1537	180.499289	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	10	1.174361	N
hsa-mir-1283-2	11	1.291797	N
hsa-mir-1284	7	0.822053	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.117436	N
hsa-mir-1287	88	10.334377	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	24	2.818466	N
hsa-mir-1292	32	3.757955	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	29	3.405647	N
hsa-mir-1295a	21	2.466158	N
hsa-mir-1295b	1	0.117436	N
hsa-mir-1296	280	32.882109	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	36	4.227700	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	584	68.582684	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	31	3.640519	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	8	0.939489	N
hsa-mir-1307	860	100.995048	N
hsa-mir-130a	919	107.923778	N
hsa-mir-130b	262	30.768259	N
hsa-mir-132	1392	163.471054	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	7	0.822053	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2086	244.971709	Y
hsa-mir-133a-2	2108	247.555303	Y
hsa-mir-133b	45	5.284625	Y
hsa-mir-134	25	2.935903	N
hsa-mir-1343	7	0.822053	N
hsa-mir-135a-1	653	76.685775	N
hsa-mir-135a-2	651	76.450902	N
hsa-mir-135b	2002	235.107076	N
hsa-mir-136	70	8.220527	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	447	52.493938	N
hsa-mir-138-2	124	14.562077	N
hsa-mir-139	3788	444.847955	N
hsa-mir-140	43241	5078.054492	N
hsa-mir-141	1143	134.229465	N
hsa-mir-142	6047	710.136110	N
hsa-mir-143	285722	33554.077975	N
hsa-mir-144	7248	851.176868	N
hsa-mir-145	57289	6727.796855	N
hsa-mir-1468	58	6.811294	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	10053	1180.585135	N
hsa-mir-146b	115194	13527.934349	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.704617	N
hsa-mir-148a	24585	2887.166571	N
hsa-mir-148b	3129	367.457564	N
hsa-mir-149	342	40.163147	N
hsa-mir-150	8600	1009.950478	N
hsa-mir-151a	16485	1935.934144	N
hsa-mir-151b	204	23.956965	N
hsa-mir-152	1678	197.057779	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	6	0.704617	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	29	3.405647	N
hsa-mir-155	9423	1106.600390	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2166	254.366597	N
hsa-mir-15b	25048	2941.539486	N
