miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	352695	37411.011022	N
hsa-let-7a-2	345022	36597.121719	Y
hsa-let-7a-3	345067	36601.894952	N
hsa-let-7b	117649	12479.247043	N
hsa-let-7c	41522	4404.315342	Y
hsa-let-7d	58514	6206.688212	N
hsa-let-7e	19143	2030.533418	N
hsa-let-7f-1	280028	29703.087921	N
hsa-let-7f-2	297577	31564.542811	N
hsa-let-7g	298417	31653.643165	N
hsa-let-7i	69124	7332.110537	N
hsa-mir-1-1	7696	816.328955	N
hsa-mir-1-2	8017	850.378019	N
hsa-mir-100	189084	20056.489624	Y
hsa-mir-101-1	18544	1966.996380	N
hsa-mir-101-2	20564	2181.261517	N
hsa-mir-103a-1	79970	8482.565819	Y
hsa-mir-103a-2	84013	8911.414307	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	403	42.746955	Y
hsa-mir-106b	10767	1142.075605	N
hsa-mir-107	10218	1083.842160	Y
hsa-mir-10a	166318	17641.657895	N
hsa-mir-10b	19239	2040.716316	N
hsa-mir-1178	1	0.106072	N
hsa-mir-1179	18	1.909293	N
hsa-mir-1180	843	89.418569	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.424287	N
hsa-mir-1185-2	3	0.318216	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.212144	N
hsa-mir-1225	3	0.318216	N
hsa-mir-1226	27	2.863940	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.848575	N
hsa-mir-1229	6	0.636431	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.954647	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.106072	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.318216	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.636431	N
hsa-mir-1245b	4	0.424287	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	356	37.761578	N
hsa-mir-1248	54	5.727880	N
hsa-mir-1249	162	17.183640	N
hsa-mir-1250	16	1.697150	N
hsa-mir-1251	2	0.212144	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.424287	N
hsa-mir-1254-2	5	0.530359	N
hsa-mir-1255a	12	1.272862	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.636431	N
hsa-mir-125a	275523	29225.234238	N
hsa-mir-125b-1	96071	10190.428670	N
hsa-mir-125b-2	95194	10097.403658	N
hsa-mir-126	140676	14921.763525	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	18	1.909293	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	2.439653	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.106072	N
hsa-mir-1265	1	0.106072	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	1	0.106072	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.106072	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1063	112.754376	N
hsa-mir-1270	36	3.818587	N
hsa-mir-1271	787	83.478546	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.212144	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.106072	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.212144	N
hsa-mir-1277	3	0.318216	N
hsa-mir-1278	7	0.742503	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3487	369.872540	N
hsa-mir-128-2	2259	239.616308	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.318216	N
hsa-mir-1283-2	7	0.742503	N
hsa-mir-1284	17	1.803221	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.106072	N
hsa-mir-1287	61	6.470383	N
hsa-mir-1288	4	0.424287	N
hsa-mir-1289-1	1	0.106072	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	33	3.500371	N
hsa-mir-129-2	56	5.940024	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	26	2.757868	N
hsa-mir-1292	34	3.606443	N
hsa-mir-1293	3	0.318216	N
hsa-mir-1294	4	0.424287	N
hsa-mir-1295a	37	3.924658	N
hsa-mir-1295b	3	0.318216	N
hsa-mir-1296	437	46.353398	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	16	1.697150	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	647	68.628487	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	1.060718	N
hsa-mir-1304	19	2.015365	N
hsa-mir-1305	6	0.636431	N
hsa-mir-1306	67	7.106814	N
hsa-mir-1307	1023	108.511502	N
hsa-mir-130a	1103	116.997250	N
hsa-mir-130b	770	81.675324	N
hsa-mir-132	1456	154.440613	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	8	0.848575	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2562	271.756079	Y
hsa-mir-133a-2	2528	268.149636	Y
hsa-mir-133b	26	2.757868	Y
hsa-mir-134	55	5.833952	N
hsa-mir-1343	6	0.636431	N
hsa-mir-135a-1	620	65.764547	N
hsa-mir-135a-2	764	81.038893	N
hsa-mir-135b	2880	305.486927	N
hsa-mir-136	222	23.547951	N
hsa-mir-137	22	2.333581	N
hsa-mir-138-1	330	35.003710	N
hsa-mir-138-2	134	14.213628	N
hsa-mir-139	3005	318.745908	N
hsa-mir-140	52375	5555.513127	N
hsa-mir-141	764	81.038893	N
hsa-mir-142	7011	743.669738	N
hsa-mir-143	261947	27785.202807	N
hsa-mir-144	2492	264.331049	N
hsa-mir-145	88344	9370.811488	N
hsa-mir-1468	69	7.318958	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	14973	1588.213805	N
