miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	120728	14380.836542	N
hsa-let-7a-2	118068	14063.983573	Y
hsa-let-7a-3	118205	14080.302692	N
hsa-let-7b	40837	4864.407775	N
hsa-let-7c	9433	1123.636862	Y
hsa-let-7d	16755	1995.816350	N
hsa-let-7e	7837	933.525081	N
hsa-let-7f-1	130340	15525.795465	N
hsa-let-7f-2	138184	16460.154369	N
hsa-let-7g	186143	22172.918100	N
hsa-let-7i	90037	10724.996519	N
hsa-mir-1-1	1929	229.777961	N
hsa-mir-1-2	1994	237.520609	N
hsa-mir-100	71836	8556.936037	Y
hsa-mir-101-1	14428	1718.629561	N
hsa-mir-101-2	15026	1789.861920	N
hsa-mir-103a-1	33484	3988.535640	Y
hsa-mir-103a-2	35316	4206.759189	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	11	1.310294	N
hsa-mir-105-2	20	2.382353	N
hsa-mir-106a	238	28.350002	Y
hsa-mir-106b	9341	1112.678038	N
hsa-mir-107	4525	539.007400	Y
hsa-mir-10a	121198	14436.821841	N
hsa-mir-10b	18647	2221.186957	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.952941	N
hsa-mir-1180	237	28.230885	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	23	2.739706	N
hsa-mir-1185-2	11	1.310294	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.357353	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.357353	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.310294	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.310294	N
hsa-mir-1229	6	0.714706	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.476471	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.238235	N
hsa-mir-124-2	1	0.119118	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.119118	N
hsa-mir-1244-1	1	0.119118	N
hsa-mir-1244-2	2	0.238235	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	2.025000	N
hsa-mir-1245b	1	0.119118	N
hsa-mir-1246	0	0.000000	N
