miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	243070	23030.338518	N
hsa-let-7a-2	233768	22148.994835	Y
hsa-let-7a-3	233354	22109.769262	N
hsa-let-7b	53043	5025.705542	N
hsa-let-7c	25049	2373.336691	Y
hsa-let-7d	32351	3065.184850	N
hsa-let-7e	13138	1244.796098	N
hsa-let-7f-1	268447	25434.752475	N
hsa-let-7f-2	287299	27220.937285	N
hsa-let-7g	302141	28627.183569	N
hsa-let-7i	71524	6776.738932	N
hsa-mir-1-1	8667	821.178854	N
hsa-mir-1-2	8974	850.266416	N
hsa-mir-100	87947	8332.781428	Y
hsa-mir-101-1	38030	3603.257390	N
hsa-mir-101-2	41291	3912.229842	N
hsa-mir-103a-1	69130	6549.912789	Y
hsa-mir-103a-2	71757	6798.815160	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	263	24.918661	Y
hsa-mir-106b	12798	1212.581859	N
hsa-mir-107	5906	559.580283	Y
hsa-mir-10a	130621	12376.047425	N
hsa-mir-10b	29854	2828.599688	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.757982	N
hsa-mir-1180	487	46.142160	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.189496	N
hsa-mir-1185-2	4	0.378991	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.094748	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.189496	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	2.179199	N
hsa-mir-1227	0	0.000000	N
