miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	419084	36520.167074	N
hsa-let-7a-2	408483	35596.365900	Y
hsa-let-7a-3	409455	35681.068734	N
hsa-let-7b	212442	18512.797753	N
hsa-let-7c	27364	2384.576485	Y
hsa-let-7d	64564	5626.289877	N
hsa-let-7e	38604	3364.061930	N
hsa-let-7f-1	266040	23183.479322	N
hsa-let-7f-2	284893	24826.383155	N
hsa-let-7g	254849	22208.263877	N
hsa-let-7i	135142	11776.656753	N
hsa-mir-1-1	1114	97.077116	N
hsa-mir-1-2	1224	106.662828	N
hsa-mir-100	113233	9867.444422	Y
hsa-mir-101-1	7805	680.149812	N
hsa-mir-101-2	8542	744.374080	N
hsa-mir-103a-1	82734	7209.675155	Y
hsa-mir-103a-2	85868	7482.780794	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	241	21.001423	Y
hsa-mir-106b	7544	657.405533	N
hsa-mir-107	9344	814.262633	Y
hsa-mir-10a	155503	13550.971978	N
hsa-mir-10b	7342	639.802681	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.348571	N
hsa-mir-1180	562	48.974272	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	1.394285	N
hsa-mir-1185-2	16	1.394285	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.261428	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11	0.958571	N
hsa-mir-1224	2	0.174286	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	2.788571	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	61	5.315713	N
hsa-mir-1229	8	0.697143	N
hsa-mir-1231	4	0.348571	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.174286	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	0.348571	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.174286	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	5	0.435714	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	32	2.788571	N
hsa-mir-1245b	9	0.784285	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	785	68.407124	N
hsa-mir-1248	67	5.838570	N
hsa-mir-1249	294	25.619993	N
hsa-mir-1250	16	1.394285	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.174286	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.220000	N
hsa-mir-1254-2	14	1.220000	N
hsa-mir-1255a	28	2.439999	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.174286	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.087143	N
hsa-mir-125a	212330	18503.037756	N
hsa-mir-125b-1	86348	7524.609354	N
hsa-mir-125b-2	84476	7361.477970	N
hsa-mir-126	44997	3921.166062	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.610000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	0.871428	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	1	0.087143	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	20	1.742857	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2845	247.921360	N
hsa-mir-1270	45	3.921427	N
hsa-mir-1271	1058	92.197117	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.348571	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.348571	N
hsa-mir-1277	2	0.174286	N
hsa-mir-1278	23	2.004285	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4054	353.277045	N
hsa-mir-128-2	2546	221.865653	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.435714	N
hsa-mir-1283-2	3	0.261428	N
hsa-mir-1284	10	0.871428	N
hsa-mir-1285-1	1	0.087143	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.087143	N
hsa-mir-1287	75	6.535712	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.261428	N
hsa-mir-129-2	10	0.871428	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	18	1.568571	N
hsa-mir-1292	36	3.137142	N
hsa-mir-1293	2	0.174286	N
hsa-mir-1294	22	1.917142	N
hsa-mir-1295a	78	6.797141	N
hsa-mir-1295b	4	0.348571	N
hsa-mir-1296	491	42.787131	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	995	86.707119	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.610000	N
hsa-mir-1304	23	2.004285	N
hsa-mir-1305	2	0.174286	N
hsa-mir-1306	161	14.029996	N
hsa-mir-1307	1307	113.895683	N
hsa-mir-130a	504	43.919988	N
hsa-mir-130b	1910	166.442811	N
hsa-mir-132	5573	485.647009	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	17	1.481428	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	298	25.968564	Y
hsa-mir-133a-2	316	27.537135	Y
hsa-mir-133b	8	0.697143	Y
hsa-mir-134	202	17.602852	N
hsa-mir-1343	20	1.742857	N
hsa-mir-135a-1	36	3.137142	N
hsa-mir-135a-2	29	2.527142	N
hsa-mir-135b	4727	411.924172	N
hsa-mir-136	264	23.005708	N
hsa-mir-137	8	0.697143	N
hsa-mir-138-1	229	19.955709	N
hsa-mir-138-2	74	6.448570	N
hsa-mir-139	1364	118.862824	N
hsa-mir-140	17936	1562.993855	N
hsa-mir-141	477	41.567131	N
hsa-mir-142	5748	500.897005	N
hsa-mir-143	192116	16741.532527	N
hsa-mir-144	276	24.051422	N
hsa-mir-145	53415	4654.734431	N
hsa-mir-1468	66	5.751427	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	12597	1097.738269	N
hsa-mir-146b	157128	13692.579082	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	61	5.315713	N
hsa-mir-148a	77699	6770.910990	N
hsa-mir-148b	2419	210.798513	N
hsa-mir-149	3270	284.957064	N
hsa-mir-150	21053	1834.618066	N
hsa-mir-151a	32739	2852.969213	N
hsa-mir-151b	62	5.402856	N
hsa-mir-152	2944	256.548501	N
hsa-mir-153-1	5	0.435714	N
hsa-mir-153-2	1	0.087143	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	6	0.522857	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	227	19.781423	N
hsa-mir-155	18237	1589.223848	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1036	90.279975	N
hsa-mir-15b	17430	1518.899581	N
hsa-mir-16-1	18565	1617.806697	N
hsa-mir-16-2	21290	1855.270917	N
hsa-mir-17	2147	187.095663	Y
hsa-mir-181a-1	43810	3817.727519	N
hsa-mir-181a-2	45226	3941.121771	N
hsa-mir-181b-1	13177	1148.281112	N
hsa-mir-181b-2	18169	1583.298135	N
hsa-mir-181c	523	45.575702	N
hsa-mir-181d	297	25.881421	N
hsa-mir-182	12537	1092.509699	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6233	543.161279	N
hsa-mir-184	469	40.869989	N
hsa-mir-185	6028	525.296998	N
hsa-mir-186	10536	918.136890	N
hsa-mir-187	38	3.311428	N
hsa-mir-188	16	1.394285	N
hsa-mir-18a	201	17.515709	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	17	1.481428	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	121	10.544283	N
hsa-mir-190b	130	11.328568	N
hsa-mir-191	80994	7058.046625	N
hsa-mir-1910	4	0.348571	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.174286	N
hsa-mir-1914	1	0.087143	N
hsa-mir-1915	1	0.087143	N
hsa-mir-192	891	77.644264	N
hsa-mir-193a	3531	307.701344	N
hsa-mir-193b	3157	275.109924	N
hsa-mir-194-1	107	9.324283	N
hsa-mir-194-2	385	33.549991	N
hsa-mir-195	11196	975.651160	N
hsa-mir-196a-1	486	42.351417	N
hsa-mir-196a-2	718	62.568554	N
hsa-mir-196b	602	52.459986	N
hsa-mir-197	4856	423.165598	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	36	3.137142	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	78518	6842.280971	Y
hsa-mir-199a-2	143377	12494.277984	Y
hsa-mir-199b	240223	20933.712800	Y
hsa-mir-19a	210	18.299995	N
hsa-mir-19b-1	1490	129.842821	N
hsa-mir-19b-2	1504	131.062821	N
hsa-mir-200a	5060	440.942736	N
hsa-mir-200b	38401	3346.371935	N
hsa-mir-200c	104905	9141.718908	N
hsa-mir-202	3	0.261428	N
hsa-mir-203a	4194	365.477042	N
hsa-mir-203b	29	2.527142	N
hsa-mir-204	440	38.342847	N
hsa-mir-205	321158	27986.617998	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	5	0.435714	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	7525	655.749819	N
hsa-mir-20b	59	5.141427	N
hsa-mir-21	3194618	278388.063244	N
hsa-mir-210	1938	168.882811	N
hsa-mir-211	2	0.174286	N
hsa-mir-2110	495	43.135702	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.087143	N
hsa-mir-2115	3	0.261428	N
hsa-mir-2116	64	5.577141	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	485	42.264274	N
hsa-mir-214	15100	1315.856780	N
hsa-mir-215	18	1.568571	N
hsa-mir-216a	7	0.610000	N
hsa-mir-216b	23	2.004285	N
hsa-mir-217	43	3.747142	N
hsa-mir-218-1	3326	289.837063	N
hsa-mir-218-2	2747	239.381363	N
hsa-mir-219a-1	8	0.697143	N
hsa-mir-219a-2	1	0.087143	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	18557	1617.109554	N
hsa-mir-221	108384	9444.888824	N
hsa-mir-222	39358	3429.767626	N
hsa-mir-223	28258	2462.482178	N
hsa-mir-224	22594	1968.905171	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	49	4.269999	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	526	45.837130	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	332205	28949.284875	Y
hsa-mir-23b	107100	9332.997427	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	25991	2264.929376	N
hsa-mir-24-2	26628	2320.439360	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	9069	790.298354	N
