miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	174482	20669.059550	N
hsa-let-7a-2	169803	20114.787306	Y
hsa-let-7a-3	171038	20261.084853	N
hsa-let-7b	63202	7486.880605	N
hsa-let-7c	18354	2174.206617	Y
hsa-let-7d	28751	3405.830579	N
hsa-let-7e	11515	1364.061741	N
hsa-let-7f-1	195614	23172.346802	N
hsa-let-7f-2	208143	24656.526529	N
hsa-let-7g	187745	22240.188588	N
hsa-let-7i	58903	6977.622991	N
hsa-mir-1-1	4254	503.926934	N
hsa-mir-1-2	4427	524.420437	N
hsa-mir-100	66354	7860.265112	Y
hsa-mir-101-1	20304	2405.202744	N
hsa-mir-101-2	21157	2506.248741	N
hsa-mir-103a-1	62324	7382.873118	Y
hsa-mir-103a-2	66091	7829.110250	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	418	49.516093	Y
hsa-mir-106b	9363	1109.136785	N
hsa-mir-107	10830	1282.916948	Y
hsa-mir-10a	73156	8666.026985	N
hsa-mir-10b	13758	1629.766516	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	2.013812	N
hsa-mir-1180	415	49.160714	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.947676	N
hsa-mir-1185-2	7	0.829217	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.355379	N
hsa-mir-1224	2	0.236919	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	22	2.606110	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	23	2.724570	N
hsa-mir-1229	7	0.829217	N
hsa-mir-1231	1	0.118460	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.355379	N
hsa-mir-1236	4	0.473838	N
hsa-mir-1237	2	0.236919	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.829217	N
hsa-mir-124-2	14	1.658434	N
hsa-mir-124-3	14	1.658434	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.118460	N
hsa-mir-1245b	6	0.710757	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	153	18.124311	N
hsa-mir-1248	83	9.832143	N
hsa-mir-1249	139	16.465878	N
hsa-mir-1250	18	2.132272	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.236919	N
hsa-mir-1254-2	2	0.236919	N
hsa-mir-1255a	12	1.421515	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.118460	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.184596	N
hsa-mir-125a	111875	13252.662378	N
hsa-mir-125b-1	27680	3278.960399	N
hsa-mir-125b-2	28189	3339.256311	N
hsa-mir-126	108719	12878.804032	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	19	2.250731	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.118460	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.473838	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1165	138.005378	N
hsa-mir-1270	17	2.013812	N
hsa-mir-1271	377	44.659251	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.355379	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.236919	N
hsa-mir-1275	10	1.184596	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	10	1.184596	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2419	286.553656	N
hsa-mir-128-2	1715	203.158132	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.355379	N
hsa-mir-1283-2	5	0.592298	N
hsa-mir-1284	7	0.829217	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.118460	N
hsa-mir-1287	43	5.093761	N
hsa-mir-1288	1	0.118460	N
hsa-mir-1289-1	1	0.118460	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	0.947676	N
hsa-mir-129-2	12	1.421515	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	32	3.790706	N
hsa-mir-1292	21	2.487651	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	18	2.132272	N
hsa-mir-1295a	18	2.132272	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	179	21.204260	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	18	2.132272	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	628	74.392599	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.473838	N
hsa-mir-1304	14	1.658434	N
hsa-mir-1305	1	0.118460	N
hsa-mir-1306	54	6.396816	N
hsa-mir-1307	1108	131.253184	N
hsa-mir-130a	899	106.495137	N
