miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	232563	20420.025802	N
hsa-let-7a-2	227442	19970.380106	Y
hsa-let-7a-3	228076	20026.048016	Y
hsa-let-7b	89420	7851.458346	Y
hsa-let-7c	36140	3173.246529	Y
hsa-let-7d	36660	3218.904752	N
hsa-let-7e	15933	1398.985527	N
hsa-let-7f-1	234195	20563.322380	N
hsa-let-7f-2	248620	21829.899059	N
hsa-let-7g	249772	21931.049585	N
hsa-let-7i	113355	9953.053688	N
hsa-mir-1-1	4652	408.465491	N
hsa-mir-1-2	4931	432.962884	N
hsa-mir-100	135138	11865.694228	Y
hsa-mir-101-1	21351	1874.709093	N
hsa-mir-101-2	22657	1989.381478	N
hsa-mir-103a-1	57857	5080.091987	Y
hsa-mir-103a-2	60222	5287.749100	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	19	1.668281	N
hsa-mir-105-2	13	1.141456	N
hsa-mir-106a	443	38.897294	Y
hsa-mir-106b	28002	2458.695332	N
hsa-mir-107	8055	707.263442	Y
hsa-mir-10a	150378	13203.831392	N
hsa-mir-10b	36345	3191.246405	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.439021	N
hsa-mir-1180	479	42.058248	N
hsa-mir-1181	1	0.087804	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	1.492673	N
hsa-mir-1185-2	3	0.263413	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.351217	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.526826	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	1.756086	N
hsa-mir-1227	2	0.175609	N
hsa-mir-1228	10	0.878043	N
hsa-mir-1229	2	0.175609	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	13	1.141456	N
hsa-mir-124-2	13	1.141456	N
hsa-mir-124-3	10	0.878043	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	0.878043	N
hsa-mir-1245b	2	0.175609	N
hsa-mir-1246	3	0.263413	N
hsa-mir-1247	207	18.175485	N
hsa-mir-1248	175	15.365748	N
hsa-mir-1249	213	18.702311	N
hsa-mir-1250	17	1.492673	N
hsa-mir-1251	2	0.175609	N
hsa-mir-1252	2	0.175609	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.492673	N
hsa-mir-1254-2	11	0.965847	N
hsa-mir-1255a	48	4.214605	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.175609	N
hsa-mir-1257	1	0.087804	N
hsa-mir-1258	3	0.263413	N
hsa-mir-125a	158430	13910.831421	N
hsa-mir-125b-1	89490	7857.604645	N
hsa-mir-125b-2	90268	7925.916372	N
hsa-mir-126	105374	9252.287762	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.404868	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	35	3.073150	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.087804	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	13	1.141456	N
hsa-mir-1269b	1	0.087804	N
hsa-mir-127	2893	254.017770	N
hsa-mir-1270	13	1.141456	N
hsa-mir-1271	1486	130.477154	N
hsa-mir-1272	1	0.087804	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.087804	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.087804	N
hsa-mir-1275	1	0.087804	N
hsa-mir-1276	14	1.229260	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	30	2.634128	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5457	479.147933	N
hsa-mir-128-2	3720	326.631906	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.175609	N
hsa-mir-1283-2	2	0.175609	N
hsa-mir-1284	12	1.053651	N
hsa-mir-1285-1	5	0.439021	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	11	0.965847	N
hsa-mir-1287	43	3.775584	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	2	0.175609	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	16	1.404868	N
hsa-mir-129-2	26	2.282911	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	44	3.863388	N
hsa-mir-1292	37	3.248758	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	13	1.141456	N
hsa-mir-1295a	61	5.356061	N
hsa-mir-1295b	3	0.263413	N
hsa-mir-1296	608	53.385000	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.351217	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	880	77.267763	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.439021	N
hsa-mir-1304	53	4.653627	N
hsa-mir-1305	1	0.087804	N
hsa-mir-1306	106	9.307253	N
hsa-mir-1307	1799	157.959892	N
hsa-mir-130a	1017	89.296949	N
hsa-mir-130b	2438	214.066824	N
hsa-mir-132	3510	308.193008	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.087804	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	738	64.799556	Y
hsa-mir-133a-2	740	64.975164	Y
hsa-mir-133b	21	1.843890	Y
hsa-mir-134	169	14.838923	N
hsa-mir-1343	26	2.282911	N
hsa-mir-135a-1	432	37.931447	N
hsa-mir-135a-2	456	40.038750	N
hsa-mir-135b	2625	230.486224	N
hsa-mir-136	331	29.063215	N
hsa-mir-137	3	0.263413	N
hsa-mir-138-1	144	12.643816	N
hsa-mir-138-2	53	4.653627	N
hsa-mir-139	2246	197.208404	N
hsa-mir-140	46815	4110.557173	N
hsa-mir-141	833	73.140962	N
hsa-mir-142	13208	1159.718875	N
hsa-mir-143	483685	42469.611160	N
hsa-mir-144	3625	318.290500	N
hsa-mir-145	72301	6348.336948	N
hsa-mir-1468	38	3.336562	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	20741	1821.148485	N
hsa-mir-146b	157877	13862.275657	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	15	1.317064	N
hsa-mir-148a	94692	8314.362488	N
hsa-mir-148b	4015	352.534167	N
hsa-mir-149	5483	481.430844	N
hsa-mir-150	22961	2016.073978	N
hsa-mir-151a	25439	2233.652973	N
hsa-mir-151b	140	12.292599	N
hsa-mir-152	5145	451.752999	N
hsa-mir-153-1	6	0.526826	N
hsa-mir-153-2	4	0.351217	N
hsa-mir-1537	5	0.439021	N
hsa-mir-1538	1	0.087804	N
hsa-mir-1539	3	0.263413	N
hsa-mir-154	247	21.687656	N
hsa-mir-155	15858	1392.400206	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2152	188.954802	N
hsa-mir-15b	19645	1724.914999	N
hsa-mir-16-1	33966	2982.360033	N
hsa-mir-16-2	38303	3363.167177	N
hsa-mir-17	3512	308.368617	Y
hsa-mir-181a-1	28115	2468.617215	Y
hsa-mir-181a-2	28493	2501.807232	N
hsa-mir-181b-1	6430	564.581494	N
hsa-mir-181b-2	8030	705.068335	N
