miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	354438	37706.394847	N
hsa-let-7a-2	342750	36462.983184	Y
hsa-let-7a-3	342504	36436.812815	N
hsa-let-7b	97701	10393.785325	N
hsa-let-7c	28508	3032.784025	Y
hsa-let-7d	68393	7275.894410	N
hsa-let-7e	23854	2537.674693	N
hsa-let-7f-1	275916	29352.940826	N
hsa-let-7f-2	292664	31134.653568	N
hsa-let-7g	271339	28866.023032	N
hsa-let-7i	73901	7861.855347	N
hsa-mir-1-1	5009	532.875515	N
hsa-mir-1-2	5301	563.939530	N
hsa-mir-100	58218	6193.441152	Y
hsa-mir-101-1	19656	2091.076287	N
hsa-mir-101-2	21187	2253.949598	N
hsa-mir-103a-1	89847	9558.248432	Y
hsa-mir-103a-2	96264	10240.912074	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	878	93.404812	Y
hsa-mir-106b	19223	2045.012183	N
hsa-mir-107	17058	1814.691662	Y
hsa-mir-10a	113772	12103.476361	N
hsa-mir-10b	7608	809.366524	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.744685	N
hsa-mir-1180	992	105.532544	N
hsa-mir-1181	7	0.744685	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.106384	N
hsa-mir-1185-2	1	0.106384	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.531918	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.425534	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.319151	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	250	26.595903	N
hsa-mir-1248	7	0.744685	N
hsa-mir-1249	47	5.000030	N
hsa-mir-1250	29	3.085125	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.531918	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	12	1.276603	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	1.595754	N
hsa-mir-125a	163104	17351.592733	N
hsa-mir-125b-1	30048	3196.614788	N
hsa-mir-125b-2	30113	3203.529723	N
hsa-mir-126	211203	22468.538110	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.212767	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.851069	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	249	26.489520	N
hsa-mir-1270	48	5.106413	N
hsa-mir-1271	539	57.340767	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.319151	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.319151	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	17	1.808521	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2583	274.788871	N
hsa-mir-128-2	1955	207.979962	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	19	2.021289	N
hsa-mir-1283-2	25	2.659590	N
hsa-mir-1284	24	2.553207	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.425534	N
hsa-mir-1287	63	6.702168	N
hsa-mir-1288	2	0.212767	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	0.851069	N
hsa-mir-129-2	6	0.638302	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	0.744685	N
hsa-mir-1292	22	2.340439	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.106384	N
hsa-mir-1295a	63	6.702168	N
hsa-mir-1295b	9	0.957453	N
hsa-mir-1296	164	17.446912	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	26	2.765974	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	442	47.021557	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.106384	N
hsa-mir-1304	45	4.787263	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	81	8.617073	N
hsa-mir-1307	813	86.489877	N
hsa-mir-130a	1266	134.681653	N
hsa-mir-130b	611	65.000387	N
hsa-mir-132	948	100.851665	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	2	0.212767	N
hsa-mir-1323	10	1.063836	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1370	145.745549	Y
hsa-mir-133a-2	1356	144.256179	Y
hsa-mir-133b	16	1.702138	Y
hsa-mir-134	23	2.446823	N
hsa-mir-1343	5	0.531918	N
hsa-mir-135a-1	891	94.787799	N
hsa-mir-135a-2	1071	113.936849	N
hsa-mir-135b	836	88.936700	N
hsa-mir-136	71	7.553236	N
hsa-mir-137	1	0.106384	N
hsa-mir-138-1	351	37.340648	N
hsa-mir-138-2	143	15.212857	N
hsa-mir-139	3572	380.002264	N
hsa-mir-140	30533	3248.210840	N
hsa-mir-141	826	87.872864	N
hsa-mir-142	6121	651.174092	N
hsa-mir-143	306370	32592.747361	N
hsa-mir-144	14745	1568.626366	N
hsa-mir-145	49944	5313.223143	N
hsa-mir-1468	64	6.808551	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7433	790.749392	N
hsa-mir-146b	62529	6652.060906	N
hsa-mir-1470	0	0.000000	N
