miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	225589	27579.381695	N
hsa-let-7a-2	219499	26834.848786	Y
hsa-let-7a-3	219950	26889.985788	N
hsa-let-7b	97065	11866.680930	N
hsa-let-7c	70782	8653.452939	Y
hsa-let-7d	36347	4443.602243	N
hsa-let-7e	17588	2150.220823	N
hsa-let-7f-1	172433	21080.795269	N
hsa-let-7f-2	183375	22418.509406	N
hsa-let-7g	188776	23078.808625	N
hsa-let-7i	73326	8964.469643	N
hsa-mir-1-1	84822	10369.913046	N
hsa-mir-1-2	91200	11149.655394	N
hsa-mir-100	90653	11082.781912	Y
hsa-mir-101-1	19845	2426.150343	N
hsa-mir-101-2	21568	2636.795697	N
hsa-mir-103a-1	57003	6968.901386	Y
hsa-mir-103a-2	60384	7382.245519	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.122255	N
hsa-mir-105-2	1	0.122255	N
hsa-mir-106a	515	62.961322	Y
hsa-mir-106b	13158	1608.631203	N
hsa-mir-107	9473	1158.121552	Y
hsa-mir-10a	172700	21113.437352	N
hsa-mir-10b	122733	15004.722099	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.978040	N
hsa-mir-1180	300	36.676498	N
hsa-mir-1181	1	0.122255	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.855785	N
hsa-mir-1185-2	3	0.366765	N
hsa-mir-1193	1	0.122255	N
hsa-mir-1197	1	0.122255	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.611275	N
hsa-mir-1224	1	0.122255	N
hsa-mir-1225	3	0.366765	N
hsa-mir-1226	15	1.833825	N
hsa-mir-1227	1	0.122255	N
hsa-mir-1228	13	1.589315	N
hsa-mir-1229	4	0.489020	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.489020	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	3	0.366765	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.244510	N
hsa-mir-1244-1	0	0.000000	N
