miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	537211	48431.079711	N
hsa-let-7a-2	537184	48428.645586	Y
hsa-let-7a-3	536675	48382.757807	N
hsa-let-7b	368842	33252.141715	N
hsa-let-7c	49087	4425.330847	Y
hsa-let-7d	122114	11008.919899	N
hsa-let-7e	47975	4325.080926	N
hsa-let-7f-1	352810	31806.811910	N
hsa-let-7f-2	359575	32416.695651	N
hsa-let-7g	708252	63850.906009	N
hsa-let-7i	190403	17165.364950	N
hsa-mir-1-1	286	25.783703	N
hsa-mir-1-2	327	29.479968	N
hsa-mir-100	39069	3522.180025	Y
hsa-mir-101-1	1752	157.947718	N
hsa-mir-101-2	2151	193.918688	N
hsa-mir-103a-1	123428	11127.380688	Y
hsa-mir-103a-2	132992	11989.602136	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2301	207.441609	Y
hsa-mir-106b	50184	4524.228477	N
hsa-mir-107	28675	2585.131747	Y
hsa-mir-10a	99509	8971.015692	N
hsa-mir-10b	2192	197.614953	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.262139	N
hsa-mir-1180	224	20.194229	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.171986	N
hsa-mir-1185-2	9	0.811375	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	31	2.794737	N
hsa-mir-1224	4	0.360611	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.171986	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	0.811375	N
hsa-mir-1229	9	0.811375	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	25	2.253820	N
hsa-mir-124-2	19	1.712903	N
hsa-mir-124-3	30	2.704584	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.090153	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	37	3.335654	N
hsa-mir-1248	713	64.278952	N
hsa-mir-1249	41	3.696265	N
hsa-mir-1250	3	0.270458	N
hsa-mir-1251	2	0.180306	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	5	0.450764	N
hsa-mir-1255a	44	3.966724	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	12	1.081834	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.450764	N
hsa-mir-125a	24186	2180.435795	N
hsa-mir-125b-1	11641	1049.468829	N
hsa-mir-125b-2	11705	1055.238608	N
hsa-mir-126	139196	12548.910152	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	53	4.778099	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.270458	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.450764	N
hsa-mir-1267	1	0.090153	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	559	50.395419	N
hsa-mir-1270	20	1.803056	N
hsa-mir-1271	202	18.210867	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	20	1.803056	N
hsa-mir-1277	11	0.991681	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	585	52.739392	N
hsa-mir-128-2	466	42.011208	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	15	1.352292	N
hsa-mir-1283-2	26	2.343973	N
hsa-mir-1284	9	0.811375	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	156	14.063838	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.270458	N
hsa-mir-129-2	7	0.631070	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	38	3.425807	N
hsa-mir-1292	10	0.901528	N
hsa-mir-1293	1	0.090153	N
hsa-mir-1294	22	1.983362	N
hsa-mir-1295a	23	2.073515	N
hsa-mir-1295b	1	0.090153	N
hsa-mir-1296	63	5.679627	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1103	99.438546	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	78	7.031919	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	60	5.409168	N
hsa-mir-1307	789	71.130565	N
hsa-mir-130a	42013	3787.589889	N
hsa-mir-130b	2580	232.594243	N
hsa-mir-132	782	70.499495	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	8	0.721222	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	344	31.012566	Y
