miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	154056	14254.581066	N
hsa-let-7a-2	149891	13869.199581	Y
hsa-let-7a-3	150081	13886.780009	N
hsa-let-7b	37322	3453.351214	N
hsa-let-7c	3396	314.227017	Y
hsa-let-7d	33886	3135.423054	N
hsa-let-7e	3990	369.188986	N
hsa-let-7f-1	170677	15792.498394	N
hsa-let-7f-2	188916	17480.126945	N
hsa-let-7g	148367	13728.186043	N
hsa-let-7i	64601	5977.438019	N
hsa-mir-1-1	434	40.157398	N
hsa-mir-1-2	462	42.748198	N
hsa-mir-100	95559	8841.937426	Y
hsa-mir-101-1	10128	937.129336	N
hsa-mir-101-2	11042	1021.700447	N
hsa-mir-103a-1	66373	6141.398641	Y
hsa-mir-103a-2	69746	6453.497501	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	435	40.249927	Y
hsa-mir-106b	14752	1364.981435	N
hsa-mir-107	6510	602.360977	Y
hsa-mir-10a	33614	3110.255284	N
hsa-mir-10b	10332	956.005164	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.370114	N
hsa-mir-1180	225	20.818928	N
hsa-mir-1181	3	0.277586	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	24	2.220686	N
hsa-mir-1185-2	8	0.740229	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092529	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	19	1.758043	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.185057	N
hsa-mir-1226	37	3.423557	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.480457	N
hsa-mir-1229	4	0.370114	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.370114	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	6	0.555171	N
hsa-mir-124-2	5	0.462643	N
hsa-mir-124-3	6	0.555171	N
hsa-mir-1243	1	0.092529	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.110343	N
hsa-mir-1245b	1	0.092529	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	224	20.726399	N
hsa-mir-1248	59	5.459186	N
hsa-mir-1249	62	5.736771	N
hsa-mir-1250	38	3.516086	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	20	1.850571	N
hsa-mir-1254-2	21	1.943100	N
hsa-mir-1255a	2	0.185057	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.185057	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	46739	4324.692738	N
hsa-mir-125b-1	45575	4216.989485	N
hsa-mir-125b-2	44388	4107.158075	N
