miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	172344	14071.060882	N
hsa-let-7a-2	167395	13666.998772	Y
hsa-let-7a-3	167579	13682.021490	N
hsa-let-7b	54460	4446.397761	N
hsa-let-7c	20397	1665.317208	Y
hsa-let-7d	39631	3235.681044	N
hsa-let-7e	13972	1140.746778	N
hsa-let-7f-1	260382	21258.941272	N
hsa-let-7f-2	277494	22656.053988	N
hsa-let-7g	259039	21149.291765	N
hsa-let-7i	90104	7356.559380	N
hsa-mir-1-1	3330	271.878526	N
hsa-mir-1-2	3543	289.268955	N
hsa-mir-100	60474	4937.412012	Y
hsa-mir-101-1	24556	2004.879607	N
hsa-mir-101-2	25655	2094.607685	N
hsa-mir-103a-1	83869	6847.501538	Y
hsa-mir-103a-2	89258	7287.487538	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1100	89.809723	Y
hsa-mir-106b	15666	1279.053752	N
hsa-mir-107	14151	1155.361269	Y
hsa-mir-10a	359195	29326.548726	N
hsa-mir-10b	30175	2463.644003	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.326581	N
hsa-mir-1180	902	73.643973	N
hsa-mir-1181	5	0.408226	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.653162	N
hsa-mir-1185-2	6	0.489871	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.244936	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.163290	N
hsa-mir-1224	2	0.163290	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	2.531001	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	1.714549	N
hsa-mir-1229	7	0.571516	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.081645	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	2	0.163290	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.489871	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	69	5.633519	N
hsa-mir-1248	38	3.102518	N
hsa-mir-1249	143	11.675264	N
hsa-mir-1250	11	0.898097	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.061388	N
hsa-mir-1254-2	11	0.898097	N
hsa-mir-1255a	35	2.857582	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	7	0.571516	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	151847	12397.579154	N
hsa-mir-125b-1	38831	3170.364881	N
hsa-mir-125b-2	39056	3188.735052	N
hsa-mir-126	36271	2961.353161	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	11	0.898097	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.143033	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	1.143033	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	748	61.070612	N
hsa-mir-1270	36	2.939227	N
hsa-mir-1271	473	38.618181	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.244936	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.163290	N
hsa-mir-1275	7	0.571516	N
hsa-mir-1276	8	0.653162	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	9	0.734807	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3734	304.863188	N
hsa-mir-128-2	2739	223.626211	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.081645	N
hsa-mir-1283-2	1	0.081645	N
hsa-mir-1284	5	0.408226	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.244936	N
hsa-mir-1287	131	10.695522	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.244936	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	1.387968	N
hsa-mir-129-2	17	1.387968	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	24	1.959485	N
hsa-mir-1292	73	5.960100	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	27	2.204420	N
hsa-mir-1295a	45	3.674034	N
hsa-mir-1295b	6	0.489871	N
hsa-mir-1296	209	17.063847	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.163290	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	918	74.950296	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	10	0.816452	N
hsa-mir-1304	13	1.061388	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	111	9.062618	N
hsa-mir-1307	1846	150.717045	N
hsa-mir-130a	600	48.987122	N
hsa-mir-130b	1706	139.286716	N
hsa-mir-132	2627	214.481949	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	580	47.354218	Y
hsa-mir-133a-2	572	46.701056	Y
hsa-mir-133b	23	1.877840	Y
hsa-mir-134	39	3.184163	N
hsa-mir-1343	22	1.796194	N
hsa-mir-135a-1	335	27.351143	N
hsa-mir-135a-2	301	24.575206	N
hsa-mir-135b	40202	3282.300455	N
hsa-mir-136	99	8.082875	N
hsa-mir-137	20	1.632904	N
hsa-mir-138-1	659	53.804189	N
hsa-mir-138-2	199	16.247395	N
hsa-mir-139	1170	95.524888	N
hsa-mir-140	42208	3446.080732	N
hsa-mir-141	1993	162.718890	N
hsa-mir-142	11850	967.495657	N
hsa-mir-143	282441	23059.952807	N
hsa-mir-144	1352	110.384315	N
hsa-mir-145	35389	2889.342092	N
hsa-mir-1468	65	5.306938	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	43972	3590.102871	N
hsa-mir-146b	269541	22006.729688	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	72	5.878455	N
hsa-mir-148a	77424	6321.298204	N
hsa-mir-148b	7964	650.222397	N
hsa-mir-149	1347	109.976089	N
hsa-mir-150	36056	2943.799443	N
hsa-mir-151a	52998	4327.032474	N
hsa-mir-151b	240	19.594849	N
hsa-mir-152	10791	881.033387	N
hsa-mir-153-1	4	0.326581	N
hsa-mir-153-2	2	0.163290	N
hsa-mir-1537	12	0.979742	N
hsa-mir-1538	3	0.244936	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	93	7.593004	N
hsa-mir-155	27267	2226.219753	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1494	121.977933	N
hsa-mir-15b	17384	1419.320211	N
hsa-mir-16-1	30992	2530.348134	N
hsa-mir-16-2	33307	2719.356779	N
hsa-mir-17	3977	324.702973	Y
hsa-mir-181a-1	53233	4346.219096	N
hsa-mir-181a-2	53063	4332.339412	N
hsa-mir-181b-1	12325	1006.277128	N
hsa-mir-181b-2	15050	1228.760307	N
hsa-mir-181c	1305	106.546990	N
hsa-mir-181d	753	61.478838	N
hsa-mir-182	78343	6396.330146	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	23860	1948.054546	N
hsa-mir-184	12	0.979742	N
hsa-mir-185	5401	440.965742	N
hsa-mir-186	18084	1476.471853	N
hsa-mir-187	191	15.594234	N
hsa-mir-188	23	1.877840	N
hsa-mir-18a	316	25.799884	N
hsa-mir-18b	32	2.612646	N
hsa-mir-1908	20	1.632904	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	105	8.572746	N
hsa-mir-190b	86	7.021487	N
hsa-mir-191	74700	6098.896671	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	4	0.326581	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1514	123.610837	Y
hsa-mir-193a	1394	113.813413	N
hsa-mir-193b	1021	83.359752	N
hsa-mir-194-1	238	19.431558	N
hsa-mir-194-2	776	63.356678	N
hsa-mir-195	12771	1042.690889	N
hsa-mir-196a-1	5882	480.237085	N
hsa-mir-196a-2	10988	897.117492	N
hsa-mir-196b	71	5.796809	N
hsa-mir-197	4888	399.081753	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	48	3.918970	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	52822	4312.662918	Y
hsa-mir-199a-2	93991	7673.914284	Y
hsa-mir-199b	146286	11943.550180	Y
hsa-mir-19a	426	34.780857	N
hsa-mir-19b-1	2188	178.639704	N
hsa-mir-19b-2	2243	183.130191	N
hsa-mir-200a	9490	774.812977	N
hsa-mir-200b	51277	4186.521079	N
hsa-mir-200c	118260	9655.361718	N
hsa-mir-202	36	2.939227	N
hsa-mir-203a	5220	426.187960	N
hsa-mir-203b	19	1.551259	N
hsa-mir-204	1278	104.342570	N
hsa-mir-205	52618	4296.007296	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	9696	791.631889	N
hsa-mir-20b	924	75.440168	N
hsa-mir-21	3746186	305858.116803	N
hsa-mir-210	1022	83.441398	N
hsa-mir-211	1	0.081645	N
hsa-mir-2110	356	29.065692	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.081645	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	13	1.061388	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	235	19.186623	N
hsa-mir-214	8012	654.141367	N
hsa-mir-215	16	1.306323	Y
hsa-mir-216a	9	0.734807	N
hsa-mir-216b	47	3.837325	N
hsa-mir-217	79	6.449971	N
hsa-mir-218-1	3793	309.680255	N
hsa-mir-218-2	3393	277.022174	N
hsa-mir-219a-1	7	0.571516	N
hsa-mir-219a-2	3	0.244936	N
hsa-mir-219b	8	0.653162	N
hsa-mir-22	10297	840.700656	N
hsa-mir-221	56255	4592.950900	N
hsa-mir-222	18397	1502.026801	N
hsa-mir-223	18916	1544.400662	N
hsa-mir-224	67501	5511.132854	N
hsa-mir-2276	2	0.163290	N
hsa-mir-2277	24	1.959485	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	312	25.473303	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	224314	18314.162087	Y
hsa-mir-23b	99372	8113.247122	Y
hsa-mir-23c	2	0.163290	N
hsa-mir-24-1	24518	2001.777089	N
hsa-mir-24-2	24787	2023.739649	N
hsa-mir-2467	3	0.244936	N
hsa-mir-25	46342	3783.602002	N
hsa-mir-2681	5	0.408226	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	632715	51658.144676	N
hsa-mir-26a-2	645292	52684.996396	N
hsa-mir-26b	197682	16139.787038	N
hsa-mir-27a	32111	2621.709117	Y
hsa-mir-27b	192860	15746.093869	Y
hsa-mir-28	13652	1114.620313	N
hsa-mir-2861	3	0.244936	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	204	16.655621	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	33	2.694292	N
hsa-mir-29a	80153	6544.107964	N
hsa-mir-29b-1	1180	96.341340	Y
hsa-mir-29b-2	1982	161.820793	Y
hsa-mir-29c	6600	538.858340	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	115	9.389198	N
hsa-mir-301b	4	0.326581	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	52	4.245551	N
hsa-mir-3065	376	30.698596	N
hsa-mir-3074	5	0.408226	N
hsa-mir-30a	104467	8529.229432	Y
hsa-mir-30b	69718	5692.140269	Y
hsa-mir-30c-1	21084	1721.407462	Y
hsa-mir-30c-2	21250	1734.960566	N
hsa-mir-30d	631992	51599.115195	N
hsa-mir-30e	28107	2294.801723	Y
hsa-mir-31	211	17.227138	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	1	0.081645	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	7	0.571516	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	3	0.244936	N
hsa-mir-3125	3	0.244936	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	17	1.387968	N
hsa-mir-3128	5	0.408226	N
hsa-mir-3129	2	0.163290	N
hsa-mir-3130-1	0	0.000000	N
hsa-mir-3130-2	1	0.081645	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	1	0.081645	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	1	0.081645	N
hsa-mir-3140	13	1.061388	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	9	0.734807	N
hsa-mir-3144	1	0.081645	N
hsa-mir-3145	28	2.286066	N
hsa-mir-3146	2	0.163290	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	1	0.081645	N
hsa-mir-3150a	3	0.244936	N
hsa-mir-3150b	1	0.081645	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	6	0.489871	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	4	0.326581	N
hsa-mir-3155a	1	0.081645	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	17	1.387968	N
hsa-mir-3158-1	1	0.081645	N
hsa-mir-3158-2	4	0.326581	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	2	0.163290	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	7	0.571516	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	0	0.000000	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	17	1.387968	N
hsa-mir-3174	19	1.551259	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	3	0.244936	N
hsa-mir-3177	3	0.244936	N
hsa-mir-3178	2	0.163290	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	2	0.163290	N
hsa-mir-3182	3	0.244936	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	15	1.224678	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	4	0.326581	N
hsa-mir-3190	8	0.653162	N
hsa-mir-3191	5	0.408226	N
hsa-mir-3192	3	0.244936	N
hsa-mir-3193	3	0.244936	N
hsa-mir-3194	0	0.000000	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	1	0.081645	N
hsa-mir-3199-1	11	0.898097	N
hsa-mir-3199-2	8	0.653162	N
hsa-mir-32	758	61.887064	N
hsa-mir-3200	37	3.020873	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	3	0.244936	N
hsa-mir-3202-2	7	0.571516	N
hsa-mir-320a	34427	2810.799407	Y
hsa-mir-320b-1	336	27.432788	Y
hsa-mir-320b-2	471	38.454891	Y
hsa-mir-320c-1	22	1.796194	N
hsa-mir-320c-2	58	4.735422	N
hsa-mir-320d-1	52	4.245551	N
hsa-mir-320d-2	33	2.694292	N
hsa-mir-320e	25	2.041130	N
hsa-mir-323a	76	6.205035	N
hsa-mir-323b	16	1.306323	N
hsa-mir-324	1153	94.136919	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	82	6.694907	N
hsa-mir-328	1045	85.319237	N
hsa-mir-329-1	29	2.367711	N
hsa-mir-329-2	25	2.041130	N
hsa-mir-330	852	69.561713	N
hsa-mir-331	1021	83.359752	N
hsa-mir-335	6322	516.160974	N
hsa-mir-337	77	6.286681	N
hsa-mir-338	317	25.881529	N
hsa-mir-339	3826	312.374547	N
hsa-mir-33a	81	6.613261	N
hsa-mir-33b	13	1.061388	N
hsa-mir-340	9629	786.161661	N
hsa-mir-342	15251	1245.170992	N
hsa-mir-345	757	61.805419	N
hsa-mir-346	9	0.734807	N
hsa-mir-34a	13124	1071.511645	N
hsa-mir-34b	741	60.499095	N
hsa-mir-34c	2715	221.666726	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	116	9.470844	N
hsa-mir-3606	1	0.081645	N
hsa-mir-3607	69	5.633519	N
hsa-mir-3609	71	5.796809	N
hsa-mir-361	22631	1847.712591	N
hsa-mir-3610	6	0.489871	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	1415	115.527962	N
hsa-mir-3614	64	5.225293	N
hsa-mir-3615	274	22.370786	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	113	9.225908	N
hsa-mir-3618	1	0.081645	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	3037	247.956482	N
hsa-mir-3620	12	0.979742	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	5	0.408226	N
hsa-mir-3622b	1	0.081645	N
hsa-mir-363	6401	522.610945	N
hsa-mir-3646	1	0.081645	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	5	0.408226	N
hsa-mir-3652	4	0.326581	N
hsa-mir-3653	80	6.531616	N
hsa-mir-3654	1	0.081645	N
hsa-mir-3655	11	0.898097	N
hsa-mir-3656	1	0.081645	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	1325	108.179894	Y
