miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	366600	32708.829055	N
hsa-let-7a-2	353141	31507.988547	Y
hsa-let-7a-3	352520	31452.581611	N
hsa-let-7b	97655	8712.986092	N
hsa-let-7c	37363	3333.606056	Y
hsa-let-7d	55970	4993.762036	N
hsa-let-7e	22769	2031.498442	N
hsa-let-7f-1	329603	29407.878295	N
hsa-let-7f-2	352382	31440.268958	N
hsa-let-7g	334722	29864.606326	N
hsa-let-7i	89479	7983.506042	N
hsa-mir-1-1	7080	631.692607	N
hsa-mir-1-2	7477	667.113788	N
hsa-mir-100	150920	13465.402294	Y
hsa-mir-101-1	23995	2140.884760	N
hsa-mir-101-2	26258	2342.794417	N
hsa-mir-103a-1	87671	7822.192450	Y
hsa-mir-103a-2	90685	8091.107918	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	269	24.000750	Y
hsa-mir-106b	12380	1104.569841	N
hsa-mir-107	8997	802.731410	Y
hsa-mir-10a	192428	17168.834036	N
hsa-mir-10b	12915	1152.303675	N
hsa-mir-1178	5	0.446111	N
hsa-mir-1179	10	0.892221	N
hsa-mir-1180	403	35.956514	N
hsa-mir-1181	1	0.089222	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.535333	N
hsa-mir-1185-2	3	0.267666	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.089222	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.178444	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	0.981443	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	16	1.427554	N
hsa-mir-1229	6	0.535333	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.178444	N
hsa-mir-1236	1	0.089222	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.178444	N
hsa-mir-124-3	1	0.089222	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	0.892221	N
hsa-mir-1245b	6	0.535333	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	153	13.650984	N
hsa-mir-1248	46	4.104218	N
hsa-mir-1249	86	7.673102	N
hsa-mir-1250	10	0.892221	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.605998	N
hsa-mir-1254-2	11	0.981443	N
hsa-mir-1255a	39	3.479663	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.446111	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	0.892221	N
hsa-mir-125a	230557	20570.784235	N
hsa-mir-125b-1	59905	5344.851076	N
hsa-mir-125b-2	60227	5373.580599	N
hsa-mir-126	198743	17732.271721	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	0.713777	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	2.052109	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	19	1.695220	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1182	105.460545	N
hsa-mir-1270	38	3.390441	N
hsa-mir-1271	872	77.801688	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.089222	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	14	1.249110	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3722	332.084729	N
hsa-mir-128-2	2471	220.467858	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.446111	N
hsa-mir-1283-2	7	0.624555	N
hsa-mir-1284	11	0.981443	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.178444	N
hsa-mir-1287	82	7.316214	N
hsa-mir-1288	6	0.535333	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.624555	N
hsa-mir-129-2	32	2.855108	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	0.892221	N
hsa-mir-1292	31	2.765886	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	35	3.122774	N
hsa-mir-1295a	13	1.159888	N
hsa-mir-1295b	4	0.356888	N
hsa-mir-1296	254	22.662418	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	6	0.535333	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	830	74.054359	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.089222	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.356888	N
hsa-mir-1304	36	3.211996	N
hsa-mir-1305	2	0.178444	N
hsa-mir-1306	46	4.104218	N
hsa-mir-1307	1027	91.631117	N
hsa-mir-130a	1053	93.950892	N
hsa-mir-130b	859	76.641801	N
hsa-mir-132	1673	149.268606	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.089222	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1388	123.840302	Y
hsa-mir-133a-2	1435	128.033742	Y
hsa-mir-133b	9	0.802999	Y
hsa-mir-134	71	6.334770	N
hsa-mir-1343	23	2.052109	N
hsa-mir-135a-1	272	24.268417	N
hsa-mir-135a-2	269	24.000750	N
hsa-mir-135b	3784	337.616501	N
hsa-mir-136	239	21.324087	N
hsa-mir-137	8	0.713777	N
hsa-mir-138-1	229	20.431865	N
hsa-mir-138-2	34	3.033552	N
hsa-mir-139	2823	251.874044	N
hsa-mir-140	49660	4430.770461	N
hsa-mir-141	901	80.389130	N
hsa-mir-142	12971	1157.300114	N
hsa-mir-143	379661	33874.159160	N
hsa-mir-144	5386	480.550336	N
hsa-mir-145	64714	5773.920250	N
hsa-mir-1468	95	8.476101	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	27559	2458.872395	N
hsa-mir-146b	226792	20234.862954	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	42	3.747329	N
hsa-mir-148a	55570	4958.073188	N
hsa-mir-148b	4706	419.879295	N
hsa-mir-149	497	44.343393	N
hsa-mir-150	25114	2240.724312	N
hsa-mir-151a	20476	1826.912121	N
hsa-mir-151b	140	12.491097	N
hsa-mir-152	2669	238.133837	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.178444	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	106	9.457545	N
hsa-mir-155	33796	3015.350755	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2756	245.896162	N
hsa-mir-15b	20609	1838.778663	N
hsa-mir-16-1	42412	3784.088538	N
hsa-mir-16-2	45053	4019.724156	N
hsa-mir-17	1895	169.075917	Y
hsa-mir-181a-1	52417	4676.755844	N
hsa-mir-181a-2	52999	4728.683118	N
hsa-mir-181b-1	11396	1016.775275	N
hsa-mir-181b-2	13771	1228.677809	N
hsa-mir-181c	925	82.530461	N
hsa-mir-181d	457	40.774509	N
