miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	238411	24409.199714	N
hsa-let-7a-2	228309	23374.928076	Y
hsa-let-7a-3	228004	23343.701304	N
hsa-let-7b	144737	14818.587813	N
hsa-let-7c	47044	4816.499202	Y
hsa-let-7d	35896	3675.135094	N
hsa-let-7e	28439	2911.666117	N
hsa-let-7f-1	180149	18444.169603	N
hsa-let-7f-2	195228	19988.000729	N
hsa-let-7g	199326	20407.565684	N
hsa-let-7i	76880	7871.194173	N
hsa-mir-1-1	3601	368.680674	N
hsa-mir-1-2	3926	401.955103	N
hsa-mir-100	41889	4288.715566	Y
hsa-mir-101-1	17217	1762.725677	N
hsa-mir-101-2	18101	1853.232124	N
hsa-mir-103a-1	74223	7599.162918	Y
hsa-mir-103a-2	76955	7878.872888	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	496	50.781898	Y
hsa-mir-106b	6214	636.207084	N
hsa-mir-107	7639	782.102657	Y
hsa-mir-10a	284977	29176.759910	N
hsa-mir-10b	427393	43757.717108	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.614297	N
hsa-mir-1180	1197	122.552282	N
hsa-mir-1181	4	0.409531	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.228594	N
hsa-mir-1185-2	5	0.511914	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.716680	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	46	4.709611	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.409531	N
hsa-mir-1229	12	1.228594	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.511914	N
hsa-mir-124-2	7	0.716680	N
hsa-mir-124-3	10	1.023829	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.023829	N
hsa-mir-1245b	2	0.204766	N
hsa-mir-1246	2	0.204766	N
hsa-mir-1247	51	5.221526	N
hsa-mir-1248	10	1.023829	N
hsa-mir-1249	137	14.026452	N
hsa-mir-1250	8	0.819063	N
hsa-mir-1251	3	0.307149	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.614297	N
hsa-mir-1254-2	14	1.433360	N
hsa-mir-1255a	14	1.433360	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
