miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	144617	17909.230442	N
hsa-let-7a-2	136182	16864.648140	Y
hsa-let-7a-3	135522	16782.914373	N
hsa-let-7b	89312	11060.312337	N
hsa-let-7c	31935	3954.799741	Y
hsa-let-7d	23321	2888.050251	N
hsa-let-7e	12585	1558.514318	N
hsa-let-7f-1	156367	19364.339161	N
hsa-let-7f-2	168949	20922.481962	N
hsa-let-7g	184954	22904.525797	N
hsa-let-7i	34847	4315.419025	N
hsa-mir-1-1	2525	312.693576	N
hsa-mir-1-2	2551	315.913391	N
hsa-mir-100	51411	6366.688883	Y
hsa-mir-101-1	29754	3684.706795	N
hsa-mir-101-2	31687	3924.087659	N
hsa-mir-103a-1	55756	6904.769512	Y
hsa-mir-103a-2	58739	7274.181368	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.123839	N
hsa-mir-105-2	4	0.495356	N
hsa-mir-106a	818	101.300335	Y
hsa-mir-106b	5712	707.368596	N
hsa-mir-107	11277	1396.532854	Y
hsa-mir-10a	247872	30696.230513	N
hsa-mir-10b	577476	71514.073440	N
hsa-mir-1178	1	0.123839	N
hsa-mir-1179	5	0.619195	N
hsa-mir-1180	987	122.229132	N
hsa-mir-1181	3	0.371517	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	19	2.352942	N
hsa-mir-1185-2	2	0.247678	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.743034	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.123839	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	47	5.820435	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.866873	N
hsa-mir-1229	7	0.866873	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.743034	N
hsa-mir-1236	1	0.123839	N
hsa-mir-1237	1	0.123839	N
hsa-mir-1238	1	0.123839	N
hsa-mir-124-1	52	6.439630	N
hsa-mir-124-2	39	4.829723	N
hsa-mir-124-3	43	5.325079	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.743034	N
hsa-mir-1245b	4	0.495356	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	92	11.393192	N
hsa-mir-1248	19	2.352942	N
hsa-mir-1249	104	12.879260	N
hsa-mir-1250	5	0.619195	N
hsa-mir-1251	16	1.981425	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.247678	N
hsa-mir-1254-2	4	0.495356	N
hsa-mir-1255a	4	0.495356	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	205041	25392.080592	N
hsa-mir-125b-1	73514	9103.903184	N
hsa-mir-125b-2	73918	9153.934156	N
hsa-mir-126	43221	5352.447146	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	16	1.981425	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.866873	N
hsa-mir-1263	9	1.114551	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	101	12.507743	N
hsa-mir-1269b	0	0.000000	N
