miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110742	25329.675533	N
hsa-let-7a-2	110033	25167.508153	N
hsa-let-7a-3	110829	25349.574774	N
hsa-let-7b	48083	10997.876042	N
hsa-let-7c	977	223.466192	N
hsa-let-7d	3459	791.166384	N
hsa-let-7e	2797	639.749169	N
hsa-let-7f-1	117302	26830.124066	N
hsa-let-7f-2	120618	27588.582502	N
hsa-let-7g	25201	5764.146874	N
hsa-let-7i	6052	1384.255263	N
hsa-mir-1-1	46	10.521438	N
hsa-mir-1-2	36	8.234169	N
hsa-mir-100	576	131.746700	N
hsa-mir-101-1	84301	19281.907290	N
hsa-mir-101-2	86476	19779.388320	N
hsa-mir-103a-1	172810	39526.297419	Y
hsa-mir-103a-2	173342	39647.980136	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	731	167.199372	Y
hsa-mir-106b	5785	1323.185178	N
hsa-mir-107	489	111.847459	Y
hsa-mir-10a	20417	4669.917334	N
hsa-mir-10b	1145	261.892313	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.228727	N
hsa-mir-1180	50	11.436346	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.686181	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.228727	N
hsa-mir-1225	1	0.228727	N
hsa-mir-1226	13	2.973450	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.686181	N
hsa-mir-1229	3	0.686181	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.228727	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.228727	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	3	0.686181	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	25	5.718173	N
hsa-mir-1249	22	5.031992	N
hsa-mir-1250	3	0.686181	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.914908	N
hsa-mir-1254-2	4	0.914908	N
hsa-mir-1255a	3	0.686181	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.228727	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	764	174.747360	N
hsa-mir-125b-1	67	15.324703	N
hsa-mir-125b-2	56	12.808707	N
hsa-mir-126	10217	2336.902846	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.372361	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	1.143635	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	236	53.979551	N
hsa-mir-1270	16	3.659631	N
hsa-mir-1271	40	9.149076	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	16	3.659631	N
hsa-mir-1275	4	0.914908	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	16	3.659631	N
hsa-mir-1278	3	0.686181	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	836	191.215697	N
hsa-mir-128-2	452	103.384564	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.914908	N
hsa-mir-1285-1	1	0.228727	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	191	43.686840	N
hsa-mir-1288	7	1.601088	N
hsa-mir-1289-1	1	0.228727	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.457454	N
hsa-mir-129-2	4	0.914908	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	24	5.489446	N
hsa-mir-1292	9	2.058542	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	9	2.058542	N
hsa-mir-1295a	2	0.457454	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	10	2.287269	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.457454	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	175	40.027209	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	15	3.430904	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	57	13.037434	N
hsa-mir-1307	13406	3066.312963	N
hsa-mir-130a	337	77.080969	N
hsa-mir-130b	265	60.612631	N
hsa-mir-132	213	48.718832	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19	4.345811	N
hsa-mir-133a-2	16	3.659631	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	287	65.644623	N
hsa-mir-1343	1	0.228727	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	3	0.686181	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	31	7.090534	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.457454	N
hsa-mir-138-2	2	0.457454	N
hsa-mir-139	349	79.825692	N
hsa-mir-140	34375	7862.487552	N
hsa-mir-141	186	42.543205	N
hsa-mir-142	223906	51213.327643	N
hsa-mir-143	33096	7569.945833	N
hsa-mir-144	7647	1749.074685	N
hsa-mir-145	1004	229.641818	N
hsa-mir-1468	60	13.723615	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	4317	987.414073	N
hsa-mir-146b	32263	7379.416316	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	90680	20740.956252	N
hsa-mir-148b	1154	263.950855	N
hsa-mir-149	4	0.914908	N
hsa-mir-150	205472	46996.975773	N
hsa-mir-151a	6434	1471.628943	N
hsa-mir-151b	7	1.601088	N
hsa-mir-152	331	75.708607	N
hsa-mir-153-1	1	0.228727	N
hsa-mir-153-2	121	27.675956	N
hsa-mir-1537	11	2.515996	N
hsa-mir-1538	4	0.914908	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	5	1.143635	N
hsa-mir-155	7918	1811.059678	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	8332	1905.752619	N
hsa-mir-15b	8258	1888.826828	N
hsa-mir-16-1	4147	948.530498	N
hsa-mir-16-2	4127	943.955960	N
hsa-mir-17	16236	3713.610120	Y
hsa-mir-181a-1	40929	9361.563724	N
hsa-mir-181a-2	51972	11887.394997	N
hsa-mir-181b-1	4432	1013.717668	N
hsa-mir-181b-2	4368	999.079145	N
hsa-mir-181c	769	175.890994	N
hsa-mir-181d	188	43.000659	N
hsa-mir-182	22980	5256.144405	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3410	779.958765	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	2259	516.694091	N
hsa-mir-186	3552	812.437986	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	14	3.202177	N
hsa-mir-18a	335	76.623515	N
hsa-mir-18b	9	2.058542	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	40	9.149076	N
hsa-mir-190b	7	1.601088	N
hsa-mir-191	14880	3403.456430	N
hsa-mir-1910	1	0.228727	N
hsa-mir-1911	4	0.914908	N
hsa-mir-1912	4	0.914908	N
hsa-mir-1913	1	0.228727	N
hsa-mir-1914	2	0.457454	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	6153	1407.356681	Y
hsa-mir-193a	856	195.790235	N
hsa-mir-193b	42	9.606530	N
hsa-mir-194-1	1283	293.456626	N
hsa-mir-194-2	1816	415.368070	N
hsa-mir-195	6	1.372361	N
hsa-mir-196a-1	11	2.515996	N
hsa-mir-196a-2	11	2.515996	N
hsa-mir-196b	816	186.641159	N
hsa-mir-197	5463	1249.535113	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	327	74.793700	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1257	287.509727	Y
hsa-mir-199a-2	1816	415.368070	Y
hsa-mir-199b	2237	511.662099	Y
hsa-mir-19a	1037	237.189806	N
hsa-mir-19b-1	1706	390.208109	N
hsa-mir-19b-2	1597	365.276876	N
hsa-mir-200a	44	10.063984	N
hsa-mir-200b	47	10.750165	N
hsa-mir-200c	949	217.061838	N
