miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	316465	40579.277147	N
hsa-let-7a-2	305926	39227.895472	Y
hsa-let-7a-3	305365	39155.960268	N
hsa-let-7b	68528	8787.122444	N
hsa-let-7c	37291	4781.703582	Y
hsa-let-7d	53374	6843.974337	N
hsa-let-7e	15371	1970.973312	N
hsa-let-7f-1	301990	38723.195000	N
hsa-let-7f-2	320200	41058.204043	N
hsa-let-7g	272439	34933.966432	N
hsa-let-7i	65952	8456.810347	N
hsa-mir-1-1	4284	549.323380	N
hsa-mir-1-2	4457	571.506607	N
hsa-mir-100	71936	9224.119194	Y
hsa-mir-101-1	16314	2091.891133	N
hsa-mir-101-2	17585	2254.867327	N
hsa-mir-103a-1	57838	7416.378530	Y
hsa-mir-103a-2	61006	7822.600862	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	281	36.031716	Y
hsa-mir-106b	8364	1072.488503	N
hsa-mir-107	8397	1076.719985	Y
hsa-mir-10a	103824	13313.013668	N
hsa-mir-10b	13810	1770.811361	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	2.051628	N
hsa-mir-1180	820	105.145932	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.512907	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9	1.154041	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.256453	N
hsa-mir-1226	12	1.538721	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.256453	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.384680	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	4	0.512907	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.256453	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	234	30.005059	N
hsa-mir-1248	24	3.077442	N
hsa-mir-1249	27	3.462122	N
hsa-mir-1250	11	1.410494	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.154041	N
hsa-mir-1254-2	8	1.025814	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.128227	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	1.410494	N
hsa-mir-125a	146537	18789.962667	N
hsa-mir-125b-1	39657	5085.088063	N
hsa-mir-125b-2	39347	5045.337772	N
hsa-mir-126	98381	12615.075490	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	1.025814	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.795174	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.384680	N
hsa-mir-1267	1	0.128227	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.128227	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	641	82.193344	N
hsa-mir-1270	23	2.949215	N
hsa-mir-1271	349	44.751134	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.384680	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.256453	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	1	0.128227	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2612	334.928260	N
hsa-mir-128-2	1844	236.450119	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.256453	N
hsa-mir-1283-2	3	0.384680	N
hsa-mir-1284	5	0.641134	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.256453	N
hsa-mir-1287	79	10.129913	N
hsa-mir-1288	2	0.256453	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	9	1.154041	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	0.897587	N
hsa-mir-1292	25	3.205669	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	19	2.436308	N
hsa-mir-1295a	33	4.231483	N
hsa-mir-1295b	5	0.641134	N
hsa-mir-1296	109	13.976715	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	1.154041	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	404	51.803605	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.384680	N
hsa-mir-1304	38	4.872616	N
hsa-mir-1305	1	0.128227	N
hsa-mir-1306	31	3.975029	N
hsa-mir-1307	893	114.506484	N
hsa-mir-130a	814	104.376571	N
hsa-mir-130b	467	59.881890	N
hsa-mir-132	1736	222.601631	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.256453	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	979	125.533984	Y
hsa-mir-133a-2	968	124.123490	Y
hsa-mir-133b	12	1.538721	Y
