miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	285536	21998.051010	N
hsa-let-7a-2	273479	21069.164632	Y
hsa-let-7a-3	273355	21059.611516	N
hsa-let-7b	110731	8530.854906	N
hsa-let-7c	40077	3087.582268	Y
hsa-let-7d	39658	3055.301983	N
hsa-let-7e	29634	2283.040470	N
hsa-let-7f-1	224380	17286.516186	N
hsa-let-7f-2	243854	18786.817533	N
hsa-let-7g	236027	18183.815651	N
hsa-let-7i	84255	6491.110711	N
hsa-mir-1-1	1766	136.054852	N
hsa-mir-1-2	1824	140.523244	N
hsa-mir-100	70684	5445.583876	Y
hsa-mir-101-1	32758	2523.717342	N
hsa-mir-101-2	35064	2701.374470	N
hsa-mir-103a-1	85324	6573.467809	Y
hsa-mir-103a-2	88812	6842.187697	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.231124	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	461	35.516017	Y
hsa-mir-106b	7821	602.539634	N
hsa-mir-107	9494	731.429649	Y
hsa-mir-10a	141579	10907.423456	N
hsa-mir-10b	43497	3351.063350	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	166	12.788848	N
hsa-mir-1180	1018	78.427995	N
hsa-mir-1181	2	0.154083	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	31	2.388279	N
hsa-mir-1185-2	5	0.385206	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.385206	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	25	1.926031	N
hsa-mir-1224	72	5.546970	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	35	2.696444	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	21	1.617866	N
hsa-mir-1229	7	0.539289	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.308165	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.154083	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	9	0.693371	N
hsa-mir-124-2	7	0.539289	N
hsa-mir-124-3	6	0.462248	N
