miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	117146	10063.475510	N
hsa-let-7a-2	113897	9784.368823	Y
hsa-let-7a-3	114309	9819.761853	N
hsa-let-7b	66198	5686.766529	N
hsa-let-7c	24323	2089.477360	Y
hsa-let-7d	15913	1367.012837	N
hsa-let-7e	8716	748.751580	N
hsa-let-7f-1	167942	14427.126868	N
hsa-let-7f-2	178785	15358.599261	N
hsa-let-7g	208838	17940.314637	N
hsa-let-7i	27298	2345.045964	N
hsa-mir-1-1	3336	286.580458	N
hsa-mir-1-2	3424	294.140134	N
hsa-mir-100	81220	6977.237643	Y
hsa-mir-101-1	49649	4265.117849	N
hsa-mir-101-2	52073	4473.352570	N
hsa-mir-103a-1	56584	4860.871888	Y
hsa-mir-103a-2	57893	4973.322074	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	505	43.382234	Y
hsa-mir-106b	5810	499.110449	N
hsa-mir-107	11548	992.035709	Y
hsa-mir-10a	378660	32528.943681	N
hsa-mir-10b	1337243	114876.412178	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.116770	N
hsa-mir-1180	589	50.598288	N
hsa-mir-1181	2	0.171811	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	32	2.748973	N
hsa-mir-1185-2	7	0.601338	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	19	1.632203	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	37	3.178500	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.343622	N
hsa-mir-1226	59	5.068419	N
hsa-mir-1227	3	0.257716	N
hsa-mir-1228	1	0.085905	N
hsa-mir-1229	16	1.374487	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.171811	N
hsa-mir-124-1	82	7.044244	N
hsa-mir-124-2	107	9.191879	N
hsa-mir-124-3	113	9.707312	N
hsa-mir-1243	1	0.085905	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
