miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	326069	34014.650745	N
hsa-let-7a-2	311296	32473.570680	Y
hsa-let-7a-3	310343	32374.156255	N
hsa-let-7b	95976	10011.961026	N
hsa-let-7c	44673	4660.168531	Y
hsa-let-7d	57471	5995.221849	N
hsa-let-7e	20927	2183.048975	N
hsa-let-7f-1	266415	27791.704143	N
hsa-let-7f-2	288737	30120.275807	N
hsa-let-7g	268464	28005.450372	N
hsa-let-7i	60720	6334.148886	N
hsa-mir-1-1	11490	1198.606237	N
hsa-mir-1-2	12168	1269.333393	N
hsa-mir-100	136993	14290.745362	Y
hsa-mir-101-1	16284	1698.703565	N
hsa-mir-101-2	18518	1931.748503	N
hsa-mir-103a-1	78151	8152.504440	Y
hsa-mir-103a-2	80461	8393.477496	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	283	29.521807	Y
hsa-mir-106b	8245	860.096469	N
hsa-mir-107	6422	669.925958	Y
hsa-mir-10a	170162	17750.847213	N
hsa-mir-10b	23220	2422.248635	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.521587	N
hsa-mir-1180	857	89.399960	N
hsa-mir-1181	1	0.104317	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.521587	N
hsa-mir-1185-2	1	0.104317	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.312952	N
hsa-mir-1224	5	0.521587	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	32	3.338155	N
hsa-mir-1227	3	0.312952	N
hsa-mir-1228	12	1.251808	N
hsa-mir-1229	5	0.521587	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.938856	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.625904	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	450	46.942803	N
hsa-mir-1248	3	0.312952	N
hsa-mir-1249	81	8.449705	N
hsa-mir-1250	7	0.730221	N
hsa-mir-1251	3	0.312952	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.356125	N
hsa-mir-1254-2	9	0.938856	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.312952	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	19	1.982029	N
hsa-mir-125a	319118	33289.540914	N
hsa-mir-125b-1	96242	10039.709439	N
hsa-mir-125b-2	96711	10088.634271	N
hsa-mir-126	129348	13493.239298	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	0.625904	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	36	3.755424	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	1.356125	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.104317	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	671	69.996935	N
hsa-mir-1270	68	7.093579	N
hsa-mir-1271	481	50.176641	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	4	0.417269	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.312952	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	9	0.938856	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2845	296.782832	N
hsa-mir-128-2	1814	189.231655	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	1.564760	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.104317	N
hsa-mir-1287	98	10.223099	N
hsa-mir-1288	2	0.208635	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.104317	N
hsa-mir-129-1	5	0.521587	N
hsa-mir-129-2	16	1.669077	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	34	3.546790	N
hsa-mir-1292	52	5.424502	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	12	1.251808	N
hsa-mir-1295a	20	2.086347	N
hsa-mir-1295b	2	0.208635	N
hsa-mir-1296	115	11.996494	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	35	3.651107	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	662	69.058079	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
