miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	127812	18685.426750	N
hsa-let-7a-2	121669	17787.353200	Y
hsa-let-7a-3	122522	17912.057211	N
hsa-let-7b	51067	7465.720651	N
hsa-let-7c	53381	7804.015001	Y
hsa-let-7d	32182	4704.835255	N
hsa-let-7e	15831	2314.407027	N
hsa-let-7f-1	126936	18557.360263	N
hsa-let-7f-2	134340	19639.785228	N
hsa-let-7g	184532	26977.585587	N
hsa-let-7i	41431	6056.989294	N
hsa-mir-1-1	2628	384.199461	N
hsa-mir-1-2	2712	396.479809	N
hsa-mir-100	80047	11702.440734	Y
hsa-mir-101-1	23129	3381.335362	N
hsa-mir-101-2	24074	3519.489278	N
hsa-mir-103a-1	101714	14870.039562	Y
hsa-mir-103a-2	104345	15254.677607	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	196	28.654145	N
hsa-mir-105-2	212	30.993259	N
hsa-mir-106a	309	45.174138	Y
hsa-mir-106b	2463	360.077349	N
hsa-mir-107	11818	1727.728017	Y
hsa-mir-10a	623	91.079248	N
hsa-mir-10b	152	22.221582	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	181	26.461226	N
hsa-mir-1180	2398	350.574698	N
hsa-mir-1181	2	0.292389	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	51	7.455926	N
hsa-mir-1185-2	35	5.116812	N
hsa-mir-1193	1	0.146195	N
hsa-mir-1197	93	13.596100	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16	2.339114	N
hsa-mir-1224	106	15.496630	N
hsa-mir-1225	26	3.801060	N
hsa-mir-1226	93	13.596100	N
hsa-mir-1227	2	0.292389	N
hsa-mir-1228	92	13.449905	N
hsa-mir-1229	76	11.110791	N
hsa-mir-1231	21	3.070087	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.877168	N
hsa-mir-1236	1	0.146195	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	39923	5836.527808	N
hsa-mir-124-2	40241	5883.017697	N
hsa-mir-124-3	40294	5890.766012	N
hsa-mir-1243	22	3.216282	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	69	10.087429	N
hsa-mir-1248	691	101.020482	N
hsa-mir-1249	4134	604.368558	N
hsa-mir-1250	367	53.653425	N
hsa-mir-1251	21	3.070087	N
hsa-mir-1252	9	1.315752	N
hsa-mir-1253	1	0.146195	N
hsa-mir-1254-1	4	0.584778	N
hsa-mir-1254-2	5	0.730973	N
hsa-mir-1255a	18	2.631503	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.146195	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	22	3.216282	N
hsa-mir-125a	113403	16578.908473	N
hsa-mir-125b-1	141067	20623.236436	N
hsa-mir-125b-2	144754	21162.255999	N
hsa-mir-126	29018	4242.275478	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.292389	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.023362	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	29	4.239644	N
hsa-mir-1265	1	0.146195	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	5	0.730973	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	1.315752	N
hsa-mir-1269b	6	0.877168	N
hsa-mir-127	11252	1644.981862	N
hsa-mir-1270	85	12.426543	N
hsa-mir-1271	1102	161.106471	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
