miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	292909	29676.850407	N
hsa-let-7a-2	286499	29027.404296	Y
hsa-let-7a-3	286579	29035.509707	N
hsa-let-7b	83192	8428.817616	N
hsa-let-7c	33892	3433.857662	Y
hsa-let-7d	47333	4795.668144	N
hsa-let-7e	25530	2586.639505	N
hsa-let-7f-1	295474	29936.730170	N
hsa-let-7f-2	311233	31533.394955	N
hsa-let-7g	283276	28700.857522	Y
hsa-let-7i	70414	7134.180734	Y
hsa-mir-1-1	6288	637.085359	N
hsa-mir-1-2	6490	657.551523	N
hsa-mir-100	101951	10329.435340	Y
hsa-mir-101-1	35201	3566.482461	N
hsa-mir-101-2	37928	3842.775682	N
hsa-mir-103a-1	70859	7179.267086	Y
hsa-mir-103a-2	73620	7459.005107	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	328	33.232188	Y
hsa-mir-106b	13144	1331.719141	N
hsa-mir-107	8177	828.474392	Y
hsa-mir-10a	177298	17963.416022	N
hsa-mir-10b	40388	4092.017091	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.519765	N
hsa-mir-1180	351	35.562494	N
hsa-mir-1181	3	0.303953	N
hsa-mir-1182	1	0.101318	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.506588	N
hsa-mir-1185-2	5	0.506588	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.202635	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.519765	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.810541	N
hsa-mir-1229	6	0.607906	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	6	0.607906	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.202635	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.303953	N
hsa-mir-124-2	3	0.303953	N
hsa-mir-124-3	2	0.202635	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.506588	N
hsa-mir-1245b	5	0.506588	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	264	26.747859	N
hsa-mir-1248	27	2.735576	N
hsa-mir-1249	47	4.761929	N
hsa-mir-1250	20	2.026353	N
hsa-mir-1251	1	0.101318	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.506588	N
hsa-mir-1254-2	14	1.418447	N
hsa-mir-1255a	45	4.559294	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.101318	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	0.911859	N
hsa-mir-125a	209777	21254.111850	N
hsa-mir-125b-1	61001	6180.477731	N
hsa-mir-125b-2	61290	6209.758531	N
hsa-mir-126	253360	25669.838821	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	0.911859	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	22	2.228988	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.303953	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	927	93.921458	N
hsa-mir-1270	44	4.457976	N
hsa-mir-1271	754	76.393505	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.202635	N
hsa-mir-1275	3	0.303953	N
hsa-mir-1276	2	0.202635	N
hsa-mir-1277	3	0.303953	N
hsa-mir-1278	6	0.607906	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3270	331.308703	N
hsa-mir-128-2	2212	224.114633	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.506588	N
hsa-mir-1283-2	6	0.607906	N
hsa-mir-1284	8	0.810541	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	70	7.092235	N
hsa-mir-1288	2	0.202635	N
hsa-mir-1289-1	1	0.101318	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	14	1.418447	N
hsa-mir-129-2	20	2.026353	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	2.330306	N
hsa-mir-1292	17	1.722400	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	16	1.621082	N
hsa-mir-1295a	5	0.506588	N
hsa-mir-1295b	1	0.101318	N
hsa-mir-1296	283	28.672894	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	17	1.722400	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	750	75.988235	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.405271	N
hsa-mir-1304	28	2.836894	N
hsa-mir-1305	2	0.202635	N
hsa-mir-1306	52	5.268518	N
hsa-mir-1307	1029	104.255858	N
hsa-mir-130a	1184	119.960093	N
hsa-mir-130b	846	85.714729	N
hsa-mir-132	2482	251.470398	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	11	1.114494	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1032	104.559811	Y
hsa-mir-133a-2	1028	104.154540	Y
hsa-mir-133b	34	3.444800	Y
hsa-mir-134	49	4.964565	N
hsa-mir-1343	15	1.519765	N
hsa-mir-135a-1	497	50.354870	N
hsa-mir-135a-2	546	55.319435	N
hsa-mir-135b	2699	273.456327	N
hsa-mir-136	166	16.818729	N
hsa-mir-137	3	0.303953	N
hsa-mir-138-1	289	29.280800	N
hsa-mir-138-2	111	11.246259	N
hsa-mir-139	6247	632.931335	N
hsa-mir-140	44188	4477.024147	N
hsa-mir-141	1178	119.352187	N
hsa-mir-142	7536	763.529781	N
hsa-mir-143	491521	49799.750738	N
hsa-mir-144	3640	368.796232	N
hsa-mir-145	63141	6397.297494	N
hsa-mir-1468	53	5.369835	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	12711	1287.848600	N
hsa-mir-146b	137484	13929.555259	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	10	1.013176	N
hsa-mir-148a	30282	3068.100960	N
hsa-mir-148b	4226	428.168373	N
hsa-mir-149	634	64.235388	N
hsa-mir-150	24108	2442.565813	N
hsa-mir-151a	30614	3101.738418	N
hsa-mir-151b	193	19.554306	N
hsa-mir-152	2090	211.753880	N
hsa-mir-153-1	2	0.202635	N
hsa-mir-153-2	3	0.303953	N
hsa-mir-1537	1	0.101318	N
hsa-mir-1538	1	0.101318	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	88	8.915953	N
hsa-mir-155	9048	916.722062	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2141	216.921080	N
hsa-mir-15b	20080	2034.458334	N
hsa-mir-16-1	35446	3591.305284	N
hsa-mir-16-2	39023	3953.718505	N
hsa-mir-17	2957	299.596280	Y
hsa-mir-181a-1	61348	6215.634954	N
hsa-mir-181a-2	61993	6280.984836	N
hsa-mir-181b-1	13191	1336.481070	N
hsa-mir-181b-2	16120	1633.240455	N
hsa-mir-181c	1160	117.528469	N
hsa-mir-181d	431	43.667905	N
hsa-mir-182	10972	1111.657213	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	7542	764.137687	N
hsa-mir-184	35	3.546118	N
hsa-mir-185	5417	548.837689	N
hsa-mir-186	21474	2175.695133	N
hsa-mir-187	38	3.850071	N
hsa-mir-188	22	2.228988	N
hsa-mir-18a	400	40.527058	N
hsa-mir-18b	11	1.114494	N
hsa-mir-1908	13	1.317129	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	146	14.792376	N
hsa-mir-190b	40	4.052706	N
hsa-mir-191	74836	7582.207365	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	2	0.202635	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.101318	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1292	130.902399	N
hsa-mir-193a	3580	362.717173	N
hsa-mir-193b	920	93.212234	N
hsa-mir-194-1	183	18.541129	N
hsa-mir-194-2	690	69.909176	N
hsa-mir-195	17186	1741.245066	N
hsa-mir-196a-1	22	2.228988	N
hsa-mir-196a-2	47	4.761929	N
hsa-mir-196b	45	4.559294	N
hsa-mir-197	3815	386.526820	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	26	2.634259	N
hsa-mir-198	0	0.000000	N
