miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	130145	21823.732590	N
hsa-let-7a-2	128011	21465.886762	Y
hsa-let-7a-3	127424	21367.454006	Y
hsa-let-7b	45350	7604.643075	Y
hsa-let-7c	12828	2151.099479	Y
hsa-let-7d	23787	3988.790404	N
hsa-let-7e	6872	1152.350765	N
hsa-let-7f-1	151575	25417.282780	N
hsa-let-7f-2	160198	26863.254935	N
hsa-let-7g	156152	26184.789976	N
hsa-let-7i	46856	7857.180946	N
hsa-mir-1-1	3456	579.529139	N
hsa-mir-1-2	3715	622.960287	N
hsa-mir-100	55983	9387.667767	Y
hsa-mir-101-1	17173	2879.703099	N
hsa-mir-101-2	18492	3100.883346	N
hsa-mir-103a-1	42976	7206.552167	Y
hsa-mir-103a-2	45397	7612.524403	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	10	1.676878	N
hsa-mir-105-2	8	1.341503	N
hsa-mir-106a	282	47.287968	Y
hsa-mir-106b	8880	1489.067927	N
hsa-mir-107	6518	1092.989274	Y
hsa-mir-10a	55041	9229.705832	N
hsa-mir-10b	7089	1188.739024	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	1.006127	N
hsa-mir-1180	155	25.991614	N
hsa-mir-1181	2	0.335376	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.167688	N
hsa-mir-1185-2	1	0.167688	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	1.006127	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	5	0.838439	N
hsa-mir-1226	6	1.006127	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	2.179942	N
hsa-mir-1229	1	0.167688	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.670751	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12	2.012254	N
hsa-mir-124-2	8	1.341503	N
hsa-mir-124-3	8	1.341503	N
