miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	200442	19687.579191	N
hsa-let-7a-2	192519	18909.375571	Y
hsa-let-7a-3	193433	18999.149408	N
hsa-let-7b	100094	9831.315550	N
hsa-let-7c	40071	3935.806796	Y
hsa-let-7d	26418	2594.797832	N
hsa-let-7e	19570	1922.181602	N
hsa-let-7f-1	196764	19326.322985	N
hsa-let-7f-2	212771	20898.543778	N
hsa-let-7g	207021	20333.774017	Y
hsa-let-7i	50680	4977.831559	Y
hsa-mir-1-1	5983	587.655213	N
hsa-mir-1-2	6438	632.345690	N
hsa-mir-100	52602	5166.611990	Y
hsa-mir-101-1	21955	2156.438277	N
hsa-mir-101-2	23689	2326.753193	N
hsa-mir-103a-1	91652	9002.135321	Y
hsa-mir-103a-2	94887	9319.879699	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1612	158.331975	Y
hsa-mir-106b	6653	653.463168	N
hsa-mir-107	19783	1943.102639	Y
hsa-mir-10a	250439	24598.325924	N
hsa-mir-10b	579625	56931.247385	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.294662	N
hsa-mir-1180	937	92.032916	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	21	2.062637	N
hsa-mir-1185-2	20	1.964417	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	9	0.883987	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.473312	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.491104	N
hsa-mir-1229	16	1.571533	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.196442	N
hsa-mir-1237	5	0.491104	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	28	2.750183	N
hsa-mir-124-2	30	2.946625	N
hsa-mir-124-3	11	1.080429	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.491104	N
hsa-mir-1245b	3	0.294662	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	82	8.054108	N
hsa-mir-1248	82	8.054108	N
hsa-mir-1249	78	7.661225	N
hsa-mir-1250	12	1.178650	N
hsa-mir-1251	21	2.062637	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.276871	N
hsa-mir-1254-2	14	1.375092	N
hsa-mir-1255a	14	1.375092	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.098221	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	206280	20260.992384	N
hsa-mir-125b-1	76304	7494.642054	N
hsa-mir-125b-2	77027	7565.655712	N
hsa-mir-126	79614	7819.752994	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	35	3.437729	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.375092	N
hsa-mir-1263	5	0.491104	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	187	18.367295	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1820	178.761907	N
hsa-mir-1270	157	15.420670	N
hsa-mir-1271	449	44.101152	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.196442	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.294662	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	7	0.687546	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5061	497.095610	N
hsa-mir-128-2	2986	293.287392	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.098221	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	4	0.392883	N
hsa-mir-1287	102	10.018524	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	296	29.073365	N
hsa-mir-129-2	157	15.420670	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	28	2.750183	N
hsa-mir-1292	18	1.767975	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	8	0.785767	N
hsa-mir-1295a	43	4.223496	N
hsa-mir-1295b	13	1.276871	N
hsa-mir-1296	472	46.360231	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.294662	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	491	48.226427	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.392883	N
hsa-mir-1304	14	1.375092	N
hsa-mir-1305	5	0.491104	N
hsa-mir-1306	81	7.955887	N
hsa-mir-1307	1313	128.963947	N
hsa-mir-130a	2011	197.522085	N
hsa-mir-130b	349	34.279069	N
hsa-mir-132	6471	635.586977	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1052	103.328311	Y
hsa-mir-133a-2	979	96.158191	Y
hsa-mir-133b	23	2.259079	Y
hsa-mir-134	133	13.063370	N
hsa-mir-1343	18	1.767975	N
hsa-mir-135a-1	6219	610.835329	N
hsa-mir-135a-2	7244	711.511677	N
hsa-mir-135b	1781	174.931295	N
hsa-mir-136	289	28.385819	N
hsa-mir-137	5	0.491104	N
hsa-mir-138-1	1152	113.150394	N
hsa-mir-138-2	330	32.412873	N
hsa-mir-139	9835	966.001843	N
hsa-mir-140	82950	8147.417676	N
hsa-mir-141	364	35.752381	N
hsa-mir-142	1607	157.840870	N
hsa-mir-143	577933	56765.057744	N
hsa-mir-144	655	64.334642	N
hsa-mir-145	111815	10982.561874	N
