miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	191744	25246.857474	N
hsa-let-7a-2	186648	24575.869148	Y
hsa-let-7a-3	186883	24606.811506	N
hsa-let-7b	76183	10030.985809	N
hsa-let-7c	50059	6591.248948	Y
hsa-let-7d	20168	2655.512671	N
hsa-let-7e	10063	1324.991274	N
hsa-let-7f-1	165447	21784.341771	N
hsa-let-7f-2	177124	23321.847793	N
hsa-let-7g	187487	24686.339950	N
hsa-let-7i	60957	8026.184345	N
hsa-mir-1-1	473700	62371.893700	N
hsa-mir-1-2	497077	65449.934145	N
hsa-mir-100	98435	12960.897945	Y
hsa-mir-101-1	13182	1735.668784	N
hsa-mir-101-2	14259	1877.476952	N
hsa-mir-103a-1	39874	5250.193982	Y
hsa-mir-103a-2	41714	5492.466062	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	15	1.975044	N
hsa-mir-105-2	10	1.316696	N
hsa-mir-106a	199	26.202252	Y
hsa-mir-106b	5803	764.078740	N
hsa-mir-107	4613	607.391906	Y
hsa-mir-10a	6461	850.717343	N
hsa-mir-10b	116962	15400.340787	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	180	23.700530	N
hsa-mir-1181	1	0.131670	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.185026	N
hsa-mir-1185-2	8	1.053357	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.658348	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	10	1.316696	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.263339	N
hsa-mir-1226	9	1.185026	N
hsa-mir-1227	1	0.131670	N
hsa-mir-1228	2	0.263339	N
hsa-mir-1229	4	0.526678	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.131670	N
hsa-mir-1236	1	0.131670	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	21	2.765062	N
hsa-mir-124-2	33	4.345097	N
hsa-mir-124-3	22	2.896731	N
hsa-mir-1243	4	0.526678	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.395009	N
hsa-mir-1245b	7	0.921687	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	626	82.425175	N
hsa-mir-1248	29	3.818419	N
hsa-mir-1249	146	19.223763	N
hsa-mir-1250	11	1.448366	N
hsa-mir-1251	1	0.131670	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.131670	N
hsa-mir-1254-2	7	0.921687	N
hsa-mir-1255a	5	0.658348	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.131670	N
hsa-mir-125a	43638	5745.798390	N
hsa-mir-125b-1	50624	6665.642277	N
hsa-mir-125b-2	51508	6782.038211	N
hsa-mir-126	59203	7795.235851	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.921687	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.790018	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.131670	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.131670	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4747	625.035633	N
hsa-mir-1270	13	1.711705	N
hsa-mir-1271	635	83.610202	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.131670	N
hsa-mir-1276	2	0.263339	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	5	0.658348	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	13451	1771.087908	N
hsa-mir-128-2	6748	888.506520	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	37	4.871776	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.131670	N
hsa-mir-129-1	13	1.711705	N
hsa-mir-129-2	15	1.975044	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	25	3.291740	N
hsa-mir-1292	16	2.106714	N
hsa-mir-1293	9	1.185026	N
hsa-mir-1294	12	1.580035	N
hsa-mir-1295a	10	1.316696	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	452	59.514663	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.131670	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	214	28.177296	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.526678	N
hsa-mir-1304	10	1.316696	N
hsa-mir-1305	1	0.131670	N
hsa-mir-1306	17	2.238383	N
hsa-mir-1307	765	100.727251	N
hsa-mir-130a	310	40.817579	N
hsa-mir-130b	430	56.617932	N
hsa-mir-132	810	106.652383	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	134640	17727.996132	Y
hsa-mir-133a-2	131476	17311.393490	Y
hsa-mir-133b	7772	1023.336200	Y
hsa-mir-134	149	19.618772	N
hsa-mir-1343	1	0.131670	N
hsa-mir-135a-1	1731	227.920093	N
hsa-mir-135a-2	2167	285.328042	N
hsa-mir-135b	1067	140.491473	N
hsa-mir-136	1054	138.779768	N
hsa-mir-137	9	1.185026	N
hsa-mir-138-1	172	22.647173	N
hsa-mir-138-2	33	4.345097	N
hsa-mir-139	4617	607.918584	N
hsa-mir-140	30405	4003.414456	N
hsa-mir-141	319	42.002605	N
hsa-mir-142	2360	310.740277	N
hsa-mir-143	202976	26725.770521	N
hsa-mir-144	1533	201.849510	N
hsa-mir-145	40424	5322.612267	N
hsa-mir-1468	26	3.423410	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	8093	1065.602144	N
hsa-mir-146b	13531	1781.621477	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	0.921687	N
hsa-mir-148a	11061	1456.397543	N
hsa-mir-148b	1040	136.936393	N
hsa-mir-149	3611	475.458957	N
hsa-mir-150	7334	965.664911	N
hsa-mir-151a	10666	1404.388048	N
hsa-mir-151b	95	12.508613	N
hsa-mir-152	2248	295.993281	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	2	0.263339	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	4	0.526678	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	320	42.134275	N
hsa-mir-155	5122	674.411736	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	926	121.926058	N
hsa-mir-15b	9798	1290.098827	N
hsa-mir-16-1	14713	1937.254955	N
hsa-mir-16-2	16287	2144.502919	N
hsa-mir-17	1737	228.710111	Y
hsa-mir-181a-1	11543	1519.862295	N
hsa-mir-181a-2	12165	1601.760791	N
hsa-mir-181b-1	2656	349.714481	N
hsa-mir-181b-2	3461	455.708516	N
hsa-mir-181c	395	52.009495	N
hsa-mir-181d	127	16.722040	N
hsa-mir-182	9691	1276.010179	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4015	528.653479	N
hsa-mir-184	4	0.526678	N
hsa-mir-185	2240	294.939924	N
hsa-mir-186	9760	1285.095382	N
hsa-mir-187	50	6.583480	N
hsa-mir-188	21	2.765062	N
hsa-mir-18a	142	18.697084	N
hsa-mir-18b	4	0.526678	N
