miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	224780	24719.491833	N
hsa-let-7a-2	219419	24129.932283	Y
hsa-let-7a-3	220583	24257.939616	N
hsa-let-7b	78904	8677.225659	N
hsa-let-7c	69136	7603.019785	Y
hsa-let-7d	28160	3096.809725	N
hsa-let-7e	10818	1189.676406	N
hsa-let-7f-1	176355	19394.100819	N
hsa-let-7f-2	187277	20595.214307	N
hsa-let-7g	219720	24163.033835	N
hsa-let-7i	59081	6497.251966	N
hsa-mir-1-1	94968	10443.814843	N
hsa-mir-1-2	100584	11061.417237	N
hsa-mir-100	99440	10935.609342	Y
hsa-mir-101-1	21379	2351.090025	N
hsa-mir-101-2	23115	2542.001307	N
hsa-mir-103a-1	61679	6782.959057	Y
hsa-mir-103a-2	64862	7132.999730	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.329916	N
hsa-mir-105-2	1	0.109972	N
hsa-mir-106a	398	43.768831	Y
hsa-mir-106b	8629	948.947838	N
hsa-mir-107	8484	933.001907	Y
hsa-mir-10a	67933	7470.723546	N
hsa-mir-10b	172196	18936.727536	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.549860	N
hsa-mir-1180	462	50.807035	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.319663	N
hsa-mir-1185-2	8	0.879775	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.329916	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.219944	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.219944	N
hsa-mir-1226	13	1.429635	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.439888	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.109972	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.329916	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.109972	N
hsa-mir-1238	1	0.109972	N
hsa-mir-124-1	15	1.649579	N
hsa-mir-124-2	17	1.869523	N
hsa-mir-124-3	19	2.089467	N
hsa-mir-1243	3	0.329916	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.329916	N
hsa-mir-1245b	8	0.879775	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	318	34.971076	N
hsa-mir-1248	19	2.089467	N
hsa-mir-1249	342	37.610402	N
hsa-mir-1250	10	1.099719	N
hsa-mir-1251	1	0.109972	N
hsa-mir-1252	1	0.109972	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	19	2.089467	N
hsa-mir-1254-2	8	0.879775	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.329916	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.099719	N
hsa-mir-125a	173249	19052.527985	N
hsa-mir-125b-1	145175	15965.175847	N
hsa-mir-125b-2	145790	16032.808588	N
hsa-mir-126	87549	9627.933048	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	32	3.519102	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	2.639326	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.109972	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.109972	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1799	197.839513	N
hsa-mir-1270	34	3.739046	N
hsa-mir-1271	663	72.911394	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.769804	N
hsa-mir-1276	8	0.879775	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	11	1.209691	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4874	536.003217	N
hsa-mir-128-2	2879	316.609204	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	16	1.759551	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	67	7.368120	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	5	0.549860	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	24	2.639326	N
hsa-mir-129-2	46	5.058709	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	28	3.079214	N
hsa-mir-1292	35	3.849018	N
hsa-mir-1293	9	0.989747	N
hsa-mir-1294	24	2.639326	N
hsa-mir-1295a	38	4.178934	N
hsa-mir-1295b	2	0.219944	N
hsa-mir-1296	217	23.863910	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.329916	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	373	41.019532	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	11	1.209691	N
hsa-mir-1304	30	3.299158	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	79	8.687783	N
hsa-mir-1307	1210	133.066043	N
hsa-mir-130a	555	61.034425	N
hsa-mir-130b	892	98.094967	N
hsa-mir-132	1975	217.194574	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	5	0.549860	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	20880	2296.214029	Y
hsa-mir-133a-2	20513	2255.854329	Y
hsa-mir-133b	531	58.395098	Y
hsa-mir-134	162	17.815454	N
hsa-mir-1343	5	0.549860	N
hsa-mir-135a-1	41	4.508849	N
hsa-mir-135a-2	51	5.608569	N
hsa-mir-135b	1910	210.046398	N
hsa-mir-136	356	39.150009	N
hsa-mir-137	32	3.519102	N
hsa-mir-138-1	105	11.547053	N
hsa-mir-138-2	34	3.739046	N
hsa-mir-139	11107	1221.458296	N
hsa-mir-140	40438	4447.045159	N
hsa-mir-141	841	92.486398	N
hsa-mir-142	5566	612.103797	N
hsa-mir-143	703792	77397.368965	N
hsa-mir-144	2137	235.010028	N
hsa-mir-145	94625	10406.094469	N
hsa-mir-1468	85	9.347615	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	15466	1700.825966	N
hsa-mir-146b	22244	2446.215750	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	11	1.209691	N
hsa-mir-148a	28572	3142.118163	N
hsa-mir-148b	1862	204.767745	N
hsa-mir-149	4150	456.383535	N
hsa-mir-150	22803	2507.690063	N
hsa-mir-151a	18760	2063.073524	N
hsa-mir-151b	187	20.564752	N
hsa-mir-152	2103	231.270982	N
hsa-mir-153-1	6	0.659832	N
hsa-mir-153-2	1	0.109972	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.329916	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	188	20.674724	N
hsa-mir-155	9056	995.905855	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1752	192.670832	N
hsa-mir-15b	18191	2000.499493	N
hsa-mir-16-1	26344	2897.100689	N
hsa-mir-16-2	29715	3267.816086	N
hsa-mir-17	2785	306.271842	Y
hsa-mir-181a-1	14181	1559.512028	N
hsa-mir-181a-2	14676	1613.948137	N
hsa-mir-181b-1	2619	288.016501	N
hsa-mir-181b-2	3235	355.759214	N
hsa-mir-181c	526	57.845238	N
hsa-mir-181d	178	19.575005	N
hsa-mir-182	11334	1246.421926	N
hsa-mir-1825	0	0.000000	N
