miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	227352	22694.313924	N
hsa-let-7a-2	216499	21610.965684	Y
hsa-let-7a-3	217167	21677.645554	N
hsa-let-7b	120888	12067.059985	N
hsa-let-7c	49436	4934.709627	Y
hsa-let-7d	28462	2841.081508	N
hsa-let-7e	20471	2043.418577	N
hsa-let-7f-1	212119	21173.753366	N
hsa-let-7f-2	229308	22889.562165	N
hsa-let-7g	246140	24569.735165	N
hsa-let-7i	59088	5898.173850	N
hsa-mir-1-1	14219	1419.342912	N
hsa-mir-1-2	14801	1477.438247	N
hsa-mir-100	81563	8141.632036	Y
hsa-mir-101-1	20782	2074.462648	N
hsa-mir-101-2	22336	2229.583183	N
hsa-mir-103a-1	64079	6396.376288	Y
hsa-mir-103a-2	66295	6617.577772	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	495	49.410981	Y
hsa-mir-106b	5927	591.634112	N
hsa-mir-107	11444	1142.341957	Y
hsa-mir-10a	367495	36683.411166	N
hsa-mir-10b	706842	70557.084357	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.798561	N
hsa-mir-1180	977	97.524300	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.698741	N
hsa-mir-1185-2	7	0.698741	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.199640	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	47	4.691548	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	38	3.793166	N
