miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	173343	19249.703219	N
hsa-let-7a-2	163587	18166.301498	Y
hsa-let-7a-3	164666	18286.124218	N
hsa-let-7b	93844	10421.356207	N
hsa-let-7c	27691	3075.079650	Y
hsa-let-7d	26195	2908.949169	N
hsa-let-7e	15514	1722.826395	N
hsa-let-7f-1	207812	23077.478326	N
hsa-let-7f-2	225257	25014.741859	N
hsa-let-7g	246781	27404.977474	N
hsa-let-7i	34773	3861.534242	N
hsa-mir-1-1	2580	286.508450	N
hsa-mir-1-2	2597	288.396297	N
hsa-mir-100	65917	7320.068806	Y
hsa-mir-101-1	29726	3301.065967	N
hsa-mir-101-2	31942	3547.152295	N
hsa-mir-103a-1	70509	7830.009428	Y
hsa-mir-103a-2	74876	8314.963848	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	808	89.728228	Y
hsa-mir-106b	7458	828.209311	N
hsa-mir-107	43637	4845.879553	Y
hsa-mir-10a	274488	30481.833921	N
hsa-mir-10b	683261	75875.988482	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.332597	N
hsa-mir-1180	1262	140.144831	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.221548	N
hsa-mir-1185-2	6	0.666299	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.444199	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	23	2.554145	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.111050	N
hsa-mir-1226	71	7.884535	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.111050	N
hsa-mir-1229	16	1.776797	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.555249	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.111050	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	66	7.329286	N
hsa-mir-124-2	70	7.773485	N
hsa-mir-124-3	70	7.773485	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.111050	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	124	13.770174	N
hsa-mir-1248	18	1.998896	N
hsa-mir-1249	72	7.995585	N
hsa-mir-1250	5	0.555249	N
hsa-mir-1251	33	3.664643	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.777349	N
hsa-mir-1254-2	6	0.666299	N
hsa-mir-1255a	4	0.444199	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	2	0.222100	N
hsa-mir-1258	1	0.111050	N
hsa-mir-125a	299369	33244.863670	N
hsa-mir-125b-1	67359	7480.202599	N
hsa-mir-125b-2	67434	7488.531333	N
hsa-mir-126	72100	8006.689639	N
hsa-mir-1260a	1	0.111050	N
hsa-mir-1260b	17	1.887846	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	2.109946	N
hsa-mir-1263	12	1.332597	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	138	15.324871	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1292	143.476325	N
hsa-mir-1270	126	13.992273	N
hsa-mir-1271	576	63.964677	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.222100	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.555249	N
hsa-mir-1276	5	0.555249	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	8	0.888398	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7953	883.178956	N
hsa-mir-128-2	4643	515.604161	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.555249	N
hsa-mir-1285-1	1	0.111050	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.111050	N
hsa-mir-1287	48	5.330390	N
hsa-mir-1288	1	0.111050	N
hsa-mir-1289-1	3	0.333149	N
hsa-mir-1289-2	1	0.111050	N
hsa-mir-129-1	126	13.992273	N
hsa-mir-129-2	135	14.991721	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	29	3.220444	N
hsa-mir-1292	25	2.776245	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.444199	N
hsa-mir-1295a	14	1.554697	N
hsa-mir-1295b	2	0.222100	N
hsa-mir-1296	394	43.753616	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.777349	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1059	117.601724	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	15	1.665747	N
hsa-mir-1304	15	1.665747	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	101	11.216028	N
hsa-mir-1307	1684	187.007841	N
hsa-mir-130a	823	91.393975	N
hsa-mir-130b	500	55.524893	N
hsa-mir-132	1662	184.564746	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	363	40.311073	Y
hsa-mir-133a-2	338	37.534828	Y
hsa-mir-133b	4	0.444199	Y
hsa-mir-134	106	11.771277	N
hsa-mir-1343	3	0.333149	N
hsa-mir-135a-1	9506	1055.639275	N
hsa-mir-135a-2	11419	1268.077517	N
hsa-mir-135b	1360	151.027710	N
hsa-mir-136	172	19.100563	N
hsa-mir-137	2	0.222100	N
hsa-mir-138-1	984	109.272990	N
hsa-mir-138-2	294	32.648637	N
hsa-mir-139	7257	805.888304	N
hsa-mir-140	42827	4755.929226	N
hsa-mir-141	180	19.988962	N
hsa-mir-142	1244	138.145935	N
hsa-mir-143	186540	20715.227258	N
hsa-mir-144	2371	263.299045	N
hsa-mir-145	35594	3952.706117	N
hsa-mir-1468	299	33.203886	N
hsa-mir-1469	0	0.000000	N
