miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	358325	33142.410113	N
hsa-let-7a-2	352397	32594.113993	Y
hsa-let-7a-3	352115	32568.031080	N
hsa-let-7b	93881	8683.297576	N
hsa-let-7c	37039	3425.833331	Y
hsa-let-7d	57727	5339.320194	N
hsa-let-7e	17595	1627.407259	N
hsa-let-7f-1	362840	33560.014192	N
hsa-let-7f-2	382000	35332.172366	N
hsa-let-7g	289864	26810.274374	N
hsa-let-7i	70412	6512.588798	N
hsa-mir-1-1	6241	577.246303	N
hsa-mir-1-2	6670	616.925627	N
hsa-mir-100	104975	9709.410456	Y
hsa-mir-101-1	32331	2990.378180	N
hsa-mir-101-2	34502	3191.179610	N
hsa-mir-103a-1	69748	6451.173713	Y
hsa-mir-103a-2	72929	6745.392666	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	239	22.105731	Y
hsa-mir-106b	10614	981.716433	N
hsa-mir-107	8115	750.577431	Y
hsa-mir-10a	206597	19108.693231	N
hsa-mir-10b	30710	2840.447679	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	16	1.479882	N
hsa-mir-1180	481	44.488940	N
hsa-mir-1181	1	0.092493	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.184985	N
hsa-mir-1185-2	1	0.092493	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092493	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.369970	N
hsa-mir-1224	2	0.184985	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	26	2.404808	N
hsa-mir-1227	1	0.092493	N
hsa-mir-1228	7	0.647448	N
hsa-mir-1229	5	0.462463	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.277478	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.092493	N
hsa-mir-1238	1	0.092493	N
hsa-mir-124-1	3	0.277478	N
hsa-mir-124-2	3	0.277478	N
hsa-mir-124-3	2	0.184985	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.462463	N
hsa-mir-1245b	2	0.184985	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	234	21.643268	N
hsa-mir-1248	20	1.849852	N
hsa-mir-1249	72	6.659467	N
hsa-mir-1250	2	0.184985	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.572374	N
hsa-mir-1254-2	12	1.109911	N
hsa-mir-1255a	19	1.757359	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.092493	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.092493	N
hsa-mir-125a	236002	21828.438070	N
hsa-mir-125b-1	67300	6224.751833	N
hsa-mir-125b-2	67635	6255.736853	N
hsa-mir-126	181111	16751.426883	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	14	1.294896	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.294896	N
hsa-mir-1263	0	0.000000	N
