miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	252097	30367.834624	N
hsa-let-7a-2	245947	29627.000013	Y
hsa-let-7a-3	246633	29709.636198	N
hsa-let-7b	84489	10177.622024	N
hsa-let-7c	55351	6667.631960	Y
hsa-let-7d	24921	3002.006397	N
hsa-let-7e	8836	1064.392622	N
hsa-let-7f-1	187696	22610.031407	N
hsa-let-7f-2	200810	24189.755811	N
hsa-let-7g	228608	27538.328253	N
hsa-let-7i	48278	5815.611927	N
hsa-mir-1-1	2548	306.934405	N
hsa-mir-1-2	2664	320.907871	N
hsa-mir-100	83215	10024.154822	Y
hsa-mir-101-1	21447	2583.525187	N
hsa-mir-101-2	22745	2739.883452	N
hsa-mir-103a-1	46179	5562.764472	Y
hsa-mir-103a-2	47885	5768.270788	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.361383	N
hsa-mir-105-2	4	0.481844	N
hsa-mir-106a	351	42.281780	Y
hsa-mir-106b	7668	923.694276	N
hsa-mir-107	5418	652.657223	Y
hsa-mir-10a	115838	13953.951166	N
hsa-mir-10b	89826	10820.521914	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.204609	N
hsa-mir-1180	413	49.750357	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.806914	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.361383	N
hsa-mir-1226	3	0.361383	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.361383	N
hsa-mir-1229	7	0.843226	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.361383	N
hsa-mir-1236	1	0.120461	N
hsa-mir-1237	3	0.361383	N
hsa-mir-1238	2	0.240922	N
hsa-mir-124-1	6	0.722765	N
hsa-mir-124-2	11	1.325070	N
hsa-mir-124-3	6	0.722765	N
hsa-mir-1243	5	0.602305	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.843226	N
hsa-mir-1245b	3	0.361383	N
hsa-mir-1246	1	0.120461	N
hsa-mir-1247	356	42.884085	N
hsa-mir-1248	62	7.468577	N
hsa-mir-1249	105	12.648396	N
hsa-mir-1250	10	1.204609	N
hsa-mir-1251	2	0.240922	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.927375	N
hsa-mir-1254-2	16	1.927375	N
hsa-mir-1255a	31	3.734288	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.481844	N
hsa-mir-125a	139344	16785.505372	N
hsa-mir-125b-1	121348	14617.690793	N
hsa-mir-125b-2	122101	14708.397860	N
hsa-mir-126	49102	5914.871719	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	22	2.650140	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	2.891062	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	13	1.565992	N
hsa-mir-1265	2	0.240922	N
hsa-mir-1266	6	0.722765	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	1	0.120461	N
hsa-mir-1269a	17	2.047836	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1688	203.338020	N
