miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	309801	37156.088410	N
hsa-let-7a-2	302815	36318.220121	Y
hsa-let-7a-3	303053	36346.764732	N
hsa-let-7b	102618	12307.524767	N
hsa-let-7c	48904	5865.317890	Y
hsa-let-7d	56017	6718.417967	N
hsa-let-7e	14981	1796.751335	N
hsa-let-7f-1	252139	30240.376808	N
hsa-let-7f-2	266794	31998.029222	N
hsa-let-7g	244431	29315.915204	N
hsa-let-7i	67319	8073.927184	N
hsa-mir-1-1	7739	928.179600	N
hsa-mir-1-2	7979	956.964082	N
hsa-mir-100	114089	13683.303058	Y
hsa-mir-101-1	16790	2013.714366	N
hsa-mir-101-2	18470	2215.205738	N
hsa-mir-103a-1	74522	8937.821442	Y
hsa-mir-103a-2	78376	9400.052244	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.119935	N
hsa-mir-105-2	1	0.119935	N
hsa-mir-106a	502	60.207541	Y
hsa-mir-106b	11702	1403.483354	N
hsa-mir-107	10699	1283.188208	Y
hsa-mir-10a	154709	18555.076587	N
hsa-mir-10b	18185	2181.024166	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.119935	N
hsa-mir-1180	696	83.474997	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.959483	N
hsa-mir-1185-2	2	0.239871	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.239871	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	21	2.518642	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.119935	N
hsa-mir-1226	32	3.837931	N
hsa-mir-1227	1	0.119935	N
hsa-mir-1228	17	2.038901	N
hsa-mir-1229	8	0.959483	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.239871	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.119935	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	283	33.941701	N
hsa-mir-1248	153	18.350107	N
hsa-mir-1249	80	9.594827	N
hsa-mir-1250	17	2.038901	N
hsa-mir-1251	1	0.119935	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.079418	N
hsa-mir-1254-2	8	0.959483	N
hsa-mir-1255a	40	4.797414	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.239871	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.839547	N
hsa-mir-125a	218379	26191.359714	N
hsa-mir-125b-1	74396	8922.709589	N
hsa-mir-125b-2	74636	8951.494071	N
hsa-mir-126	100431	12045.226178	N
hsa-mir-1260a	1	0.119935	N
hsa-mir-1260b	7	0.839547	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	27	3.238254	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
