miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	138941	19390.137533	N
hsa-let-7a-2	130925	18271.451598	Y
hsa-let-7a-3	132099	18435.291080	N
hsa-let-7b	79675	11119.174383	N
hsa-let-7c	20985	2928.595851	Y
hsa-let-7d	20762	2897.474723	N
hsa-let-7e	13503	1884.433156	N
hsa-let-7f-1	174751	24387.660403	N
hsa-let-7f-2	191127	26673.039753	N
hsa-let-7g	208017	29030.151210	N
hsa-let-7i	29038	4052.445381	N
hsa-mir-1-1	3007	419.646782	N
hsa-mir-1-2	3072	428.717963	N
hsa-mir-100	58214	8124.149577	Y
hsa-mir-101-1	18505	2582.495412	N
hsa-mir-101-2	19918	2779.688928	N
hsa-mir-103a-1	49206	6867.023466	Y
hsa-mir-103a-2	51283	7156.882584	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	17	2.372463	N
hsa-mir-105-2	14	1.953793	N
hsa-mir-106a	623	86.943780	Y
hsa-mir-106b	4248	592.836558	N
hsa-mir-107	17615	2458.290013	Y
hsa-mir-10a	195207	27242.430797	N
hsa-mir-10b	661949	92379.370739	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.535123	N
hsa-mir-1180	780	108.854170	N
hsa-mir-1181	4	0.558227	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.814236	N
hsa-mir-1185-2	3	0.418670	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.418670	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	19	2.651576	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	66	9.210737	N
hsa-mir-1227	3	0.418670	N
hsa-mir-1228	5	0.697783	N
hsa-mir-1229	20	2.791133	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.279113	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.279113	N
hsa-mir-1238	1	0.139557	N
hsa-mir-124-1	57	7.954728	N
hsa-mir-124-2	59	8.233841	N
hsa-mir-124-3	60	8.373398	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.139557	N
hsa-mir-1245b	4	0.558227	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	88	12.280983	N
hsa-mir-1248	21	2.930689	N
hsa-mir-1249	92	12.839210	N
hsa-mir-1250	2	0.279113	N
hsa-mir-1251	25	3.488916	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.976896	N
hsa-mir-1254-2	6	0.837340	N
hsa-mir-1255a	17	2.372463	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.139557	N
hsa-mir-125a	227768	31786.534181	N
hsa-mir-125b-1	58260	8130.569182	N
hsa-mir-125b-2	58540	8169.645038	N
hsa-mir-126	60896	8498.440455	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	27	3.768029	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.976896	N
hsa-mir-1263	22	3.070246	N
hsa-mir-1264	2	0.279113	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.558227	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
