miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	148927	15629.753866	N
hsa-let-7a-2	141534	14853.865207	Y
hsa-let-7a-3	141812	14883.041055	N
hsa-let-7b	94880	9957.570130	N
hsa-let-7c	38272	4016.611763	Y
hsa-let-7d	20040	2103.179863	N
hsa-let-7e	14231	1493.530570	N
hsa-let-7f-1	177317	18609.258672	N
hsa-let-7f-2	192229	20174.259576	N
hsa-let-7g	196285	20599.933105	N
hsa-let-7i	45623	4788.092560	N
hsa-mir-1-1	4156	436.168439	N
hsa-mir-1-2	4394	461.146323	N
hsa-mir-100	66172	6944.691512	Y
hsa-mir-101-1	33032	3466.678505	N
hsa-mir-101-2	34656	3637.115835	N
hsa-mir-103a-1	69577	7302.043180	Y
hsa-mir-103a-2	72044	7560.952598	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.209898	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	751	78.816770	Y
hsa-mir-106b	5612	588.974321	N
hsa-mir-107	13886	1457.323133	Y
hsa-mir-10a	272976	28648.584148	N
hsa-mir-10b	673800	70714.700188	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.629695	N
hsa-mir-1180	1168	122.580543	N
hsa-mir-1181	1	0.104949	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.944542	N
hsa-mir-1185-2	13	1.364338	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	0.839593	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.839593	N
hsa-mir-1224	1	0.104949	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	3.043524	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.734644	N
hsa-mir-1229	11	1.154440	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.734644	N
hsa-mir-1236	2	0.209898	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	50	5.247455	N
hsa-mir-124-2	35	3.673218	N
hsa-mir-124-3	42	4.407862	N
hsa-mir-1243	1	0.104949	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.209898	N
hsa-mir-1245b	2	0.209898	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	125	13.118637	N
hsa-mir-1248	15	1.574236	N
hsa-mir-1249	118	12.383993	N
hsa-mir-1250	11	1.154440	N
hsa-mir-1251	29	3.043524	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.524745	N
hsa-mir-1254-2	8	0.839593	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.209898	N
hsa-mir-125a	203890	21398.070973	N
hsa-mir-125b-1	67473	7081.230285	N
hsa-mir-125b-2	68228	7160.466851	N
hsa-mir-126	63554	6669.934781	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	19	1.994033	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.994033	N
hsa-mir-1263	69	7.241488	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.104949	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	33	3.463320	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1978	207.589310	N
hsa-mir-1270	121	12.698840	N
hsa-mir-1271	512	53.733937	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.104949	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.314847	N
hsa-mir-1277	5	0.524745	N
hsa-mir-1278	5	0.524745	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5693	597.475198	N
hsa-mir-128-2	3300	346.332013	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.734644	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	56	5.877149	N
hsa-mir-1288	1	0.104949	N
hsa-mir-1289-1	8	0.839593	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	192	20.150226	N
hsa-mir-129-2	129	13.538433	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	33	3.463320	N
hsa-mir-1292	37	3.883117	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.734644	N
hsa-mir-1295a	15	1.574236	N
hsa-mir-1295b	1	0.104949	N
hsa-mir-1296	373	39.146012	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	634	66.537726	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	18	1.889084	N
hsa-mir-1304	6	0.629695	N
hsa-mir-1305	1	0.104949	N
hsa-mir-1306	136	14.273077	N
hsa-mir-1307	1919	201.397313	N
hsa-mir-130a	793	83.224632	N
hsa-mir-130b	548	57.512104	N
hsa-mir-132	4114	431.760577	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	565	59.296239	Y
hsa-mir-133a-2	596	62.549661	Y
hsa-mir-133b	22	2.308880	Y
hsa-mir-134	123	12.908739	N
hsa-mir-1343	20	2.098982	N
hsa-mir-135a-1	8696	912.637330	N
hsa-mir-135a-2	10508	1102.805090	N
hsa-mir-135b	1830	192.056844	N
hsa-mir-136	254	26.657070	N
hsa-mir-137	6	0.629695	N
hsa-mir-138-1	749	78.606872	N
hsa-mir-138-2	322	33.793609	N
hsa-mir-139	6208	651.523982	N
hsa-mir-140	61535	6458.042559	N
hsa-mir-141	204	21.409615	N
hsa-mir-142	1135	119.117223	N
hsa-mir-143	427222	44836.562250	N
hsa-mir-144	294	30.855034	N
hsa-mir-145	60313	6329.794765	N
hsa-mir-1468	190	19.940328	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	7716	809.787217	N
hsa-mir-146b	68290	7166.973695	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.419796	N
hsa-mir-148a	20198	2119.761820	N
hsa-mir-148b	3647	382.749349	N
hsa-mir-149	467	49.011227	N
hsa-mir-150	2842	298.265328	N
