miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	144154	18688.739035	N
hsa-let-7a-2	140717	18243.151704	Y
hsa-let-7a-3	141185	18303.825219	N
hsa-let-7b	44499	5769.040043	N
hsa-let-7c	28583	3705.621959	Y
hsa-let-7d	18796	2436.793560	N
hsa-let-7e	7359	954.052129	N
hsa-let-7f-1	171438	22225.953096	N
hsa-let-7f-2	183489	23788.296105	N
hsa-let-7g	227170	29451.287141	N
hsa-let-7i	93314	12097.624723	N
hsa-mir-1-1	5456	707.339097	N
hsa-mir-1-2	5751	745.584154	N
hsa-mir-100	66890	8671.904727	Y
hsa-mir-101-1	15461	2004.429944	N
hsa-mir-101-2	16815	2179.968276	N
hsa-mir-103a-1	50486	6545.220243	Y
hsa-mir-103a-2	52553	6813.194934	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	410	53.154148	Y
hsa-mir-106b	7940	1029.375445	N
hsa-mir-107	5363	695.282180	Y
hsa-mir-10a	53630	6952.821805	N
hsa-mir-10b	35496	4601.852746	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.944664	N
hsa-mir-1180	519	67.285372	N
hsa-mir-1181	1	0.129644	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	21	2.722530	N
hsa-mir-1185-2	7	0.907510	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.129644	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.648221	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.685375	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.037154	N
hsa-mir-1229	1	0.129644	N
hsa-mir-1231	1	0.129644	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.259289	N
hsa-mir-1236	1	0.129644	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.259289	N
hsa-mir-124-2	5	0.648221	N
