miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	366624	30836.025491	N
hsa-let-7a-2	352318	29632.775893	N
hsa-let-7a-3	350959	29518.473069	N
hsa-let-7b	105697	8889.967341	N
hsa-let-7c	43600	3667.110477	N
hsa-let-7d	61935	5209.231362	N
hsa-let-7e	18861	1586.361713	N
hsa-let-7f-1	369351	31065.388112	N
hsa-let-7f-2	396307	33332.604397	N
hsa-let-7g	361273	30385.963378	N
hsa-let-7i	86978	7315.548969	N
hsa-mir-1-1	6342	533.413180	N
hsa-mir-1-2	6773	569.663744	N
hsa-mir-100	130829	11003.770563	Y
hsa-mir-101-1	31075	2613.657295	N
hsa-mir-101-2	34642	2913.670668	N
hsa-mir-103a-1	96025	8076.474393	Y
hsa-mir-103a-2	99378	8358.488646	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	563	47.352826	Y
hsa-mir-106b	13464	1132.430630	N
hsa-mir-107	11222	943.860408	Y
hsa-mir-10a	222454	18710.169587	N
hsa-mir-10b	21311	1792.426408	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.168216	N
hsa-mir-1180	546	45.922989	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	7	0.588756	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.168216	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	1.345729	N
hsa-mir-1227	2	0.168216	N
hsa-mir-1228	11	0.925188	N
hsa-mir-1229	1	0.084108	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.084108	N
hsa-mir-124-2	1	0.084108	N
hsa-mir-124-3	2	0.168216	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	2	0.168216	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	1.261621	N
hsa-mir-1245b	4	0.336432	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	279	23.466143	N
hsa-mir-1248	26	2.186809	N
hsa-mir-1249	92	7.737940	N
hsa-mir-1250	18	1.513945	N
hsa-mir-1251	1	0.084108	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.345729	N
hsa-mir-1254-2	15	1.261621	N
hsa-mir-1255a	30	2.523241	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	0.841080	N
hsa-mir-125a	210683	17720.133866	N
hsa-mir-125b-1	61183	5145.982117	N
hsa-mir-125b-2	62284	5238.585067	N
hsa-mir-126	275553	23176.222321	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	9	0.756972	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.598053	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	1.009296	N
hsa-mir-1267	3	0.252324	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	665	55.931846	N
hsa-mir-1270	30	2.523241	N
hsa-mir-1271	759	63.838001	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.252324	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.084108	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.420540	N
hsa-mir-1278	13	1.093404	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3154	265.276753	N
hsa-mir-128-2	2127	178.897798	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	13	1.093404	N
hsa-mir-1283-2	7	0.588756	N
hsa-mir-1284	9	0.756972	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	11	0.925188	N
hsa-mir-1287	97	8.158480	N
hsa-mir-1288	1	0.084108	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	1.429837	N
hsa-mir-129-2	39	3.280213	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	23	1.934485	N
hsa-mir-1292	38	3.196105	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.588756	N
hsa-mir-1295a	16	1.345729	N
hsa-mir-1295b	7	0.588756	N
hsa-mir-1296	246	20.690577	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.588756	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	653	54.922549	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
