miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	228175	33402.390070	N
hsa-let-7a-2	222000	32498.435830	Y
hsa-let-7a-3	221567	32435.049241	N
hsa-let-7b	57261	8382.400604	N
hsa-let-7c	21380	3129.804315	Y
hsa-let-7d	37213	5447.586903	N
hsa-let-7e	15294	2238.878728	N
hsa-let-7f-1	215854	31598.726881	N
hsa-let-7f-2	230183	33696.339886	N
hsa-let-7g	199861	29257.521997	N
hsa-let-7i	48742	7135.309726	N
hsa-mir-1-1	5641	825.782327	N
hsa-mir-1-2	6168	902.929514	N
hsa-mir-100	45799	6704.485867	Y
hsa-mir-101-1	16250	2378.826947	N
hsa-mir-101-2	17448	2554.201389	N
hsa-mir-103a-1	44011	6442.741709	Y
hsa-mir-103a-2	45921	6722.345368	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	232	33.962329	Y
hsa-mir-106b	6993	1023.700729	N
hsa-mir-107	5952	871.309415	Y
hsa-mir-10a	84018	12299.340457	N
hsa-mir-10b	12135	1776.434769	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.292779	N
hsa-mir-1180	396	57.970183	N
hsa-mir-1181	1	0.146389	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.585557	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	18	2.635008	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.292779	N
hsa-mir-1226	12	1.756672	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.171115	N
hsa-mir-1229	4	0.585557	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.024725	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	201	29.424259	N
hsa-mir-1248	7	1.024725	N
hsa-mir-1249	58	8.490582	N
hsa-mir-1250	14	2.049451	N
hsa-mir-1251	1	0.146389	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.731947	N
hsa-mir-1254-2	3	0.439168	N
hsa-mir-1255a	10	1.463894	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	117442	17192.258111	N
hsa-mir-125b-1	29302	4289.500751	N
hsa-mir-125b-2	29198	4274.276258	N
hsa-mir-126	115072	16845.315350	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.585557	N
hsa-mir-1261	0	0.000000	N
