miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	104278	12716.685042	N
hsa-let-7a-2	100719	12282.665575	Y
hsa-let-7a-3	100893	12303.884846	N
hsa-let-7b	29187	3559.349876	N
hsa-let-7c	16500	2012.172301	Y
hsa-let-7d	36472	4447.754434	N
hsa-let-7e	14111	1720.834142	N
hsa-let-7f-1	142686	17400.534360	N
hsa-let-7f-2	153606	18732.226574	N
hsa-let-7g	139912	17062.245514	N
hsa-let-7i	85897	10475.125099	N
hsa-mir-1-1	846	103.169562	N
hsa-mir-1-2	924	112.681649	N
hsa-mir-100	59689	7279.063786	Y
hsa-mir-101-1	10430	1271.936794	N
hsa-mir-101-2	11026	1344.618896	N
hsa-mir-103a-1	58254	7104.065771	Y
hsa-mir-103a-2	60341	7358.575080	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	685	83.535638	N
hsa-mir-105-2	721	87.925832	N
hsa-mir-106a	1285	156.705540	Y
hsa-mir-106b	20105	2451.801461	N
hsa-mir-107	6216	758.040183	Y
hsa-mir-10a	232774	28386.751223	N
hsa-mir-10b	40907	4988.601959	N
hsa-mir-1178	2	0.243900	N
hsa-mir-1179	5	0.609749	N
hsa-mir-1180	474	57.804222	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.853649	N
hsa-mir-1185-2	1	0.121950	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.121950	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.609749	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	36	4.390194	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	25	3.048746	N
hsa-mir-1229	7	0.853649	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	4	0.487799	N
hsa-mir-1236	3	0.365850	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.121950	N
hsa-mir-124-2	5	0.609749	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	2	0.243900	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.463398	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	18	2.195097	N
hsa-mir-1248	33	4.024345	N
hsa-mir-1249	66	8.048689	N
hsa-mir-1250	82	9.999887	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	2.073147	N
hsa-mir-1254-2	19	2.317047	N
hsa-mir-1255a	34	4.146294	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.121950	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	105040	12809.610818	N
hsa-mir-125b-1	28813	3513.740637	N
hsa-mir-125b-2	29539	3602.276218	N
hsa-mir-126	48141	5870.787075	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	58	7.073091	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	121	14.755930	N
hsa-mir-1263	48	5.853592	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	40	4.877993	N
hsa-mir-1267	1	0.121950	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	24	2.926796	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	394	48.048236	N
hsa-mir-1270	162	19.755874	N
hsa-mir-1271	332	40.487346	N
hsa-mir-1272	1	0.121950	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.121950	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.121950	N
hsa-mir-1275	1	0.121950	N
hsa-mir-1276	32	3.902395	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	71	8.658438	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5581	680.602037	N
hsa-mir-128-2	3988	486.335948	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	3	0.365850	N
hsa-mir-1284	35	4.268244	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	7	0.853649	N
hsa-mir-1287	242	29.511860	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	8	0.975599	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.853649	N
hsa-mir-129-2	11	1.341448	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	1.829248	N
hsa-mir-1292	27	3.292646	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	18	2.195097	N
hsa-mir-1295a	4	0.487799	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	586	71.462604	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.365850	N
