miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	180379	16054.452648	N
hsa-let-7a-2	175047	15579.883316	Y
hsa-let-7a-3	175301	15602.490332	N
hsa-let-7b	56462	5025.343889	N
hsa-let-7c	12481	1110.858933	Y
hsa-let-7d	40010	3561.050069	N
hsa-let-7e	13862	1233.773458	N
hsa-let-7f-1	183184	16304.108870	N
hsa-let-7f-2	197567	17584.253412	N
hsa-let-7g	181077	16116.577440	N
hsa-let-7i	79352	7062.645466	N
hsa-mir-1-1	1057	94.077229	N
hsa-mir-1-2	1117	99.417469	N
hsa-mir-100	46170	4109.314714	Y
hsa-mir-101-1	14478	1288.599923	N
hsa-mir-101-2	15371	1368.080495	N
hsa-mir-103a-1	78267	6966.076125	Y
hsa-mir-103a-2	82489	7341.851016	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	333	29.638332	N
hsa-mir-105-2	303	26.968212	N
hsa-mir-106a	1666	148.280665	Y
hsa-mir-106b	16658	1482.628644	N
hsa-mir-107	12951	1152.690813	Y
hsa-mir-10a	71566	6369.660316	N
hsa-mir-10b	7443	662.456777	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.623028	N
hsa-mir-1180	878	78.145513	N
hsa-mir-1181	7	0.623028	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	0.890040	N
hsa-mir-1185-2	11	0.979044	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.534024	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.712032	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.089004	N
hsa-mir-1226	62	5.518248	N
hsa-mir-1227	2	0.178008	N
hsa-mir-1228	52	4.628208	N
hsa-mir-1229	32	2.848128	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	13	1.157052	N
hsa-mir-1236	1	0.089004	N
hsa-mir-1237	1	0.089004	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.089004	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.602072	N
hsa-mir-1245b	5	0.445020	N
hsa-mir-1246	1	0.089004	N
hsa-mir-1247	190	16.910760	N
hsa-mir-1248	63	5.607252	N
hsa-mir-1249	226	20.114904	N
hsa-mir-1250	12	1.068048	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.602072	N
hsa-mir-1254-2	25	2.225100	N
hsa-mir-1255a	13	1.157052	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.267012	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	107956	9608.515903	N
hsa-mir-125b-1	43169	3842.213708	N
hsa-mir-125b-2	42842	3813.109399	N
hsa-mir-126	27343	2433.636392	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	47	4.183188	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.246056	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	1.246056	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	185	16.465740	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2065	183.793262	N
hsa-mir-1270	50	4.450200	N
hsa-mir-1271	460	40.941840	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	5	0.445020	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.089004	N
hsa-mir-1276	20	1.780080	N
hsa-mir-1277	2	0.178008	N
hsa-mir-1278	11	0.979044	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4922	438.077692	N
hsa-mir-128-2	3317	295.226270	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	25	2.225100	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.267012	N
hsa-mir-1287	394	35.067576	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	11	0.979044	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.534024	N
hsa-mir-129-2	5	0.445020	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	1.246056	N
hsa-mir-1292	41	3.649164	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	22	1.958088	N
hsa-mir-1295a	50	4.450200	N
hsa-mir-1295b	2	0.178008	N
hsa-mir-1296	183	16.287732	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.623028	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	2261	201.238046	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.623028	N
hsa-mir-1304	20	1.780080	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	207	18.423828	N
hsa-mir-1307	2024	180.144097	N
hsa-mir-130a	488	43.433952	N
hsa-mir-130b	3202	284.990810	N
hsa-mir-132	2021	179.877085	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	234	20.826936	Y
hsa-mir-133a-2	271	24.120084	N
hsa-mir-133b	1	0.089004	Y
hsa-mir-134	164	14.596656	N
hsa-mir-1343	25	2.225100	N
hsa-mir-135a-1	51	4.539204	N
hsa-mir-135a-2	49	4.361196	N
hsa-mir-135b	13338	1187.135362	N
hsa-mir-136	211	18.779844	N
hsa-mir-137	142	12.638568	N
hsa-mir-138-1	56	4.984224	N
hsa-mir-138-2	21	1.869084	N
hsa-mir-139	738	65.684953	N
hsa-mir-140	20873	1857.780507	N
hsa-mir-141	1664	148.102657	N
hsa-mir-142	5348	475.993396	N
hsa-mir-143	176733	15729.944061	N
hsa-mir-144	678	60.344712	N
hsa-mir-145	21060	1874.424255	N
hsa-mir-1468	33	2.937132	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	11754	1046.153025	N
hsa-mir-146b	132164	11763.124752	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	235	20.915940	N
hsa-mir-148a	36998	3292.970019	N
hsa-mir-148b	5117	455.433472	N
hsa-mir-149	2082	185.306330	N
hsa-mir-150	8256	734.817030	N
hsa-mir-151a	49926	4443.613740	N
hsa-mir-151b	103	9.167412	N
hsa-mir-152	4254	378.623019	N
hsa-mir-153-1	6	0.534024	N
hsa-mir-153-2	3	0.267012	N
hsa-mir-1537	1	0.089004	N
hsa-mir-1538	4	0.356016	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	153	13.617612	N
hsa-mir-155	18033	1605.009145	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	863	76.810453	N
hsa-mir-15b	16601	1477.555416	N
hsa-mir-16-1	21139	1881.455571	N
hsa-mir-16-2	23941	2130.844781	N
hsa-mir-17	6821	607.096289	Y
hsa-mir-181a-1	38023	3384.199120	Y
hsa-mir-181a-2	37337	3323.142375	N
hsa-mir-181b-1	9714	864.584863	N
hsa-mir-181b-2	12373	1101.246501	N
hsa-mir-181c	1048	93.276193	Y
