miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	135630	18348.164642	N
hsa-let-7a-2	132376	17907.960206	Y
hsa-let-7a-3	133385	18044.458754	N
hsa-let-7b	43378	5868.220054	N
hsa-let-7c	25105	3396.229989	Y
hsa-let-7d	30022	4061.406760	N
hsa-let-7e	5512	745.668978	N
hsa-let-7f-1	214818	29060.797996	N
hsa-let-7f-2	229004	30979.894535	N
hsa-let-7g	224106	30317.288103	N
hsa-let-7i	69980	9466.965728	N
hsa-mir-1-1	4189	566.692190	N
hsa-mir-1-2	4410	596.589295	N
hsa-mir-100	37069	5014.732103	Y
hsa-mir-101-1	33654	4552.747422	N
hsa-mir-101-2	35769	4838.866778	N
hsa-mir-103a-1	73603	9957.088861	Y
hsa-mir-103a-2	76415	10337.499087	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.270562	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	330	44.642736	Y
hsa-mir-106b	8391	1135.143033	N
hsa-mir-107	7883	1066.420275	Y
hsa-mir-10a	53974	7301.657734	N
hsa-mir-10b	1015	137.310235	N
hsa-mir-1178	2	0.270562	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1294	175.053639	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	23	3.111463	N
hsa-mir-1185-2	5	0.676405	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.135281	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.676405	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	3.111463	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.893934	N
hsa-mir-1229	15	2.029215	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	1.217529	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.135281	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.270562	N
hsa-mir-1245b	3	0.405843	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	66	8.928547	N
hsa-mir-1248	52	7.034613	N
hsa-mir-1249	73	9.875514	N
hsa-mir-1250	8	1.082248	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	3	0.405843	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.758653	N
hsa-mir-1254-2	8	1.082248	N
hsa-mir-1255a	22	2.976182	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.270562	N
hsa-mir-125a	113141	15305.829800	N
hsa-mir-125b-1	40928	5536.781556	N
hsa-mir-125b-2	40876	5529.746943	N
hsa-mir-126	40610	5493.762192	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	20	2.705620	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	2.299777	N
hsa-mir-1263	1	0.135281	N
hsa-mir-1264	1	0.135281	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.541124	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	604	81.709736	N
hsa-mir-1270	72	9.740233	N
hsa-mir-1271	185	25.026989	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.270562	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.405843	N
hsa-mir-1277	2	0.270562	N
hsa-mir-1278	4	0.541124	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2530	342.260979	N
hsa-mir-128-2	1817	245.805612	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	1.082248	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	5	0.676405	N
hsa-mir-1287	65	8.793266	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.135281	N
hsa-mir-129-1	6	0.811686	N
hsa-mir-129-2	16	2.164496	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	31	4.193712	N
hsa-mir-1292	22	2.976182	N
hsa-mir-1293	2	0.270562	N
hsa-mir-1294	11	1.488091	N
hsa-mir-1295a	3	0.405843	N
hsa-mir-1295b	2	0.270562	N
hsa-mir-1296	127	17.180689	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	14	1.893934	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	918	124.187976	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.946967	N
hsa-mir-1304	2	0.270562	N
hsa-mir-1305	3	0.405843	N
hsa-mir-1306	44	5.952365	N
hsa-mir-1307	818	110.659874	N
hsa-mir-130a	890	120.400107	N
hsa-mir-130b	1222	165.313406	N
hsa-mir-132	899	121.617636	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.270562	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	661	89.420754	Y
hsa-mir-133a-2	574	77.651305	N
hsa-mir-133b	4	0.541124	Y
hsa-mir-134	41	5.546522	N
hsa-mir-1343	29	3.923150	N
hsa-mir-135a-1	237	32.061602	N
hsa-mir-135a-2	247	33.414412	N
hsa-mir-135b	9207	1245.532344	N
hsa-mir-136	136	18.398219	N
hsa-mir-137	4	0.541124	N
hsa-mir-138-1	176	23.809459	N
hsa-mir-138-2	45	6.087646	N
hsa-mir-139	1086	146.915187	N
hsa-mir-140	19461	2632.703916	N
hsa-mir-141	1624	219.696375	N
hsa-mir-142	8370	1132.302131	N
hsa-mir-143	150973	20423.781321	N
hsa-mir-144	907	122.699884	N
hsa-mir-145	28887	3907.862803	N
hsa-mir-1468	21	2.840901	N
hsa-mir-1469	1	0.135281	N
hsa-mir-146a	23903	3233.622203	N
hsa-mir-146b	230630	31199.861472	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	16	2.164496	N
hsa-mir-148a	74980	10143.370824	N
hsa-mir-148b	4233	572.644555	N
hsa-mir-149	203	27.462047	N
hsa-mir-150	15749	2130.540772	N
hsa-mir-151a	14193	1920.043506	N
hsa-mir-151b	189	25.568113	N
hsa-mir-152	1050	142.045070	N
hsa-mir-153-1	1	0.135281	N
hsa-mir-153-2	4	0.541124	N
hsa-mir-1537	1	0.135281	N
hsa-mir-1538	1	0.135281	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	109	14.745631	N
hsa-mir-155	14164	1916.120357	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2250	304.382293	N
hsa-mir-15b	28823	3899.204818	N
hsa-mir-16-1	39350	5323.308108	N
hsa-mir-16-2	43522	5887.700520	N
hsa-mir-17	2911	393.803047	Y
hsa-mir-181a-1	43202	5844.410594	N
hsa-mir-181a-2	43218	5846.575090	N
hsa-mir-181b-1	12308	1665.038785	N
hsa-mir-181b-2	14742	1994.312786	N
hsa-mir-181c	1235	167.072059	N
hsa-mir-181d	606	81.980298	N
hsa-mir-182	21187	2866.198955	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	14468	1957.245787	N
hsa-mir-184	39	5.275960	N
hsa-mir-185	4289	580.220292	N
hsa-mir-186	20379	2756.891892	N
hsa-mir-187	63	8.522704	N
hsa-mir-188	30	4.058431	N
hsa-mir-18a	310	41.937116	N
hsa-mir-18b	1	0.135281	N
hsa-mir-1908	2	0.270562	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	169	22.862492	N
hsa-mir-190b	132	17.857095	N
hsa-mir-191	75943	10273.646446	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.135281	N
hsa-mir-1912	2	0.270562	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.135281	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1059	143.262599	Y
hsa-mir-193a	905	122.429322	N
hsa-mir-193b	626	84.685918	N
hsa-mir-194-1	228	30.844072	N
hsa-mir-194-2	721	97.537615	N
hsa-mir-195	9295	1257.437074	N
hsa-mir-196a-1	16	2.164496	N
hsa-mir-196a-2	32	4.328993	N
hsa-mir-196b	27	3.652588	N
hsa-mir-197	2067	279.625867	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	70	9.469671	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	17636	2385.816056	Y
hsa-mir-199a-2	30533	4130.535361	Y
hsa-mir-199b	54488	7371.192178	Y
hsa-mir-19a	498	67.369948	N
hsa-mir-19b-1	2507	339.149515	N
hsa-mir-19b-2	2647	358.088858	N
hsa-mir-200a	23968	3242.415470	N
hsa-mir-200b	50291	6803.417740	N
hsa-mir-200c	63820	8633.634649	N
hsa-mir-202	43	5.817084	N
hsa-mir-203a	9961	1347.534233	N
hsa-mir-203b	169	22.862492	N
hsa-mir-204	81	10.957763	N
hsa-mir-205	1366	184.793872	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	7218	976.458397	N
hsa-mir-20b	74	10.010795	N
hsa-mir-21	1874317	253559.514179	N
hsa-mir-210	217	29.355981	N
hsa-mir-211	1	0.135281	N
hsa-mir-2110	355	48.024762	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	19	2.570339	N
hsa-mir-2117	1	0.135281	N
hsa-mir-212	98	13.257540	N
hsa-mir-214	1777	240.394371	N
hsa-mir-215	10	1.352810	Y
hsa-mir-216a	3	0.405843	N
hsa-mir-216b	1	0.135281	N
hsa-mir-217	5	0.676405	N
hsa-mir-218-1	1904	257.575061	N
hsa-mir-218-2	1615	218.478846	N
hsa-mir-219a-1	6	0.811686	N
hsa-mir-219a-2	1	0.135281	N
hsa-mir-219b	3	0.405843	N
hsa-mir-22	8116	1097.940752	N
hsa-mir-221	38962	5270.819072	N
hsa-mir-222	20492	2772.178647	N
hsa-mir-223	30323	4102.126347	N
hsa-mir-224	3439	465.231425	N
hsa-mir-2276	2	0.270562	N
hsa-mir-2277	23	3.111463	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	168	22.727211	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	173279	23441.359737	Y
hsa-mir-23b	41822	5657.722788	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	29116	3938.842157	N
hsa-mir-24-2	30502	4126.341650	N
hsa-mir-2467	2	0.270562	N
hsa-mir-25	9098	1230.786713	N
hsa-mir-2681	9	1.217529	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	299110	40463.905671	N
hsa-mir-26a-2	305469	41324.157673	N
hsa-mir-26b	102253	13832.890063	N
hsa-mir-27a	36399	4924.093820	Y
hsa-mir-27b	65995	8927.870866	Y
hsa-mir-28	9754	1319.531062	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	91	12.310573	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	14	1.893934	N
hsa-mir-29a	83062	11236.712022	N
hsa-mir-29b-1	2218	300.053301	Y
hsa-mir-29b-2	3011	407.331149	Y
hsa-mir-29c	9033	1221.993447	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	179	24.215302	N
hsa-mir-301b	12	1.623372	N
hsa-mir-302a	1	0.135281	N
hsa-mir-302b	2	0.270562	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	2	0.270562	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	26	3.517307	N
hsa-mir-3065	1487	201.162876	N
hsa-mir-3074	20	2.705620	N
hsa-mir-30a	79151	10707.627956	Y
hsa-mir-30b	43098	5830.341368	Y
hsa-mir-30c-1	46742	6323.305402	Y
hsa-mir-30c-2	46893	6343.732836	Y
hsa-mir-30d	312403	42262.196260	N
hsa-mir-30e	47558	6433.694714	Y
hsa-mir-31	164	22.186087	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	3	0.405843	N
hsa-mir-3116-2	1	0.135281	N
hsa-mir-3117	2	0.270562	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	1	0.135281	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	2	0.270562	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	4	0.541124	N
hsa-mir-3127	2	0.270562	N
hsa-mir-3128	3	0.405843	N
hsa-mir-3129	1	0.135281	N
hsa-mir-3130-1	1	0.135281	N
hsa-mir-3130-2	0	0.000000	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	1	0.135281	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	5	0.676405	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.135281	N
hsa-mir-3139	5	0.676405	N
hsa-mir-3140	4	0.541124	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	8	1.082248	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	2	0.270562	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	3	0.405843	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	3	0.405843	N
hsa-mir-3150b	1	0.135281	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.135281	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	4	0.541124	N
hsa-mir-3158-1	1	0.135281	N
hsa-mir-3158-2	2	0.270562	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	2	0.270562	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	2	0.270562	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	2	0.270562	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	19	2.570339	N
hsa-mir-3174	7	0.946967	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	4	0.541124	N
hsa-mir-3177	15	2.029215	N
hsa-mir-3178	1	0.135281	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	1	0.135281	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	4	0.541124	N
hsa-mir-3188	3	0.405843	N
hsa-mir-3189	14	1.893934	N
hsa-mir-3190	3	0.405843	N
hsa-mir-3191	5	0.676405	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	1	0.135281	N
hsa-mir-3194	4	0.541124	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	2	0.270562	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	5	0.676405	N
hsa-mir-3199-2	6	0.811686	N
hsa-mir-32	645	87.256257	N
hsa-mir-3200	23	3.111463	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	2	0.270562	N
hsa-mir-3202-2	2	0.270562	N
hsa-mir-320a	9058	1225.375472	Y
hsa-mir-320b-1	78	10.551920	Y
hsa-mir-320b-2	98	13.257540	Y
hsa-mir-320c-1	10	1.352810	N
hsa-mir-320c-2	6	0.811686	N
hsa-mir-320d-1	6	0.811686	N
hsa-mir-320d-2	2	0.270562	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	115	15.557317	Y
hsa-mir-323b	21	2.840901	Y
hsa-mir-324	786	106.330881	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	82	11.093044	N
hsa-mir-328	1147	155.167329	N
hsa-mir-329-1	106	14.339788	N
hsa-mir-329-2	95	12.851697	N
hsa-mir-330	761	102.948856	N
hsa-mir-331	677	91.585250	N
hsa-mir-335	5975	808.304090	N
hsa-mir-337	69	9.334390	N
hsa-mir-338	1172	158.549355	N
hsa-mir-339	3606	487.823355	N
hsa-mir-33a	87	11.769449	N
hsa-mir-33b	21	2.840901	N
hsa-mir-340	5666	766.502255	N
hsa-mir-342	19339	2616.199631	N
hsa-mir-345	542	73.322312	N
hsa-mir-346	21	2.840901	N
hsa-mir-34a	19195	2596.719165	N
hsa-mir-34b	2956	399.890693	N
hsa-mir-34c	15136	2047.613508	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	78	10.551920	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	91	12.310573	N
hsa-mir-3609	50	6.764051	N
hsa-mir-361	10728	1451.294775	N
hsa-mir-3610	0	0.000000	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	1509	204.139058	N
hsa-mir-3614	62	8.387423	N
hsa-mir-3615	100	13.528102	N
hsa-mir-3616	3	0.405843	N
hsa-mir-3617	74	10.010795	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	2	0.270562	N
hsa-mir-362	2502	338.473110	N
hsa-mir-3620	4	0.541124	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	8	1.082248	N
hsa-mir-3622b	4	0.541124	N
hsa-mir-363	598	80.898050	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	3	0.405843	N
hsa-mir-3652	2	0.270562	N
hsa-mir-3653	163	22.050806	N
hsa-mir-3654	0	0.000000	N
hsa-mir-3655	4	0.541124	N
hsa-mir-3656	1	0.135281	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	1809	244.723364	Y
