miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	129632	16007.648186	N
hsa-let-7a-2	126422	15611.260329	Y
hsa-let-7a-3	126782	15655.715042	N
hsa-let-7b	39523	4880.510054	N
hsa-let-7c	7827	966.519550	Y
hsa-let-7d	15873	1960.082384	N
hsa-let-7e	11633	1436.504654	N
hsa-let-7f-1	93244	11514.264591	N
hsa-let-7f-2	99402	12274.687153	N
hsa-let-7g	123822	15290.198514	N
hsa-let-7i	67818	8374.527005	N
hsa-mir-1-1	795	98.170824	N
hsa-mir-1-2	879	108.543591	N
hsa-mir-100	34819	4299.635138	Y
hsa-mir-101-1	16798	2074.306300	N
hsa-mir-101-2	17566	2169.143021	N
hsa-mir-103a-1	50340	6216.250692	Y
hsa-mir-103a-2	52884	6530.397330	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	816	100.764016	N
hsa-mir-105-2	819	101.134472	N
hsa-mir-106a	620	76.560894	Y
hsa-mir-106b	22883	2825.714434	N
hsa-mir-107	5656	698.432934	Y
hsa-mir-10a	110694	13669.083315	N
hsa-mir-10b	37023	4571.796769	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.987883	N
hsa-mir-1180	447	55.197935	N
hsa-mir-1181	1	0.123485	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.864397	N
hsa-mir-1185-2	9	1.111368	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.617427	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	170	20.992503	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.123485	N
hsa-mir-1226	52	6.421236	N
hsa-mir-1227	1	0.123485	N
hsa-mir-1228	13	1.605309	N
hsa-mir-1229	5	0.617427	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	0.617427	N
hsa-mir-1236	1	0.123485	N
hsa-mir-1237	1	0.123485	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	4	0.493941	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	20	2.469706	N
hsa-mir-1245b	5	0.617427	N
hsa-mir-1246	6	0.740912	N
hsa-mir-1247	22	2.716677	N
hsa-mir-1248	60	7.409119	N
hsa-mir-1249	157	19.387194	N
hsa-mir-1250	9	1.111368	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	4	0.493941	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	2.099250	N
hsa-mir-1254-2	8	0.987883	N
hsa-mir-1255a	25	3.087133	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	5	0.617427	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	69121	8535.428369	N
hsa-mir-125b-1	27006	3334.844382	N
hsa-mir-125b-2	26984	3332.127705	N
hsa-mir-126	21541	2659.997143	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	30	3.704559	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.358338	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.987883	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	168	20.745533	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1503	185.598427	N
hsa-mir-1270	273	33.711491	N
