miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	333585	34999.195801	N
hsa-let-7a-2	319180	33487.846623	Y
hsa-let-7a-3	319221	33492.148276	N
hsa-let-7b	81504	8551.267157	N
hsa-let-7c	32670	3427.683280	Y
hsa-let-7d	43147	4526.913084	N
hsa-let-7e	21452	2250.708960	N
hsa-let-7f-1	313618	32904.290626	N
hsa-let-7f-2	336760	35332.311638	N
hsa-let-7g	227040	23820.667640	N
hsa-let-7i	66023	6927.025809	N
hsa-mir-1-1	682	71.554331	N
hsa-mir-1-2	737	77.324842	N
hsa-mir-100	352145	36946.480823	Y
hsa-mir-101-1	16897	1772.805766	N
hsa-mir-101-2	18629	1954.524390	N
hsa-mir-103a-1	74601	7827.015621	Y
hsa-mir-103a-2	77074	8086.478760	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.104918	N
hsa-mir-106a	136	14.268899	Y
hsa-mir-106b	6501	682.074350	N
hsa-mir-107	5331	559.319852	Y
hsa-mir-10a	48204	5057.485302	N
hsa-mir-10b	3160	331.542062	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.314755	N
hsa-mir-1180	795	83.410107	N
hsa-mir-1181	1	0.104918	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	38	3.986898	N
hsa-mir-1185-2	25	2.622959	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	17	1.783612	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	0.734429	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.209837	N
hsa-mir-1226	14	1.468857	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.363939	N
hsa-mir-1229	5	0.524592	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.104918	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	4	0.419673	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	146	15.318083	N
hsa-mir-1248	26	2.727878	N
hsa-mir-1249	95	9.967246	N
hsa-mir-1250	13	1.363939	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	36	3.777061	N
hsa-mir-1254-2	31	3.252470	N
hsa-mir-1255a	39	4.091817	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.104918	N
hsa-mir-125a	161904	16986.704429	N
hsa-mir-125b-1	106061	11127.747668	N
hsa-mir-125b-2	105475	11066.265501	N
hsa-mir-126	23739	2490.657281	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	1.049184	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.524592	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.419673	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4578	480.316316	N
hsa-mir-1270	25	2.622959	N
hsa-mir-1271	330	34.623063	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.314755	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.104918	N
hsa-mir-1278	9	0.944265	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3110	326.296143	N
hsa-mir-128-2	1946	204.171156	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.209837	N
hsa-mir-1283-2	2	0.209837	N
hsa-mir-1284	9	0.944265	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	115	12.065613	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	6	0.629510	N
hsa-mir-1289-2	0	0.000000	N
