miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	106567	14917.889106	N
hsa-let-7a-2	103785	14528.448027	N
hsa-let-7a-3	103621	14505.490321	N
hsa-let-7b	24509	3430.917114	N
hsa-let-7c	2242	313.848634	N
hsa-let-7d	16740	2343.365804	N
hsa-let-7e	4519	632.596778	N
hsa-let-7f-1	122052	17085.572468	N
hsa-let-7f-2	132374	18530.508061	N
hsa-let-7g	150414	21055.855678	N
hsa-let-7i	66917	9367.443818	N
hsa-mir-1-1	150	20.997901	N
hsa-mir-1-2	180	25.197482	N
hsa-mir-100	279247	39090.673278	Y
hsa-mir-101-1	6965	975.002558	N
hsa-mir-101-2	7362	1030.577004	N
hsa-mir-103a-1	44196	6186.821689	Y
hsa-mir-103a-2	46539	6514.808910	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	566	79.232082	Y
hsa-mir-106b	9892	1384.741609	N
hsa-mir-107	4580	641.135925	Y
hsa-mir-10a	50187	7025.477874	N
hsa-mir-10b	10165	1422.957790	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.259874	N
hsa-mir-1180	93	13.018699	N
hsa-mir-1181	2	0.279972	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.139986	N
hsa-mir-1185-2	1	0.139986	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.279972	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.399860	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	24	3.359664	N
hsa-mir-1229	1	0.139986	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.279972	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.139986	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.139986	N
hsa-mir-1244-1	2	0.279972	N
hsa-mir-1244-2	2	0.279972	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.559944	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	52	7.279273	N
hsa-mir-1248	133	18.618139	N
hsa-mir-1249	120	16.798321	N
hsa-mir-1250	17	2.379762	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	2.239776	N
hsa-mir-1254-2	15	2.099790	N
hsa-mir-1255a	29	4.059594	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.139986	N
hsa-mir-125a	42060	5887.811572	N
hsa-mir-125b-1	40861	5719.968346	N
hsa-mir-125b-2	39733	5562.064127	N
hsa-mir-126	32349	4528.407431	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.139986	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.979902	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.979902	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	833	116.608346	N
hsa-mir-1270	67	9.379063	N
hsa-mir-1271	432	60.473956	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.419958	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.139986	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	8	1.119888	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2976	416.598365	N
hsa-mir-128-2	1985	277.872229	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	5	0.699930	N
hsa-mir-1283-2	2	0.279972	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.279972	N
hsa-mir-1287	17	2.379762	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	3	0.419958	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	28	3.919608	N
hsa-mir-129-2	15	2.099790	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	28	3.919608	N
hsa-mir-1292	43	6.019398	N
hsa-mir-1293	14	1.959804	N
hsa-mir-1294	8	1.119888	N
hsa-mir-1295a	11	1.539846	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	488	68.313173	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.139986	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	584	81.751830	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.279972	N
hsa-mir-1304	34	4.759524	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	37	5.179482	N
hsa-mir-1307	778	108.909116	N
hsa-mir-130a	197	27.577244	N
hsa-mir-130b	1201	168.123198	N
hsa-mir-132	1724	241.335881	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.279972	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	23	3.219678	N
hsa-mir-133a-2	16	2.239776	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	60	8.399161	N
hsa-mir-1343	4	0.559944	N
hsa-mir-135a-1	12	1.679832	N
hsa-mir-135a-2	11	1.539846	N
hsa-mir-135b	5316	744.165628	N
hsa-mir-136	69	9.659035	N
hsa-mir-137	6	0.839916	N
hsa-mir-138-1	773	108.209186	N
hsa-mir-138-2	169	23.657636	N
hsa-mir-139	508	71.112893	N
hsa-mir-140	12874	1802.179890	N
hsa-mir-141	301	42.135789	N
hsa-mir-142	10185	1425.757510	N
hsa-mir-143	60456	8462.994208	N
hsa-mir-144	144	20.157985	N
hsa-mir-145	12400	1735.826521	N
hsa-mir-1468	17	2.379762	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	19397	2715.308632	N
hsa-mir-146b	153705	21516.549636	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	64	8.959105	N
hsa-mir-148a	43547	6095.970769	N
hsa-mir-148b	2092	292.850732	N
hsa-mir-149	217	30.376964	N
hsa-mir-150	12204	1708.389264	N
hsa-mir-151a	14964	2094.750651	N
hsa-mir-151b	27	3.779622	N
hsa-mir-152	2077	290.750942	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.139986	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	73	10.218979	N
hsa-mir-155	40559	5677.692571	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	865	121.087898	N
hsa-mir-15b	13004	1820.378071	N
hsa-mir-16-1	16491	2308.509288	N
hsa-mir-16-2	20614	2885.671606	N
hsa-mir-17	5658	792.040843	Y
hsa-mir-181a-1	12625	1767.323374	N
hsa-mir-181a-2	12800	1791.820925	N
hsa-mir-181b-1	3276	458.594168	N
hsa-mir-181b-2	4215	590.041031	N
hsa-mir-181c	303	42.415761	N
hsa-mir-181d	178	24.917510	N
hsa-mir-182	23744	3323.827817	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	11066	1549.085184	N
hsa-mir-184	2	0.279972	N
hsa-mir-185	2988	418.278197	N
hsa-mir-186	5351	749.065138	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	8	1.119888	N
hsa-mir-18a	364	50.954908	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	6	0.839916	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	34	4.759524	N
hsa-mir-190b	20	2.799720	N
hsa-mir-191	63124	8836.476883	N
hsa-mir-1910	9	1.259874	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.139986	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1372	192.060805	Y
hsa-mir-193a	1706	238.816133	N
hsa-mir-193b	2584	361.723849	N
hsa-mir-194-1	149	20.857915	N
hsa-mir-194-2	624	87.351270	N
hsa-mir-195	2618	366.483374	N
hsa-mir-196a-1	23	3.219678	N
hsa-mir-196a-2	43	6.019398	N
hsa-mir-196b	55	7.699231	N
hsa-mir-197	2664	372.922730	N
