miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	73719	9187.716111	N
hsa-let-7a-2	72484	9033.796099	Y
hsa-let-7a-3	72413	9024.947256	N
hsa-let-7b	24168	3012.096244	N
hsa-let-7c	4714	587.513311	Y
hsa-let-7d	15331	1910.726891	N
hsa-let-7e	6277	782.312484	N
hsa-let-7f-1	117583	14654.556132	N
hsa-let-7f-2	123647	15410.322088	N
hsa-let-7g	125832	15682.642110	N
hsa-let-7i	53586	6678.508329	N
hsa-mir-1-1	782	97.461903	N
hsa-mir-1-2	852	106.186114	N
hsa-mir-100	43834	5463.101073	N
hsa-mir-101-1	7863	979.978184	N
hsa-mir-101-2	8467	1055.255664	N
hsa-mir-103a-1	46568	5803.843838	Y
hsa-mir-103a-2	48877	6091.618177	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	301	37.514108	Y
hsa-mir-106b	8201	1022.103662	N
hsa-mir-107	5020	625.650577	Y
hsa-mir-10a	33277	4147.365388	N
hsa-mir-10b	1987	247.642967	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.249263	N
hsa-mir-1180	317	39.508214	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.495579	N
hsa-mir-1185-2	8	0.997053	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.124632	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11	1.370947	N
hsa-mir-1224	2	0.249263	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	35	4.362106	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	17	2.118737	N
hsa-mir-1229	15	1.869474	N
