miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121614	15918.852519	N
hsa-let-7a-2	117412	15368.825234	Y
hsa-let-7a-3	118067	15454.562471	N
hsa-let-7b	34874	4564.886138	N
hsa-let-7c	4256	557.095699	Y
hsa-let-7d	41967	5493.335337	N
hsa-let-7e	9168	1200.059532	N
hsa-let-7f-1	190698	24961.709488	N
hsa-let-7f-2	203621	26653.285549	N
hsa-let-7g	172615	22594.707251	N
hsa-let-7i	83326	10907.085574	N
hsa-mir-1-1	672	87.962479	N
hsa-mir-1-2	707	92.543858	N
hsa-mir-100	25909	3391.398605	Y
hsa-mir-101-1	9373	1226.893324	N
hsa-mir-101-2	9873	1292.341597	N
hsa-mir-103a-1	117198	15340.813373	Y
hsa-mir-103a-2	120708	15800.260249	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.392690	N
hsa-mir-105-2	3	0.392690	N
hsa-mir-106a	559	73.171169	Y
hsa-mir-106b	22226	2909.306627	N
hsa-mir-107	10228	1338.809870	Y
hsa-mir-10a	42144	5516.504026	N
hsa-mir-10b	14982	1961.092049	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.785379	N
hsa-mir-1180	1275	166.893096	N
hsa-mir-1181	2	0.261793	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.523586	N
hsa-mir-1185-2	3	0.392690	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.130897	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	1.047172	N
hsa-mir-1224	2	0.261793	N
hsa-mir-1225	1	0.130897	N
hsa-mir-1226	22	2.879724	N
hsa-mir-1227	2	0.261793	N
hsa-mir-1228	11	1.439862	N
hsa-mir-1229	20	2.617931	N
hsa-mir-1231	7	0.916276	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.916276	N
hsa-mir-124-2	8	1.047172	N
hsa-mir-124-3	10	1.308965	N
hsa-mir-1243	2	0.261793	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	2.225241	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	5	0.654483	N
hsa-mir-1247	42	5.497655	N
hsa-mir-1248	139	18.194620	N
hsa-mir-1249	142	18.587310	N
hsa-mir-1250	12	1.570759	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	3	0.392690	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.832552	N
hsa-mir-1254-2	16	2.094345	N
hsa-mir-1255a	15	1.963448	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	34640	4534.256346	N
hsa-mir-125b-1	10178	1332.265043	N
hsa-mir-125b-2	10011	1310.405320	N
hsa-mir-126	25891	3389.042467	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.523586	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	2.356138	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.392690	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	89	11.649793	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	678	88.747858	N
hsa-mir-1270	68	8.900965	N
hsa-mir-1271	1009	132.074615	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.130897	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.523586	N
hsa-mir-1275	3	0.392690	N
hsa-mir-1276	16	2.094345	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	20	2.617931	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7937	1038.925884	N
hsa-mir-128-2	5812	760.770724	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	11	1.439862	N
hsa-mir-1285-1	1	0.130897	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.392690	N
hsa-mir-1287	31	4.057793	N
hsa-mir-1288	2	0.261793	N
hsa-mir-1289-1	3	0.392690	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	130	17.016551	N
hsa-mir-129-2	67	8.770069	N
hsa-mir-1290	1	0.130897	N
hsa-mir-1291	32	4.188689	N
hsa-mir-1292	33	4.319586	N
hsa-mir-1293	4	0.523586	N
hsa-mir-1294	12	1.570759	N
hsa-mir-1295a	36	4.712276	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	878	114.927167	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.130897	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1856	242.943989	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.523586	N
hsa-mir-1304	32	4.188689	N
hsa-mir-1305	5	0.654483	N
hsa-mir-1306	140	18.325516	N
hsa-mir-1307	1909	249.881506	N
hsa-mir-130a	913	119.508546	N
hsa-mir-130b	7733	1012.222989	N
hsa-mir-132	2343	306.690607	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.261793	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	115	15.053103	N
hsa-mir-133a-2	128	16.754758	Y
hsa-mir-133b	1	0.130897	Y
hsa-mir-134	58	7.592000	N
hsa-mir-1343	13	1.701655	N
hsa-mir-135a-1	52	6.806620	N
hsa-mir-135a-2	64	8.377379	N
hsa-mir-135b	9339	1222.442841	N
hsa-mir-136	85	11.126206	N
hsa-mir-137	33	4.319586	N
hsa-mir-138-1	62	8.115586	N
hsa-mir-138-2	29	3.796000	N
hsa-mir-139	718	93.983720	N
hsa-mir-140	13414	1755.846265	N
hsa-mir-141	1058	138.488545	N
hsa-mir-142	4432	580.133491	N
hsa-mir-143	57494	7525.766003	N
hsa-mir-144	1137	148.829373	N
hsa-mir-145	10355	1355.433732	N
hsa-mir-1468	8	1.047172	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	8837	1156.732775	N
hsa-mir-146b	79431	10397.243528	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	31	4.057793	N
hsa-mir-148a	37465	4904.039088	N
hsa-mir-148b	2684	351.326329	N
hsa-mir-149	8711	1140.239810	N
hsa-mir-150	9589	1255.166978	N
hsa-mir-151a	13481	1764.616334	N
hsa-mir-151b	25	3.272414	N
hsa-mir-152	4351	569.530871	N
hsa-mir-153-1	5	0.654483	N
hsa-mir-153-2	1	0.130897	N
hsa-mir-1537	1	0.130897	N
hsa-mir-1538	1	0.130897	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	77	10.079034	N
hsa-mir-155	11635	1522.981310	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1202	157.337648	N
hsa-mir-15b	27490	3598.346044	N
hsa-mir-16-1	19661	2573.556987	N
hsa-mir-16-2	24877	3256.313369	N
hsa-mir-17	3241	424.235705	Y
hsa-mir-181a-1	11537	1510.153449	N
hsa-mir-181a-2	11803	1544.971930	N
hsa-mir-181b-1	3827	500.941081	N
