miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	125807	17510.148153	N
hsa-let-7a-2	123104	17133.937525	Y
hsa-let-7a-3	123209	17148.551700	N
hsa-let-7b	36299	5052.190004	N
hsa-let-7c	9373	1304.558718	Y
hsa-let-7d	34473	4798.042536	N
hsa-let-7e	14629	2036.102580	N
hsa-let-7f-1	183001	25470.559048	N
hsa-let-7f-2	195190	27167.056030	N
hsa-let-7g	193418	26920.424423	N
hsa-let-7i	109081	15182.179614	N
hsa-mir-1-1	2413	335.847667	N
hsa-mir-1-2	2721	378.715915	N
hsa-mir-100	98650	13730.365681	Y
hsa-mir-101-1	12290	1710.554427	N
hsa-mir-101-2	13049	1816.194037	N
hsa-mir-103a-1	56029	7798.263140	Y
hsa-mir-103a-2	58064	8081.499776	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	285	39.667047	N
hsa-mir-105-2	301	41.893969	N
hsa-mir-106a	594	82.674478	Y
hsa-mir-106b	17344	2413.983400	N
hsa-mir-107	7203	1002.532428	Y
hsa-mir-10a	47685	6636.923340	N
hsa-mir-10b	24620	3426.676159	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	2.366105	N
hsa-mir-1180	422	58.735067	N
hsa-mir-1181	2	0.278365	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.391826	N
hsa-mir-1185-2	1	0.139183	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.278365	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	3.897113	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	2.644470	N
hsa-mir-1229	5	0.695913	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.139183	N
hsa-mir-1236	1	0.139183	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	7	0.974278	N
hsa-mir-124-2	4	0.556730	N
hsa-mir-124-3	8	1.113461	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.695913	N
hsa-mir-1245b	1	0.139183	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	157	21.851672	N
hsa-mir-1248	63	8.768505	N
hsa-mir-1249	132	18.372106	N
hsa-mir-1250	8	1.113461	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	25	3.479566	N
hsa-mir-1254-2	17	2.366105	N
hsa-mir-1255a	10	1.391826	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.139183	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	119389	16616.874084	N
hsa-mir-125b-1	46283	6441.789304	N
hsa-mir-125b-2	45559	6341.021085	N
hsa-mir-126	39215	5458.046530	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	10	1.391826	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.809374	N
hsa-mir-1263	13	1.809374	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	1	0.139183	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	41	5.706488	N
hsa-mir-1269b	120	16.701915	N
hsa-mir-127	1344	187.061444	N
hsa-mir-1270	33	4.593027	N
hsa-mir-1271	675	93.948270	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.278365	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	7	0.974278	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	9	1.252644	N
hsa-mir-1277	1	0.139183	N
hsa-mir-1278	9	1.252644	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3526	490.757926	N
hsa-mir-128-2	2203	306.619317	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.278365	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	11	1.531009	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.139183	N
hsa-mir-1287	52	7.237496	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.139183	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	1.531009	N
hsa-mir-129-2	13	1.809374	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	1.948557	N
hsa-mir-1292	46	6.402401	N
hsa-mir-1293	28	3.897113	N
hsa-mir-1294	13	1.809374	N
hsa-mir-1295a	8	1.113461	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	315	43.842526	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	16	2.226922	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	837	116.495855	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	7	0.974278	N
hsa-mir-1304	30	4.175479	N
hsa-mir-1305	1	0.139183	N
hsa-mir-1306	175	24.356959	N
hsa-mir-1307	1387	193.046297	N
hsa-mir-130a	375	52.193483	N
hsa-mir-130b	3418	475.726203	N
