miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	263011	34655.054327	N
hsa-let-7a-2	255285	33637.055271	Y
hsa-let-7a-3	256619	33812.826788	N
hsa-let-7b	133421	17579.918723	N
hsa-let-7c	26410	3479.854397	Y
hsa-let-7d	59492	7838.829905	N
hsa-let-7e	30535	4023.375767	N
hsa-let-7f-1	240213	31651.127006	N
hsa-let-7f-2	258717	34089.265051	N
hsa-let-7g	210755	27769.659728	N
hsa-let-7i	55966	7374.234425	N
hsa-mir-1-1	2316	305.162544	N
hsa-mir-1-2	2442	321.764651	N
hsa-mir-100	46319	6103.119114	N
hsa-mir-101-1	14964	1971.697887	N
hsa-mir-101-2	16220	2137.191909	N
hsa-mir-103a-1	98669	13000.899413	Y
hsa-mir-103a-2	101934	13431.104812	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	50	6.588138	Y
hsa-mir-106b	8554	1127.098618	N
hsa-mir-107	9852	1298.126676	Y
hsa-mir-10a	107666	14186.368932	N
hsa-mir-10b	6741	888.212741	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.395288	N
hsa-mir-1180	614	80.902332	N
hsa-mir-1181	1	0.131763	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.527051	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
