miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	267999	29906.797573	N
hsa-let-7a-2	260968	29122.187579	Y
hsa-let-7a-3	261255	29154.214754	N
hsa-let-7b	92408	10312.080829	N
hsa-let-7c	26198	2923.511964	Y
hsa-let-7d	60720	6775.923599	N
hsa-let-7e	24957	2785.025120	N
hsa-let-7f-1	247086	27573.054321	N
hsa-let-7f-2	263034	29352.738602	N
hsa-let-7g	266885	29782.483032	N
hsa-let-7i	92029	10269.787103	N
hsa-mir-1-1	3285	366.582823	N
hsa-mir-1-2	3467	386.892739	N
hsa-mir-100	109795	12252.347358	Y
hsa-mir-101-1	15857	1769.529323	N
hsa-mir-101-2	17149	1913.707408	N
hsa-mir-103a-1	102286	11414.395936	Y
hsa-mir-103a-2	108520	12110.066353	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	571	63.719571	N
hsa-mir-105-2	526	58.697889	N
hsa-mir-106a	909	101.437987	Y
hsa-mir-106b	20188	2252.838367	N
hsa-mir-107	15229	1699.448954	Y
hsa-mir-10a	199573	22270.938742	N
hsa-mir-10b	12542	1399.598712	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.227522	N
hsa-mir-1180	1859	207.451284	N
hsa-mir-1181	1	0.111593	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.892744	N
hsa-mir-1185-2	3	0.334779	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.111593	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.111593	N
hsa-mir-1224	12	1.339115	N
hsa-mir-1225	1	0.111593	N
hsa-mir-1226	56	6.249205	N
hsa-mir-1227	2	0.223186	N
hsa-mir-1228	77	8.592657	N
hsa-mir-1229	2	0.223186	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	11	1.227522	N
hsa-mir-1236	2	0.223186	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	3	0.334779	N
hsa-mir-124-1	1	0.111593	N
hsa-mir-124-2	4	0.446372	N
hsa-mir-124-3	2	0.223186	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	22	2.455045	N
hsa-mir-1245b	8	0.892744	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	93	10.378144	N
hsa-mir-1248	65	7.253541	N
hsa-mir-1249	128	14.283897	N
hsa-mir-1250	31	3.459381	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	17	1.897080	N
hsa-mir-1254-2	16	1.785487	N
hsa-mir-1255a	31	3.459381	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	6	0.669558	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.111593	N
hsa-mir-125a	171225	19107.501947	N
hsa-mir-125b-1	57708	6439.805650	N
hsa-mir-125b-2	57252	6388.919267	N
hsa-mir-126	78163	8722.439332	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	80	8.927436	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	38	4.240532	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	1.227522	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	25	2.789824	N
hsa-mir-1269b	68	7.588320	N
hsa-mir-127	1064	118.734893	N
hsa-mir-1270	14	1.562301	N
hsa-mir-1271	932	104.004624	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.223186	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.334779	N
hsa-mir-1276	22	2.455045	N
hsa-mir-1277	3	0.334779	N
hsa-mir-1278	9	1.004337	N
hsa-mir-1279	0	0.000000	N
