miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	237587	28623.598243	N
hsa-let-7a-2	232201	27974.712992	Y
hsa-let-7a-3	231589	27900.981508	N
hsa-let-7b	62556	7536.514253	N
hsa-let-7c	24005	2892.033132	Y
hsa-let-7d	43564	5248.428718	N
hsa-let-7e	15390	1854.129969	N
hsa-let-7f-1	250816	30217.378969	N
hsa-let-7f-2	267268	32199.454748	N
hsa-let-7g	235023	28314.697058	N
hsa-let-7i	66449	8005.528416	N
hsa-mir-1-1	2204	265.529724	N
hsa-mir-1-2	2376	286.251644	N
hsa-mir-100	75929	9147.643562	Y
hsa-mir-101-1	21527	2593.492907	N
hsa-mir-101-2	23046	2776.496379	N
hsa-mir-103a-1	68477	8249.854314	Y
hsa-mir-103a-2	71698	8637.908416	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.240953	N
hsa-mir-105-2	3	0.361429	N
hsa-mir-106a	457	55.057661	Y
hsa-mir-106b	11649	1403.428201	N
hsa-mir-107	8472	1020.675055	Y
hsa-mir-10a	115803	13951.514802	N
hsa-mir-10b	32593	3926.683436	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	15	1.807144	N
hsa-mir-1180	230	27.709545	N
hsa-mir-1181	5	0.602381	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.481905	N
hsa-mir-1185-2	2	0.240953	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.481905	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.361429	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.807144	N
hsa-mir-1227	1	0.120476	N
hsa-mir-1228	6	0.722858	N
hsa-mir-1229	1	0.120476	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.361429	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.240953	N
hsa-mir-124-3	2	0.240953	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.361429	N
hsa-mir-1245b	3	0.361429	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	77	9.276674	N
hsa-mir-1248	95	11.445247	N
hsa-mir-1249	39	4.698575	N
hsa-mir-1250	10	1.204763	N
hsa-mir-1251	3	0.361429	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	1.325239	N
hsa-mir-1254-2	5	0.602381	N
hsa-mir-1255a	21	2.530002	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.481905	N
hsa-mir-125a	231119	27844.357656	N
hsa-mir-125b-1	45440	5474.442222	N
hsa-mir-125b-2	45431	5473.357935	N
hsa-mir-126	164422	19808.951123	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	4	0.481905	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	2.168573	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.481905	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	959	115.536754	N
hsa-mir-1270	40	4.819051	N
hsa-mir-1271	464	55.900995	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.120476	N
hsa-mir-1276	4	0.481905	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	11	1.325239	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2461	296.492128	N
hsa-mir-128-2	1537	185.172044	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.120476	N
hsa-mir-1284	9	1.084287	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	36	4.337146	N
hsa-mir-1288	1	0.120476	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.361429	N
hsa-mir-129-2	7	0.843334	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	25	3.011907	N
hsa-mir-1292	40	4.819051	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	24	2.891431	N
