miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	221153	34978.311843	N
hsa-let-7a-2	215698	34115.530460	Y
hsa-let-7a-3	217065	34331.739837	N
hsa-let-7b	61250	9687.508650	N
hsa-let-7c	22827	3610.396081	Y
hsa-let-7d	35876	5674.270372	N
hsa-let-7e	11997	1897.486388	N
hsa-let-7f-1	214179	33875.280246	N
hsa-let-7f-2	225756	35706.338003	N
hsa-let-7g	179870	28448.851931	N
hsa-let-7i	46334	7328.343278	N
hsa-mir-1-1	2779	439.536107	N
hsa-mir-1-2	2899	458.515716	N
hsa-mir-100	72016	11390.295884	Y
hsa-mir-101-1	18945	2996.405737	N
hsa-mir-101-2	20714	3276.196803	N
hsa-mir-103a-1	43730	6916.485767	Y
hsa-mir-103a-2	45487	7194.378873	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	167	26.413289	Y
hsa-mir-106b	7338	1160.603077	N
hsa-mir-107	5281	835.260950	Y
hsa-mir-10a	110093	17412.683914	N
hsa-mir-10b	12286	1943.195613	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	2.688778	N
hsa-mir-1180	393	62.158219	N
hsa-mir-1181	2	0.316327	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.474490	N
hsa-mir-1185-2	12	1.897961	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.158163	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.474490	N
hsa-mir-1224	1	0.158163	N
hsa-mir-1225	3	0.474490	N
hsa-mir-1226	23	3.637758	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.739797	N
hsa-mir-1229	1	0.158163	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.158163	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.474490	N
hsa-mir-1245b	1	0.158163	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	213	33.688806	N
hsa-mir-1248	27	4.270412	N
hsa-mir-1249	44	6.959190	N
hsa-mir-1250	12	1.897961	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.474490	N
hsa-mir-1254-2	4	0.632654	N
hsa-mir-1255a	34	5.377556	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.107144	N
hsa-mir-125a	164019	25941.803775	N
hsa-mir-125b-1	40315	6376.357734	N
hsa-mir-125b-2	40130	6347.097504	N
hsa-mir-126	135519	21434.146689	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	8	1.265307	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	2.056124	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	0	0.000000	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	891	140.923595	N
hsa-mir-1270	26	4.112249	N
hsa-mir-1271	550	86.989874	N
hsa-mir-1272	0	0.000000	N
