miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	217557	21820.784855	N
hsa-let-7a-2	209380	21000.638605	Y
hsa-let-7a-3	208370	20899.336451	N
hsa-let-7b	66279	6647.728179	N
hsa-let-7c	17389	1744.102133	Y
hsa-let-7d	56440	5660.884721	N
hsa-let-7e	16599	1664.865795	N
hsa-let-7f-1	292002	29287.555993	N
hsa-let-7f-2	314530	31547.095522	N
hsa-let-7g	196746	19733.458988	N
hsa-let-7i	61647	6183.142459	N
hsa-mir-1-1	1075	107.821599	N
hsa-mir-1-2	1076	107.921899	N
hsa-mir-100	37956	3806.955005	Y
hsa-mir-101-1	13078	1311.712445	N
hsa-mir-101-2	13965	1400.677802	N
hsa-mir-103a-1	60488	6066.895730	Y
hsa-mir-103a-2	62937	6312.528378	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	520	52.155564	Y
hsa-mir-106b	7233	725.463841	N
hsa-mir-107	5996	601.393777	Y
hsa-mir-10a	65391	6558.662523	N
hsa-mir-10b	5774	579.127363	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	1.805385	N
hsa-mir-1180	365	36.609194	N
hsa-mir-1181	14	1.404188	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.300897	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.200598	N
hsa-mir-1224	0	0.000000	N
