miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	137955	13340.678902	N
hsa-let-7a-2	133930	12951.448845	N
hsa-let-7a-3	135036	13058.402495	N
hsa-let-7b	34910	3375.905915	N
hsa-let-7c	8037	777.202974	N
hsa-let-7d	39102	3781.285393	N
hsa-let-7e	12151	1175.039610	N
hsa-let-7f-1	203141	19644.368474	N
hsa-let-7f-2	215543	20843.680567	N
hsa-let-7g	136137	13164.872630	N
hsa-let-7i	83852	8108.750008	N
hsa-mir-1-1	966	93.415214	N
hsa-mir-1-2	929	89.837198	N
hsa-mir-100	42679	4127.192453	Y
hsa-mir-101-1	16266	1572.972948	N
hsa-mir-101-2	17460	1688.436473	N
hsa-mir-103a-1	67926	6568.656121	Y
hsa-mir-103a-2	71305	6895.415963	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	963	93.125104	N
hsa-mir-105-2	1006	97.283339	N
hsa-mir-106a	668	64.597684	Y
hsa-mir-106b	21333	2062.967656	N
hsa-mir-107	14260	1378.986489	Y
hsa-mir-10a	46016	4449.890764	N
hsa-mir-10b	1427	137.995352	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.096703	N
hsa-mir-1180	786	76.008652	N
hsa-mir-1181	3	0.290109	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.193406	N
hsa-mir-1185-2	2	0.193406	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.096703	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	64	6.189000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	35	3.384609	N
hsa-mir-1229	35	3.384609	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	9	0.870328	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.290109	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	5	0.483516	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	3	0.290109	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.580219	N
hsa-mir-1245b	1	0.096703	N
hsa-mir-1246	2	0.193406	N
hsa-mir-1247	129	12.474702	N
hsa-mir-1248	19	1.837359	N
hsa-mir-1249	129	12.474702	N
hsa-mir-1250	8	0.773625	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	3	0.290109	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	24	2.320875	N
hsa-mir-1254-2	25	2.417578	N
hsa-mir-1255a	36	3.481312	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.290109	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	104840	10138.355088	N
hsa-mir-125b-1	22226	2149.323542	N
hsa-mir-125b-2	22686	2193.806977	N
hsa-mir-126	46121	4460.044592	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	80	7.736250	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	2.707687	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.676922	N
hsa-mir-1267	3	0.290109	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	36	3.481312	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	476	46.030685	N
hsa-mir-1270	96	9.283500	N
hsa-mir-1271	261	25.239514	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.290109	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	34	3.287906	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	15	1.450547	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4562	441.159633	N
hsa-mir-128-2	3423	331.014779	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	48	4.641750	N
hsa-mir-1283-2	35	3.384609	N
hsa-mir-1284	4	0.386812	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.193406	N
hsa-mir-1287	249	24.079077	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.096703	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	0.967031	N
hsa-mir-129-2	9	0.870328	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	1.450547	N
hsa-mir-1292	77	7.446140	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	34	3.287906	N
hsa-mir-1295a	12	1.160437	N
hsa-mir-1295b	10	0.967031	N
hsa-mir-1296	253	24.465889	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.386812	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1985	191.955693	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.096703	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.193406	N
hsa-mir-1304	58	5.608781	N
hsa-mir-1305	2	0.193406	N
hsa-mir-1306	188	18.180187	N
hsa-mir-1307	3034	293.397266	N
hsa-mir-130a	724	70.013059	N
hsa-mir-130b	4147	401.027838	N
hsa-mir-132	1593	154.048070	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.193406	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	193	18.663702	Y
hsa-mir-133a-2	176	17.019749	Y
hsa-mir-133b	6	0.580219	Y
hsa-mir-134	23	2.224172	N
hsa-mir-1343	21	2.030766	N
hsa-mir-135a-1	256	24.755999	N
hsa-mir-135a-2	257	24.852702	N
hsa-mir-135b	19339	1870.141635	N
hsa-mir-136	43	4.158234	N
hsa-mir-137	210	20.307655	N
hsa-mir-138-1	247	23.885671	N
hsa-mir-138-2	81	7.832953	N
hsa-mir-139	1183	114.399791	N
hsa-mir-140	21422	2071.574234	N
hsa-mir-141	1596	154.338179	N
hsa-mir-142	5246	507.304567	N
hsa-mir-143	147018	14217.099278	N
hsa-mir-144	1464	141.573367	N
hsa-mir-145	15739	1522.010404	N
hsa-mir-1468	75	7.252734	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	11743	1135.584737	N
hsa-mir-146b	208772	20188.903742	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	300	29.010936	N
hsa-mir-148a	40871	3952.353212	N
hsa-mir-148b	4139	400.254213	N
hsa-mir-149	919	88.870167	N
hsa-mir-150	10869	1051.066210	N
hsa-mir-151a	64977	6283.478620	N
hsa-mir-151b	148	14.312062	N
hsa-mir-152	4820	466.109038	N
hsa-mir-153-1	2	0.193406	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.096703	N
hsa-mir-1538	9	0.870328	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	35	3.384609	N
hsa-mir-155	12593	1217.782389	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1340	129.582181	N
hsa-mir-15b	23438	2266.527724	N
hsa-mir-16-1	31546	3050.596620	N
hsa-mir-16-2	34900	3374.938884	N
hsa-mir-17	5810	561.845126	Y
hsa-mir-181a-1	55989	5414.310979	N
hsa-mir-181a-2	55382	5355.612185	N
hsa-mir-181b-1	17057	1649.465116	N
hsa-mir-181b-2	19746	1909.499805	N
hsa-mir-181c	908	87.806433	N
hsa-mir-181d	753	72.817449	N
hsa-mir-182	57702	5579.963423	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	34784	3363.721322	N
hsa-mir-184	358	34.619717	N
hsa-mir-185	8297	802.345786	N
hsa-mir-186	14723	1423.760034	N
hsa-mir-187	89	8.606578	N
hsa-mir-188	33	3.191203	N
hsa-mir-18a	825	79.780074	Y
hsa-mir-18b	10	0.967031	Y
hsa-mir-1908	44	4.254937	N
hsa-mir-1909	1	0.096703	N
hsa-mir-190a	138	13.345031	N
hsa-mir-190b	69	6.672515	N
hsa-mir-191	72682	7028.576159	N
hsa-mir-1910	20	1.934062	N
hsa-mir-1911	6	0.580219	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	8	0.773625	N
hsa-mir-1914	3	0.290109	N
hsa-mir-1915	1	0.096703	N
hsa-mir-192	1347	130.259102	Y
hsa-mir-193a	3246	313.898327	N
hsa-mir-193b	2169	209.749067	N
hsa-mir-194-1	242	23.402155	N
hsa-mir-194-2	775	74.944918	N
hsa-mir-195	4613	446.091492	N
hsa-mir-196a-1	2383	230.443535	N
hsa-mir-196a-2	4233	409.344306	N
hsa-mir-196b	1453	140.509633	N
hsa-mir-197	4321	417.854181	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	53	5.125265	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	19365	1872.655916	Y
hsa-mir-199a-2	35406	3423.870662	Y
hsa-mir-199b	53019	5127.102713	Y
hsa-mir-19a	509	49.221888	N
hsa-mir-19b-1	2244	217.001801	N
hsa-mir-19b-2	2222	214.874332	N
hsa-mir-200a	12606	1219.039529	N
hsa-mir-200b	90606	8761.882879	N
hsa-mir-200c	202690	19600.755367	N
hsa-mir-202	4	0.386812	N
hsa-mir-203a	31319	3028.645011	N
hsa-mir-203b	155	14.988984	N
hsa-mir-204	25	2.417578	N
hsa-mir-205	62202	6015.127462	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	14881	1439.039127	N
hsa-mir-20b	147	14.215359	N
hsa-mir-21	3550835	343376.822660	N
hsa-mir-210	1476	142.733805	N
hsa-mir-211	4	0.386812	N
hsa-mir-2110	458	44.290029	N
hsa-mir-2113	7	0.676922	N
hsa-mir-2114	1	0.096703	N
hsa-mir-2115	2	0.193406	N
