miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	239421	26269.164440	N
hsa-let-7a-2	232717	25533.604575	Y
hsa-let-7a-3	232663	25527.679719	N
hsa-let-7b	85846	9418.984510	N
hsa-let-7c	36178	3969.433889	Y
hsa-let-7d	47041	5161.317363	N
hsa-let-7e	23912	2623.613885	N
hsa-let-7f-1	242299	26584.937305	N
hsa-let-7f-2	256820	28178.174894	N
hsa-let-7g	188590	20692.009981	N
hsa-let-7i	65911	7231.725276	N
hsa-mir-1-1	2406	263.985238	N
hsa-mir-1-2	2604	285.709709	N
hsa-mir-100	42766	4692.266286	Y
hsa-mir-101-1	19601	2150.612904	N
hsa-mir-101-2	21135	2318.922694	N
hsa-mir-103a-1	114955	12612.810899	Y
hsa-mir-103a-2	118372	12987.722602	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.219439	N
hsa-mir-106a	235	25.784094	Y
hsa-mir-106b	9080	996.253516	N
hsa-mir-107	9368	1027.852747	Y
hsa-mir-10a	70494	7734.569975	N
hsa-mir-10b	2449	268.703179	N
hsa-mir-1178	4	0.438878	N
hsa-mir-1179	4	0.438878	N
hsa-mir-1180	1275	139.892427	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.109720	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.438878	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	13	1.426354	N
hsa-mir-1224	1	0.109720	N
hsa-mir-1225	7	0.768037	N
hsa-mir-1226	40	4.388782	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	31	3.401306	N
hsa-mir-1229	56	6.144295	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	7	0.768037	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.109720	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.426354	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	139	15.251017	N
hsa-mir-1248	96	10.533077	N
hsa-mir-1249	59	6.473453	N
hsa-mir-1250	8	0.877756	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	1.536074	N
hsa-mir-1254-2	12	1.316635	N
hsa-mir-1255a	47	5.156819	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.219439	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.548598	N
hsa-mir-125a	215692	23665.629232	N
hsa-mir-125b-1	40805	4477.106248	N
hsa-mir-125b-2	40880	4485.335214	N
hsa-mir-126	35024	3842.817528	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	11	1.206915	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	1.865232	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.097196	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	145	15.909335	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	417	45.753052	N
hsa-mir-1270	10	1.097196	N
hsa-mir-1271	250	27.429888	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.109720	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.329159	N
hsa-mir-1275	1	0.109720	N
hsa-mir-1276	2	0.219439	N
hsa-mir-1277	1	0.109720	N
hsa-mir-1278	3	0.329159	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2580	283.076440	N
hsa-mir-128-2	1790	196.397995	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.109720	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	9	0.987476	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.109720	N
hsa-mir-1287	149	16.348213	N
hsa-mir-1288	1	0.109720	N
hsa-mir-1289-1	4	0.438878	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.438878	N
hsa-mir-129-2	7	0.768037	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	30	3.291587	N
hsa-mir-1292	60	6.583173	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	16	1.755513	N
hsa-mir-1295a	21	2.304111	N
hsa-mir-1295b	4	0.438878	N
hsa-mir-1296	164	17.994006	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	23	2.523550	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1526	167.432034	N
hsa-mir-1302-1	0	0.000000	N
