miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	200658	22084.524280	N
hsa-let-7a-2	196679	21646.593462	Y
hsa-let-7a-3	196725	21651.656246	N
hsa-let-7b	98940	10889.388075	N
hsa-let-7c	24323	2677.002083	Y
hsa-let-7d	30804	3390.304328	N
hsa-let-7e	9085	999.899845	N
hsa-let-7f-1	183440	20189.502207	N
hsa-let-7f-2	195567	21524.206161	N
hsa-let-7g	209404	23047.113608	N
hsa-let-7i	85421	9401.479874	N
hsa-mir-1-1	4019	442.333239	N
hsa-mir-1-2	4272	470.178551	N
hsa-mir-100	65782	7240.001277	Y
hsa-mir-101-1	16762	1844.834474	N
hsa-mir-101-2	17975	1978.337888	N
hsa-mir-103a-1	47693	5249.116489	Y
hsa-mir-103a-2	50243	5529.770821	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	277	30.486765	Y
hsa-mir-106b	7392	813.567381	N
hsa-mir-107	5943	654.089684	Y
hsa-mir-10a	71383	7856.450262	N
hsa-mir-10b	16232	1786.502398	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.770424	N
hsa-mir-1180	167	18.380107	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.550303	N
hsa-mir-1185-2	4	0.440242	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	13	1.430787	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	1.871029	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.880484	N
hsa-mir-1229	3	0.330182	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.110061	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.220121	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.110061	N
hsa-mir-1244-1	2	0.220121	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.430787	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	164	18.049926	N
hsa-mir-1248	93	10.235629	N
hsa-mir-1249	68	7.484116	N
hsa-mir-1250	10	1.100605	N
hsa-mir-1251	2	0.220121	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.660363	N
hsa-mir-1254-2	5	0.550303	N
hsa-mir-1255a	45	4.952724	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.770424	N
hsa-mir-125a	100935	11108.958816	N
hsa-mir-125b-1	41765	4596.677713	N
hsa-mir-125b-2	41823	4603.061223	N
hsa-mir-126	33353	3670.848600	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.770424	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.760968	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.550303	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1156	127.229964	N
hsa-mir-1270	22	2.421331	N
hsa-mir-1271	318	34.999246	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.550303	N
hsa-mir-1276	2	0.220121	N
hsa-mir-1277	4	0.440242	N
hsa-mir-1278	12	1.320726	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2425	266.896767	N
hsa-mir-128-2	1546	170.153567	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.330182	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.660363	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	89	9.795386	N
hsa-mir-1288	2	0.220121	N
hsa-mir-1289-1	1	0.110061	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	19	2.091150	N
hsa-mir-129-2	7	0.770424	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	34	3.742058	N
hsa-mir-1292	42	4.622542	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	16	1.760968	N
hsa-mir-1295a	31	3.411876	N
hsa-mir-1295b	5	0.550303	N
hsa-mir-1296	169	18.600228	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	471	51.838506	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	32	3.521937	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	44	4.842663	N
hsa-mir-1307	1114	122.607422	N
hsa-mir-130a	510	56.130866	N
hsa-mir-130b	703	77.372547	N
hsa-mir-132	1844	202.951603	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.330182	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	766	84.306360	Y
hsa-mir-133a-2	824	90.689870	Y
hsa-mir-133b	31	3.411876	Y
hsa-mir-134	76	8.364600	N
hsa-mir-1343	19	2.091150	N
hsa-mir-135a-1	357	39.291606	N
hsa-mir-135a-2	411	45.234875	N
hsa-mir-135b	13479	1483.505780	N
hsa-mir-136	127	13.977686	N
hsa-mir-137	31	3.411876	N
hsa-mir-138-1	102	11.226173	N
hsa-mir-138-2	18	1.981089	N
hsa-mir-139	1217	133.943656	N
hsa-mir-140	33182	3652.028250	N
hsa-mir-141	680	74.841155	N
hsa-mir-142	6141	675.881667	N
hsa-mir-143	265655	29238.128047	N
hsa-mir-144	1523	167.622175	N
hsa-mir-145	68127	7498.093201	N
hsa-mir-1468	34	3.742058	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	23342	2569.032711	N
hsa-mir-146b	170217	18734.171921	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	21	2.311271	N
hsa-mir-148a	47676	5247.245460	N
hsa-mir-148b	3517	387.082857	N
hsa-mir-149	317	34.889186	N
hsa-mir-150	15106	1662.574250	N
hsa-mir-151a	22418	2467.336788	N
hsa-mir-151b	112	12.326778	N
hsa-mir-152	2860	314.773094	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	1	0.110061	N
hsa-mir-1538	4	0.440242	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	70	7.704237	N
hsa-mir-155	15024	1653.549287	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	986	108.519675	N
hsa-mir-15b	16138	1776.156709	N
hsa-mir-16-1	18614	2048.666562	N
hsa-mir-16-2	21413	2356.725964	N
hsa-mir-17	3021	332.492838	Y
hsa-mir-181a-1	24366	2681.734686	N
hsa-mir-181a-2	25286	2782.990366	N
hsa-mir-181b-1	6026	663.224707	N
hsa-mir-181b-2	7276	800.800360	N
hsa-mir-181c	454	49.967477	N
hsa-mir-181d	288	31.697430	N
hsa-mir-182	24924	2743.148457	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10787	1187.222854	N
hsa-mir-184	37	4.072239	N
hsa-mir-185	3722	409.645264	N
hsa-mir-186	12712	1399.089359	N
hsa-mir-187	16	1.760968	N
hsa-mir-188	10	1.100605	N
hsa-mir-18a	180	19.810894	N
hsa-mir-18b	1	0.110061	N
hsa-mir-1908	8	0.880484	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	116	12.767021	N
hsa-mir-190b	53	5.833208	N
hsa-mir-191	51279	5643.793522	N
hsa-mir-1910	1	0.110061	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	1	0.110061	N
hsa-mir-1913	1	0.110061	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	935	102.906588	N
hsa-mir-193a	1001	110.170583	N
hsa-mir-193b	1725	189.854401	N
hsa-mir-194-1	104	11.446294	N
hsa-mir-194-2	441	48.536690	N
hsa-mir-195	8275	910.750822	N
hsa-mir-196a-1	148	16.288957	N
hsa-mir-196a-2	242	26.634646	N
hsa-mir-196b	165	18.159986	N
hsa-mir-197	4531	498.684226	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	28	3.081695	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	34917	3842.983256	Y
hsa-mir-199a-2	61968	6820.230445	Y
hsa-mir-199b	105659	11628.884724	Y
hsa-mir-19a	273	30.046523	N
hsa-mir-19b-1	2001	220.231105	N
hsa-mir-19b-2	2051	225.734131	N
hsa-mir-200a	9644	1061.423677	N
hsa-mir-200b	57026	6276.311344	N
hsa-mir-200c	82541	9084.505570	N
hsa-mir-202	10	1.100605	N
hsa-mir-203a	8570	943.218676	N
hsa-mir-203b	103	11.336234	N
hsa-mir-204	471	51.838506	N
hsa-mir-205	1130	124.368390	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.110061	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	8629	949.712247	N
hsa-mir-20b	107	11.776476	N
hsa-mir-21	2955567	325291.247657	N
hsa-mir-210	488	53.709535	N
hsa-mir-211	126	13.867626	N
hsa-mir-2110	221	24.323375	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	32	3.521937	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	159	17.499623	N
hsa-mir-214	5665	623.492859	N
hsa-mir-215	13	1.430787	N
hsa-mir-216a	25	2.751513	N
hsa-mir-216b	95	10.455750	N
hsa-mir-217	155	17.059381	N
hsa-mir-218-1	2936	323.137693	N
hsa-mir-218-2	2483	273.280277	N
hsa-mir-219a-1	19	2.091150	N
hsa-mir-219a-2	1	0.110061	N
hsa-mir-219b	4	0.440242	N
hsa-mir-22	7589	835.249304	N
hsa-mir-221	40228	4427.514690	N
hsa-mir-222	16978	1868.607547	N
hsa-mir-223	8932	983.060585	N
hsa-mir-224	4687	515.853668	N
hsa-mir-2276	1	0.110061	N
hsa-mir-2277	22	2.421331	N
hsa-mir-2278	3	0.330182	N
hsa-mir-2355	154	16.949320	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	222726	24513.339886	Y
hsa-mir-23b	86639	9535.533590	Y
hsa-mir-23c	2	0.220121	N
hsa-mir-24-1	16764	1845.054596	N
hsa-mir-24-2	17395	1914.502785	N
hsa-mir-2467	0	0.000000	N
