miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	182724	27781.443643	N
hsa-let-7a-2	178932	27204.906164	Y
hsa-let-7a-3	177585	27000.107645	N
hsa-let-7b	50930	7743.421361	N
hsa-let-7c	21600	3284.074247	Y
hsa-let-7d	28977	4405.676826	N
hsa-let-7e	10505	1597.185183	N
hsa-let-7f-1	202894	30848.100011	N
hsa-let-7f-2	215380	32746.477374	N
hsa-let-7g	198884	30238.417709	N
hsa-let-7i	56210	8546.195065	N
hsa-mir-1-1	5139	781.335998	N
hsa-mir-1-2	5555	844.584835	N
hsa-mir-100	93916	14279.033193	Y
hsa-mir-101-1	15187	2309.038685	N
hsa-mir-101-2	16277	2474.762802	N
hsa-mir-103a-1	38720	5887.007168	Y
hsa-mir-103a-2	40223	6115.524001	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	170	25.846881	Y
hsa-mir-106b	6152	935.352998	N
hsa-mir-107	4661	708.660651	Y
hsa-mir-10a	108109	16436.943646	N
hsa-mir-10b	17846	2713.314306	N
hsa-mir-1178	1	0.152040	N
hsa-mir-1179	9	1.368364	N
hsa-mir-1180	195	29.647893	N
hsa-mir-1181	3	0.456121	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.912243	N
hsa-mir-1185-2	1	0.152040	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.304081	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.520405	N
hsa-mir-1227	1	0.152040	N
hsa-mir-1228	14	2.128567	N
hsa-mir-1229	6	0.912243	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.304081	N
hsa-mir-1236	2	0.304081	N
hsa-mir-1237	3	0.456121	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	33	5.017336	N
hsa-mir-124-2	36	5.473457	N
hsa-mir-124-3	31	4.713255	N
hsa-mir-1243	1	0.152040	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	1	0.152040	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.608162	N
hsa-mir-1245b	1	0.152040	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	140	21.285666	N
hsa-mir-1248	16	2.432648	N
hsa-mir-1249	158	24.022395	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.152040	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.456121	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	12	1.824486	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.760202	N
hsa-mir-125a	149210	22685.959184	N
hsa-mir-125b-1	46857	7124.160509	N
hsa-mir-125b-2	47459	7215.688874	N
hsa-mir-126	121304	18443.117705	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	15	2.280607	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.456121	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1083	164.659834	N
hsa-mir-1270	18	2.736729	N
hsa-mir-1271	490	74.499832	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	17	2.584688	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2151	327.039060	N
hsa-mir-128-2	1309	199.020981	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.152040	N
hsa-mir-1283-2	5	0.760202	N
hsa-mir-1284	13	1.976526	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	45	6.841821	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.152040	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.456121	N
hsa-mir-129-2	3	0.456121	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	22	3.344890	N
hsa-mir-1292	26	3.953052	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	11	1.672445	N
hsa-mir-1295a	19	2.888769	N
hsa-mir-1295b	2	0.304081	N
hsa-mir-1296	273	41.507050	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.304081	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	519	78.909006	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	5	0.760202	N
hsa-mir-1304	17	2.584688	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	30	4.561214	N
hsa-mir-1307	713	108.404858	N
hsa-mir-130a	542	82.405937	N
hsa-mir-130b	483	73.435549	N
hsa-mir-132	1232	187.313864	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.456121	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	953	144.894572	Y
hsa-mir-133a-2	926	140.789479	Y
hsa-mir-133b	23	3.496931	Y
hsa-mir-134	50	7.602024	N
hsa-mir-1343	11	1.672445	N
hsa-mir-135a-1	663	100.802835	N
hsa-mir-135a-2	770	117.071165	N
hsa-mir-135b	2266	344.523715	N
hsa-mir-136	188	28.583609	N
hsa-mir-137	6	0.912243	N
hsa-mir-138-1	163	24.782597	N
hsa-mir-138-2	50	7.602024	N
hsa-mir-139	2369	360.183884	N
hsa-mir-140	27461	4175.183467	N
hsa-mir-141	715	108.708939	N
hsa-mir-142	6072	923.189760	N
hsa-mir-143	247013	37555.973701	N
hsa-mir-144	2056	312.595215	N
hsa-mir-145	47740	7258.412247	N
hsa-mir-1468	31	4.713255	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	13071	1987.321041	N
hsa-mir-146b	161188	24507.099986	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	11	1.672445	N
hsa-mir-148a	33591	5107.191575	N
hsa-mir-148b	2823	429.210259	N
hsa-mir-149	339	51.541721	N
hsa-mir-150	9610	1461.108959	N
hsa-mir-151a	11816	1796.510245	N
hsa-mir-151b	137	20.829545	N
hsa-mir-152	1741	264.702466	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	3	0.456121	N
hsa-mir-1538	3	0.456121	N
hsa-mir-1539	1	0.152040	N
hsa-mir-154	137	20.829545	N
hsa-mir-155	10262	1560.239348	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1507	229.124995	N
hsa-mir-15b	14434	2194.552207	N
hsa-mir-16-1	25521	3880.224947	N
hsa-mir-16-2	28365	4312.628056	N
hsa-mir-17	1463	222.435214	Y
hsa-mir-181a-1	27083	4117.712168	N
hsa-mir-181a-2	27247	4142.646806	N
hsa-mir-181b-1	6377	969.562105	N
hsa-mir-181b-2	7662	1164.934115	N
hsa-mir-181c	468	71.154942	N
hsa-mir-181d	153	23.262193	N
hsa-mir-182	7804	1186.523862	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	4749	722.040213	N
hsa-mir-184	104	15.812209	N
hsa-mir-185	3656	555.859974	N
hsa-mir-186	10552	1604.331086	N
hsa-mir-187	46	6.993862	N
hsa-mir-188	23	3.496931	N
hsa-mir-18a	192	29.191771	N
hsa-mir-18b	6	0.912243	N
hsa-mir-1908	3	0.456121	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	43	6.537740	N
hsa-mir-190b	19	2.888769	N
hsa-mir-191	53503	8134.621501	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	745	113.270153	Y
hsa-mir-193a	866	131.667051	N
hsa-mir-193b	899	136.684386	N
hsa-mir-194-1	140	21.285666	N
hsa-mir-194-2	398	60.512109	N
hsa-mir-195	13260	2016.056690	N
hsa-mir-196a-1	13	1.976526	N
hsa-mir-196a-2	27	4.105093	N
hsa-mir-196b	63	9.578550	N
hsa-mir-197	3980	605.121088	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	38	5.777538	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	22837	3472.148314	Y
hsa-mir-199a-2	41288	6277.447107	Y
hsa-mir-199b	72747	11060.488390	Y
hsa-mir-19a	212	32.232581	N
hsa-mir-19b-1	1179	179.255719	N
hsa-mir-19b-2	1218	185.185298	N
hsa-mir-200a	4858	738.612625	N
hsa-mir-200b	16583	2521.287187	N
hsa-mir-200c	39410	5991.915096	N
hsa-mir-202	15	2.280607	N
hsa-mir-203a	5982	909.506118	N
hsa-mir-203b	59	8.970388	N
hsa-mir-204	393	59.751906	N
hsa-mir-205	1469	223.347457	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.456121	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4245	645.411814	N
hsa-mir-20b	98	14.899966	N
hsa-mir-21	1019442	154996.445294	N
hsa-mir-210	95	14.443845	N
hsa-mir-211	155	23.566274	N
hsa-mir-2110	171	25.998921	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	9	1.368364	N
hsa-mir-2116	10	1.520405	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	239	36.337673	N
hsa-mir-214	2480	377.060376	N
hsa-mir-215	8	1.216324	Y
hsa-mir-216a	1	0.152040	N
hsa-mir-216b	8	1.216324	N
hsa-mir-217	4	0.608162	N
hsa-mir-218-1	4476	680.533163	N
hsa-mir-218-2	4021	611.354748	N
hsa-mir-219a-1	3	0.456121	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	3	0.456121	N
hsa-mir-22	8828	1342.213308	N
hsa-mir-221	29494	4484.281752	N
hsa-mir-222	12418	1888.038611	N
hsa-mir-223	53766	8174.608146	N
hsa-mir-224	3430	521.498827	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	13	1.976526	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	157	23.870354	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	186094	28293.820041	Y
hsa-mir-23b	59339	9021.929710	Y
hsa-mir-23c	2	0.304081	N
hsa-mir-24-1	20806	3163.354110	N
hsa-mir-24-2	21604	3284.682409	N
hsa-mir-2467	1	0.152040	N
hsa-mir-25	10321	1569.209736	N
hsa-mir-2681	5	0.760202	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	335448	51001.673053	N
hsa-mir-26a-2	341543	51928.359745	N
hsa-mir-26b	138348	21034.495551	N
hsa-mir-27a	34375	5226.391307	Y
hsa-mir-27b	89797	13652.778479	Y
hsa-mir-28	7249	1102.141399	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	58	8.818348	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	66	10.034671	N
hsa-mir-29a	66583	10123.310906	N
hsa-mir-29b-1	1857	282.339161	Y
hsa-mir-29b-2	2004	304.689111	Y
hsa-mir-29c	5638	857.204195	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	34	5.169376	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	1	0.152040	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	25	3.801012	N
hsa-mir-3065	558	84.838585	N
hsa-mir-3074	12	1.824486	N
hsa-mir-30a	184221	28009.048233	Y
hsa-mir-30b	37815	5749.410539	Y
hsa-mir-30c-1	23571	3583.746022	Y
hsa-mir-30c-2	24305	3695.343730	N
hsa-mir-30d	250056	38018.632864	N
hsa-mir-30e	17019	2587.576834	Y
