miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	159910	14911.363595	N
hsa-let-7a-2	156140	14559.816845	Y
hsa-let-7a-3	155889	14536.411478	N
hsa-let-7b	71197	6639.011656	N
hsa-let-7c	22754	2121.775794	Y
hsa-let-7d	28552	2662.430451	N
hsa-let-7e	11206	1044.942408	N
hsa-let-7f-1	221154	20622.273181	N
hsa-let-7f-2	241004	22473.255405	N
hsa-let-7g	191771	17882.353248	N
hsa-let-7i	65224	6082.038516	N
hsa-mir-1-1	2627	244.963743	N
hsa-mir-1-2	2742	255.687318	N
hsa-mir-100	33261	3101.537518	Y
hsa-mir-101-1	17949	1673.716873	N
hsa-mir-101-2	18928	1765.007130	N
hsa-mir-103a-1	63310	5903.560935	Y
hsa-mir-103a-2	65682	6124.746318	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.093248	N
hsa-mir-106a	486	45.318759	Y
hsa-mir-106b	23003	2144.994664	N
hsa-mir-107	7178	669.337552	Y
hsa-mir-10a	89651	8359.819008	N
hsa-mir-10b	38824	3620.278783	N
hsa-mir-1178	1	0.093248	N
hsa-mir-1179	4	0.372994	N
hsa-mir-1180	676	63.035969	N
hsa-mir-1181	2	0.186497	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.372994	N
hsa-mir-1185-2	3	0.279745	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.186497	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.279745	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	2.890703	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	0.932485	N
hsa-mir-1229	4	0.372994	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.093248	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.093248	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.093248	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.093248	N
hsa-mir-1243	1	0.093248	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.279745	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	210	19.582180	N
hsa-mir-1248	61	5.688157	N
hsa-mir-1249	91	8.485611	N
hsa-mir-1250	17	1.585224	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.839236	N
hsa-mir-1254-2	5	0.466242	N
hsa-mir-1255a	44	4.102933	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.279745	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.372994	N
hsa-mir-125a	138879	12950.254923	N
hsa-mir-125b-1	42945	4004.555747	N
hsa-mir-125b-2	42788	3989.915737	N
hsa-mir-126	23613	2201.876234	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	7	0.652739	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	2.424460	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.839236	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	3	0.279745	N
hsa-mir-1269a	169	15.758992	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	590	55.016600	N
hsa-mir-1270	62	5.781405	N
hsa-mir-1271	444	41.402323	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	3	0.279745	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.559491	N
hsa-mir-1277	2	0.186497	N
hsa-mir-1278	15	1.398727	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3669	342.128654	N
hsa-mir-128-2	2236	208.503590	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	20	1.864969	N
hsa-mir-1285-1	4	0.372994	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	116	10.816823	N
hsa-mir-1288	2	0.186497	N
hsa-mir-1289-1	3	0.279745	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	13	1.212230	N
hsa-mir-129-2	9	0.839236	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	35	3.263697	N
hsa-mir-1292	38	3.543442	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	32	2.983951	N
hsa-mir-1295a	22	2.051466	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	163	15.199501	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	835	77.862476	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	8	0.745988	N
hsa-mir-1304	20	1.864969	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	104	9.697841	N
hsa-mir-1307	1157	107.888485	N
hsa-mir-130a	518	48.302710	N
hsa-mir-130b	2424	226.034303	N
hsa-mir-132	1405	131.014107	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	343	31.984227	Y
hsa-mir-133a-2	369	34.408687	Y
hsa-mir-133b	2	0.186497	Y
hsa-mir-134	28	2.610957	N
hsa-mir-1343	30	2.797454	N
hsa-mir-135a-1	189	17.623962	N
hsa-mir-135a-2	196	18.276701	N
hsa-mir-135b	21625	2016.498266	N
hsa-mir-136	78	7.273381	N
hsa-mir-137	121	11.283065	N
hsa-mir-138-1	116	10.816823	N
hsa-mir-138-2	27	2.517709	N
hsa-mir-139	692	64.527945	N
hsa-mir-140	21752	2028.340822	N
hsa-mir-141	1795	167.381012	N
hsa-mir-142	6271	584.761185	N
hsa-mir-143	170175	15868.559188	N
hsa-mir-144	684	63.781957	N
hsa-mir-145	30392	2834.007644	N
hsa-mir-1468	32	2.983951	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	13674	1275.079644	N
hsa-mir-146b	121434	11323.535281	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	25	2.331212	N
hsa-mir-148a	126920	11835.096413	N
hsa-mir-148b	5275	491.885704	N
hsa-mir-149	911	84.949360	N
hsa-mir-150	13818	1288.507424	N
hsa-mir-151a	35967	3353.867891	N
hsa-mir-151b	164	15.292750	N
hsa-mir-152	3380	315.179845	N
hsa-mir-153-1	0	0.000000	N
